k	term	cands
w2761	whether... or...	בין אם... או... | בין אם... ובין אם...
w2762	widely	בהרחבה | בצורה נרחבת
w2771	acknowledge	לאשר קבלה | לאשר | להכיר ב- | להודות ב- | להודות
w2774	adjust	להתאים | לכוונן | להתרגל
w2775	admirable	מרשים | ראוי להערצה | מעורר הערצה | נערץ
w2776	advancement	מקדמה | קידום | התקדמות
w2777	advocate	לדגול ב- | לתמוך בגלוי ב- | פרקליט | מצדד | לתמוך | תומך
w2781	airborne	באוויר | נישא באוויר | מוטס
w2784	alternate	עבר מדבר אחד לשני וחזרה | התחלף | להתחלף | חלופי
w2789	appeal	לערער | לבקש | מושך | מדבר אל | משיכה | לפנות
w2790	applaud	מחא כפיים | הריע | להריע | למחוא כפיים
w2791	appreciation	הערכה | תודה
w2793	arise	להופיע | להתעורר | לצוץ | לעלות
w2794	arousing	מגרה | מעורר | לעורר
w2797	audit	ביקורת | לבקר
w2799	bare	עירום | לחשוף | ריק | חשוף
w2802	beneficial	מיטיב | מועיל | רווחי
w2803	beware	היזהר | להיזהר
w2806	breed	מין | לגדל | להפרות | להרביע | זן | גזע
w2807	briefly	לזמן קצר | בקצרה
w2810	cater	לספק | לשרת | לספק קייטרינג
w2815	certainty	וודאות | ודאות
w2817	characteristic	אופייני | מאפיין
w2818	civil	אזרחי | מנומס | אדיב
w2819	cockroach	מקק | ג'וק | תיקן
w2820	coffin	ארון מתים | ארון קבורה
w2822	cologne	קולון | בושם (של גבר) | בושם | אודקולון
w2823	colossal	עצום | ענק
w2825	comply	לציית | להסכים | לקיים
w2829	conquistador	קונקיסטדור | כובש
w2831	conserve	לשמר | לחסוך
w2832	considering	בהתחשב ב- | (כפועל) שוקל | שוקל | לאור | בהתחשב ב
w2834	continuity	רציפות | המשכיות | רצף הגיוני
w2838	conveniently	בנוחות | באופן נוח
w2839	convention	ועידה | כנס | מוסכמה | אמנה
w2844	cripple	נכה | להטיל מום | לשתק
w2845	crucial	מכריע | קריטי | חיוני
w2848	dart	לזנק | חץ
w2849	dealt	חולק (קלפים | לטפל | להתמודד | ניירת) | לחלק | עסק ב
w2850	decay	להירקב | ריקבון
w2851	decline	לרדת | ירידה | לדחות | לסרב
w2853	deflate	לרוקן | להחליש | להוציא אוויר מ-
w2855	delight	תענוג | לשמח
w2858	descend	ירד | הדרדר | לרדת
w2859	despair	להתייאש | ייאוש
w2860	despise	לבוז | לתעב
w2862	determined	לקבוע | נחוש | נחרץ
w2864	discontent	אי שביעות רצון | חוסר שביעות רצון
w2865	discourage	להניא | לשכנע שלא לעשות משהו | לייאש
w2866	disgrace	קלון | בושה | חרפה
w2868	disposable	חד-פעמי | חד פעמי
w2870	disregard	זלזול | להתעלם
w2871	dissolve	להתמוסס | לפרק
w2872	distinct	ברור | נבדל | מובהק | נפרד
w2873	distinctive	מיוחד | ייחודי
w2874	distress	מצוקה | לצער
w2875	disuse	חוסר שימוש | אי-שימוש
w2877	divine	אלוהי | לנחש
w2879	dread	לפחד | אימה | פחד | לחשוש
w2880	due	צפוי | צריך להיעשות | בשל | זמנו הגיע | מגיע
