k	term	cands
w1295	due to	לאור | בגלל | עקב
w1297	duty	מכס | תפקיד | חובה
w1298	earn	להרוויח | לזכות ב
w1300	edge	להב | קצה | שוליים | להב (של סכין) | יתרון | חוד
w1307	epidemic	אפידמיה | מגיפה | מגפה
w1309	even	ליישר | זוגי | אפילו | להשוות | זוגי (מספר) | שווה
w1310	even so	אף על פי כן | ובכל זאת
w1312	evidence	הוכחה | ראיה
w1315	examine	לבחון | לבדוק
w1316	excite	לרגש | לעורר | להלהיב
w1317	exclusive	בלעדי | יוקרתי
w1318	expectations	ציפייה | ציפיות
w1320	explosive	נפיץ | חומר נפץ
w1321	export	לייצא | ייצוא | יצוא
w1331	favor	טובה | להעדיף | חיבה
w1332	fiction	ספרות בדיונית | לא אמיתי | בדיון
w1333	filmmaker	במאי | יוצר קולנוע | יוצר סרטים
w1337	folklore	פולקלור | מסורת עממית
w1338	fork	מזלג | הסתעפות
w1339	formal	רשמי | פורמלי
w1340	fortune	הון | מזל | עושר
w1341	from time to time	מדי פעם | מפעם לפעם
w1343	fundamental	בסיסי | בסיסי (פונדמנטלי) | יסודי
w1345	generally	באופן כללי | בדרך כלל
w1347	generated	ליצור | יצר | לייצר
w1350	glitch	תקלה | באג | הפרעה
w1352	grand	מפואר | כולל | גדול | נהדר | מרשים
w1354	handle	ידית | לטפל | להתמודד
w1355	heartbeat	פעימות לב | דופק | פעימת לב
w1356	hint	רמז | לרמוז
w1358	hold back	להתאפק | לעכב | למנוע
w1361	hybrid	היברידי | הכלאה | כלאיים
w1362	iceberg	הר קרח | קרחון
w1365	improve	להשתפר | לשפר
w1367	in particular	במיוחד | בפרט
w1368	incident	אירוע | תקרית
w1369	indeed	אכן | בהחלט
w1374	instantly	מיד | תכף
w1375	instrument	כלי נגינה | כלי
w1379	irregular	חריג | לא סדיר | לא רגיל
w1380	issue	בעיה | גיליון | להנפיק | נושא | להוציא לאור | עניין | להפיץ | סוגיה
w1381	label	תגית | תווית | לתייג
w1384	lead, led	להוביל | הוביל | להנהיג
w1387	legend	מקרא | אגדה | מקרא מפה
w1389	likely	סביר | קרוב לוודאי
w1390	load	לטעון | להעמיס | מטען
w1391	logic	הגיון | לוגיקה | היגיון
w1393	major	עיקרי | התמחות | סולם מז'ור (במוזיקה) | סולם מז'ור | רב-סרן | מסלול לימודים | ראשי
w1394	march	לצעוד | צעדה
w1396	mass	המוני | מסה | המון | מיסה
w1400	mind	אכפת | להשגיח | לשים לב | לשמור | מוח | שכל
w1402	minister	שר | כומר | שר (בממשלה)
w1408	motivate	לעודד | לדרבן | להניע
w1409	mountaintop	פסגת הר | פסגה
w1411	narrow	צר | לצמצם
w1417	nut	מטורף | אגוז
w1418	object	חפץ | פריט | מטרה | אובייקט | להתנגד
w1425	overall	באופן כללי | כללי | כולל | בסך הכל
w1427	painter	צייר | צבע
w1429	party	מפלגה | צד | מסיבה
