k	term	cands
w2990	match	משחק | גפרור | התאמה | להתאים
w2993	medieval	ביניימי | מתקופת ימי הביניים
w2994	merely	בסך הכל | לא יותר מ- | רק
w2996	merit	מעלה | הישג | ערך | להצדיק
w2997	mild	קל | מתון | עדין
w3000	misty	מעורפל | ערפילי
w3001	mock	ללעוג | מדומה
w3003	modest	מתון | צנוע
w3004	moist	רטוב | לחלוחי | לח | טחוב
w3005	mole	מרגל | חפרפרת | שומה
w3006	moreover	זאת ועוד | יתרה מזאת | בנוסף
w3008	mourning	מתאבל | להתאבל | אבל
w3009	mutually	באופן שווה/הדדי | הדדית
w3013	nevertheless	למרות זאת | בכל זאת
w3014	newscaster	קריין חדשות | מגיש חדשות
w3015	nobility	אצולה | אצילות
w3017	numb	חסר תחושה | רדום | קהה
w3018	numerous	מרובה | רב
w3019	nursery	חדר תינוקות | חדר ילדים | פעוטון | משתלה | גן ילדים
w3024	occupy	לכבוש | לתפוס | להעסיק | לאכלס
w3025	occurrence	מקרה | התרחשות
w3027	offshore	בלב ים | בחו"ל | מעבר לים (חשבון/חברה) | מעבר לים | הרחק מהחוף | מול החוף
w3028	oriented	מכוון | מוכוון | מונחה
w3031	outline	קווים כלליים | תוואי | מתאר | לתאר
w3032	oversee	לפקח | לפקח על
w3036	pedestrian	שגרתי | הולך רגל
w3038	persist	להתמיד | להתעקש | להימשך
w3040	pest	מזיק (חרקים) | מזיק | מטרד | טרדן
w3044	pinch	לגנוב | קורט | לצבוט
w3045	pioneer	לפרוץ דרך | חלוץ
w3046	plaster	פלסטר | טיח
w3047	plead	לעתור | לטעון | להתחנן
w3048	pledge	התחייבות | להתחייב
w3049	plentiful	רב | מלא | שופע
w3050	possess	להחזיק | להיות בעלים של | לאחוז | להחזיק ב-
w3052	premature	פג | מוקדם מדי | מוקדם
w3054	prick	דקירה | לדקור
w3055	principal	מנהל | ראשי | קרן (הלוואה) | קרן | מנהל בית ספר | עיקרי
w3056	probe	לחטט | לחקור | חקירה | לברר | לגשש
w3058	prominent	נודע | בולט | חשוב
w3063	province	תחום | מחוז | אזור
w3064	pursue	לשאוף | לרדוף
w3065	query	שאלה | חקירה | שאילתה
w3068	recreation	שחזור | בילוי
w3070	recur	להישנות | לחזור | קרה שוב
w3071	refined	מלוטש | מזוקק | מעודן
w3072	regard	להחשיב | להתייחס | כבוד
w3073	regulate	להסדיר | לווסת
w3075	rehearse	לתרגל | לחזור | לערוך חזרה
w3076	reinforce	לבסס | לחזק | לתגבר
w3078	rely	להסתמך | להסתמך על
w3079	remainder	יתרה | שארית
w3080	remedy	לתקן | תרופה
w3081	repelled	להדוף | לדחות | הגעיל | דחה
w3082	resemble	להידמות ל | דומה
w3085	restoration	שיקום | שחזור | השבה
w3086	restrain	לרסן | לעצור
w3091	revitalize	להחיות מחדש | להחיות
w3092	rid	להיפטר מ- | להיפטר מ
w3093	rim	חישוק | שפה
