k	term	cands
w3096	scarce	מועט | נדיר
w3097	scatter	לפזר | להתפזר
w3098	sensible	הגיוני | נבון
w3099	sentiments	רגשות | רגש | דעה
w3100	settle	להתיישב | ליישב | לסלק | להסדיר
w3101	shatter	להרוס | לנפץ | לקעקע | להתנפץ
w3102	shepherd	רועה | רועה צאן
w3104	sighting	תצפית | איתור | מראה
w3106	skinned	פשט עור | לקלף
w3108	slender	דק | רזה
w3109	soil	ללכלך | אדמה | לכלוך
w3110	solely	אך ורק | רק | בלבד
w3111	solitary	בודד | מבודד
w3114	spike	מסמר | זינוק | יתד
w3115	steer	להוביל | לנווט | לכוון | להגות
w3116	stem	לנבוע מ- | לנבוע | להיווצר מ- | גזע | גבעול
w3117	stiff	נוקשה | קשיח
w3123	supplement	תוסף | להשלים
w3125	sustain	לקיים | להמשיך באותה צורה | סבל מ- | לתמוך
w3126	tame	מבויית | לבית | לאלף
w3128	tender	רך | עדין
w3130	tin	עשוי מפח | בדיל | פח | קופסה
w3132	tolerate	לסבול | להשלים עם
w3134	transcript	תמליל | גיליון ציונים | פרוטוקול
w3139	unrest	מהומה | אי שקט | חוסר שקט
w3140	urge	לעודד | לקרוא ל | דחף | תשוקה | לדחוף | רצון
w3143	validity	תקפות | תוקף
w3145	verdict	פסק דין | הכרעה | פסיקה
w3148	violate	לפגוע | לחלל | להפר
w3151	virtually	כמעט | למעשה | באופן וירטואלי | בעצם
w3152	wage	משכורת | לערוך | לנהל | שכר
w3153	wanted	לרצות | מבוקש
w3158	welfare	רווחה | סעד
w3159	widespread	נפוץ | רחב היקף
w3160	withstand	לעמוד ב- | לעמוד בפני | להתמודד
w3164	accommodate	להתאים (לצרכים) | לשכן | להכיל | לאכסן | להתאים | לפנות מקום ל- | להתחשב
w3166	accustomed	מורגל | רגיל
w3168	acquitted	זוכה מאשמה | לזכות
w3169	adhere	לדגול ב- | להידבק | לדבוק | לדבוק ב-
w3170	adjacent to	ליד | סמוך ל | גובל ב
w3171	administer	לנהל | לתת | לפקח | לחלק | להעניק
w3172	adolescence	התבגרות | גיל ההתבגרות
w3174	algae	אצה | אצות
w3175	alienation	ניכור | התנכרות | הרחקה
w3177	alterations	שינוי | שינויים | תיקון
w3178	ambiguous	מעורפל | לא לגמרי ברור | דו משמעי | דו-משמעי
w3180	amid	בקרב | בין | באמצע | בתוך
w3181	ample	נרחב | מספיק | גדול | שופע
w3184	annually	בכל שנה | מדי שנה | אחת לשנה
w3191	arguably	לכאורה | כנראה | ניתן לטעון ש-
w3192	arise, arose	לצוץ | לקום | קם
w3193	ark	תיבה | ארון
w3194	array	מגוון | מערך | מבחר
w3195	assert	לטעון | לטעון בתוקף | להצהיר
w3199	attain	להגיע ל | להשיג | להגיע
w3200	attendant	מלווה | דייל | משרת | מטפל
w3202	augment	להגדיל | להרחיב | לחזק
w3203	awe	יראת כבוד | התפעלות
w3208	beam	קרן | קורה | לחייך
w3210	being that	מכיוון ש | היות ו | מכיוון ש-
