k	term	cands
w2881	eager	משתוקק | נלהב | להוט | כמה
w2883	embrace	לאמץ | לאמץ לקרבו | לחבק
w2884	emerge	להגיח | לצוץ | להופיע
w2887	endurance	סיבולת | כוח סבל
w2888	endure	לשרוד | להחזיק מעמד | לסבול
w2889	enhance	לשפר | להעצים
w2890	enthusiast	חובב | חובב נלהב
w2892	estate	עיזבון | נכס | אחוזה
w2894	excessive	מוגזם | מופרז | יתר
w2896	exhaust	למצות | צינור מפלט | להתיש | (ש״ע) גזי פליטה | גזי פליטה | פליטה | לרוקן
w2897	exile	להגלות | גולה | לגרש | גלות
w2899	exploit	מעשים | פעולות | להפיק תועלת | הישג | לנצל
w2900	extensive	מקיף | נרחב
w2902	fabric	מרקם | בד
w2906	fine	משביע רצון | קטן | קנס | משובח | מצוין | בסדר | דקיק | עדין
w2907	firm	נחוש | מוצק | חברה (פירמה) | יציב | חברה | תקיף
w2908	footage	קטעי וידאו | קטע צילום
w2909	for the sake of	בשביל | למען
w2910	forceful	עוצמתי | נמרץ | תקיף | בעל עוצמה
w2911	foresee	לצפות מראש | לצפות
w2913	fraction	חלק קטן | שבר
w2914	fracture	לשבור | שבר
w2915	fragrance	ניחוח | בושם
w2916	fundraiser	מגייס כספים | גיוס כספים
w2918	furthermore	זאת ועוד | יתר על כן
w2919	genesis	ראשית | ספר בראשית | היווצרות | התהוות
w2921	glance	להעיף מבט | מבט חטוף | מבט
w2922	goods	מוצרים | סחורה | טובין
w2923	grace	חסד | חן | חינניות
w2927	grief	יגון | צער | אבל
w2929	growled	לנהום | נהם
w2930	habitat	בית גידול | סביבת מגורים | סביבת מחיה
w2931	halve	לחלק לחצי | לחלק לשניים | להקטין בחצי
w2938	hibernate	לחרוף | לישון שנת חורף
w2943	howl	יללה | לייליל | לילל
w2945	ignite	לעורר | להצית
w2949	implications	משמעות | השלכות | השלכה
w2951	impose	להטריח | לכפות | להטיל
w2952	imprisoned	לכלוא | כלוא
w2953	impulsively	ללא שיקול דעת | בפזיזות
w2955	inadequate	לא מספיק | לא הולם | לקוי
w2956	incidentally	דרך אגב | אגב
w2957	incompetence	חוסר כשירות | חוסר יכולת
w2958	indebted	אסיר תודה | חייב ל- | חייב
w2961	infiltrate	לחדור | להסתנן
w2963	inhabitants	תושבים | תושב
w2967	intact	ללא פגע | שלם
w2968	intersection	צומת | הצטלבות | חיתוך
w2970	intimidate	להפחיד | לאיים
w2971	irresistible	שלא ניתן לעמוד בפניו | כובש | מפתה
w2974	janitor	שרת | אב בית
w2976	laid	להטיל | להניח | מונח
w2977	lean	רזה | להישען
w2978	lie, lay	להימצא | שכב | לשכב
w2979	likewise	כמו כן | כמו-כן | באותו אופן | גם כן
w2980	limb	איבר | קצה | גפה | גף
w2982	lurking	מתגנב | אורב | לארוב | להתחבא
w2983	magnitude	חשיבות | עוצמה | גודל
w2988	massacre	לטבוח | טבח
w2989	mastery	שליטה | מומחיות
