k	term	cands
w1432	pigment	חומר צבע | צבען | פיגמנט
w1434	prank	מתיחה | למתוח
w1437	preparation for	הכנות לקראת | הכנה
w1440	previously	קודם לכן | הקודם | לפני-כן | בעבר
w1441	priest	כהן | כומר
w1442	prime	שיא | מעולה | ראשי | ראשוני | מובחר | עיקרי
w1443	primitive	חסר תרבות | קדום | פרימיטיבי | קדמוני
w1445	proper	ראוי | נכון | הולם | מתאים
w1446	properly	כראוי | כהלכה
w1447	prove	להוכיח | להתברר
w1450	purchase	לרכוש | לקנות | רכישה
w1451	quite	לגמרי | די | למדי
w1452	quote	ציטוט | לצטט | הצעת מחיר
w1453	race	מירוץ | גזע | מרוץ
w1454	raid	פשיטה | לפשוט על
w1455	rainfall	משקעים | ירידת גשמים
w1456	rainstorm	סערת גשמים | סופת גשמים
w1457	randomly	באקראיות | באקראי
w1458	range	לנוע | טווח | רכס | מטווח
w1459	rank	דרגה | לדרג
w1462	rational	רציונלי | הגיוני | רציונאלי
w1465	rebel	מורד | למרוד
w1467	recordings	הקלטה | הקלטות
w1469	recycling	מיחזור | מחזור
w1471	reduce	לצמצם | להפחית
w1472	reform	רפורמה | לתקן | שינוי
w1473	regret	להצטער | להתחרט | חרטה
w1474	regularly	באופן קבוע | בקביעות
w1475	relations	קשרים | יחסים
w1477	replacement	תחליף | מחליף
w1478	replica	שכפול | העתק | דגם | העתק מדויק
w1479	reply	תשובה | להשיב
w1481	rest	מנוחה | לנוח | יתר | שאר
w1484	rough	מחוספס | גס | קשה
w1485	ruin	חורבה | להרוס
w1489	seeds	זרע | זרעים
w1491	segment	מקטע | קטע | פלח
w1492	select	לבחור | נבחר
w1493	selective	סלקטיבי | בררני
w1494	self-confidence	ביטחון עצמי | בטחון-עצמי
w1496	separation	הפרדה | פרידה
w1498	share	לשתף | חלק | מניה | לחלוק
w1500	shift	משמרת | שינוי | להזיז
w1502	sight	כוונת | ראייה | מראה
w1503	significantly	באופן ניכר | באופן משמעותי | משמעותית
w1506	so long as	כל עוד | ובלבד ש
w1507	sound	בריא | צליל | קול | להישמע | הגיוני
w1508	speaker	דובר | רמקול
w1510	spot	כתם | מקום | להבחין | לזהות
w1511	spread	למרוח | התפשטות | פיזור | ממרח | להתפשט
w1513	stamina	עמידות | כושר עמידה | סיבולת
w1514	statement	הצהרה | הודעה
w1516	storage	מחסן | אחסון
w1517	study	חדר עבודה | מחקר | ללמוד
w1518	subject	מקצוע | להכפיף | נתון ל- | כפוף ל- | נבדק | נושא | נתין | אזרח | לחשוף ל-
w1520	surface	משטח | לצוף | פני שטח
w1521	surprisingly	באופן מפתיע | במפתיע
w1525	symptom	תסמין | סימפטום | סימן
w1528	take place	התרחש | להתרחש | להתקיים
w1530	terms	מונחים | תנאי | תנאים | מונח
