k	term	cands
w0942	frame	מסגרת | להפליל | למסגר
w0944	function	תפקיד | תפקוד | לתפקד | פונקציה
w0950	grade	מעמד | כיתה | שיפוע | לדרג | דרגה | ציון
w0952	guide	להדריך | מדריך
w0954	hall	מסדרון | היכל | אולם
w0955	harm	להזיק | נזק | לפגוע
w0958	highway	כביש ראשי | כביש מהיר
w0960	honest	הגון | כן | ישר
w0962	host	מארח | לארח
w0963	however	עם זאת | למרות זאת | בכל דרך | אבל | אולם
w0970	image	דמות | דימוי | תמונה
w0973	impact	השפעה | להשפיע | התנגשות
w0975	in general	בדרך כלל | באופן כללי
w0977	incredible	לא ייאמן | מדהים
w0979	individual	יחיד | אישי | אינדיבידואל
w0983	instant	בהרף עין | רגע | מיידי
w0987	intense	חזק | עז | אינטנסיבי
w0988	introduce	להציג | להכניס | לעשות היכרות
w0990	invisible	סמוי | בלתי נראה
w0994	knees	ברכיים | ברך
w0998	lawyer	עורך דין | עורך-דין
w0999	lecture	להרצות | הרצאה
w1000	led to	להוביל ל | לגרום ל | הוביל ל-
w1002	limit	לשים גבול | גבול | מוגבל | להגביל
w1004	lower	להנמיך | נמוך | להוריד
w1006	management	ניהול | הנהלה
w1007	mark	ציון | כתם | לסמן
w1008	marriage	נישואים | נישואין
w1009	material	מהותי | חומרני | חומר | בד
w1011	mention	לאזכר | להזכיר | אזכור
w1012	method	שיטה | דרך
w1014	mirror	מראה | לשקף
w1015	monitor	מוניטור | מסך | לנטר | להשגיח
w1016	mostly	לרוב | בעיקר
w1018	mystery	תעלומה | מסתורין
w1019	nation	עם | אומה
w1020	nearby	סמוך | קרוב | בקרבת מקום | ליד
w1021	necessary	נחוץ | הכרחי
w1024	no longer	כבר לא | לא עוד
w1027	notice	התראה | לשים לב | הודעה
w1029	obviously	כמובן | ברור
w1031	opposite	נגדי | ממול | הפוך | מנוגד
w1033	pair	זוג | לזווג
w1034	passion	להט | תשוקה
w1036	patient	סבלני | מטופל | חולה
w1037	patients	מטופל | חולה | מטופלים
w1038	peaceful	שָׁלֵו | שליו | שקט
w1039	per	לפי | לכל
w1043	permission	רשות | אישור | היתר
w1046	pipe	צינור | מקטרת
w1049	pleasure	הנאה | לענג | תענוג | עונג
w1051	position	מיקום | משרה | עמדה | תפקיד | תנוחה | למקם
w1052	pot	עציץ | גראס | קדרה | סיר
w1053	practice	תרגול | לתרגל | נוהג
w1054	precious	אהוב | יקר
w1055	pregnant	הרה (בהריון) | הרה | בהריון
w1058	pride	להקה | גאווה
w1060	prison	כלא | בית סוהר
w1061	prize	פרס | להעריך
w1063	product	תוצר | מוצר
