k	term	cands
w1660	constant	רצוף | קבוע | מתמיד
w1662	consult	לעיין ב | להתייעץ
w1663	contain	מכיל | להכיל | לבלום
w1665	conventional	מקובל | קונבנציונאלי | שגרתי
w1671	craft	לעצב | כלי טייס / כלי שייט | מלאכה | אומנות
w1676	cult	כת | פולחן
w1679	curve	עקומה | לעקם | פניה
w1680	deaf	חרש | חירש
w1681	debate	ויכוח | דיון | להתווכח
w1683	defeated	להביס | הובס | מובס
w1685	degree	תואר | מעלה | במידה מסוימת | מידה | תואר אקדמי | דרגה | מעלה (מדידה)
w1686	demand	לדרוש | דרישה | ביקוש
w1687	dental	של שיניים | דנטלי | שקשור בשיניים
w1689	deny	לשלול | להכחיש | לסרב
w1690	depart	לצאת | לעזוב
w1696	distant	מרוחק | רחוק | מנוכר
w1697	district	אזור | מחוז
w1700	double standard	מוסר כפול | תקן כפול
w1704	elderly	זקן | קשיש
w1705	eliminate	לפסול | לחסל | להסיר
w1707	employ	לנקוט | להשתמש | להעסיק | להשתמש ב-
w1712	equally	במידה שווה | באופן שווה
w1713	era	עידן | תקופה
w1715	essential	הכרחי | חיוני
w1716	evolved	להתפתח | התפתח
w1717	exception	יוצא מהכלל | חריגה | יוצא דופן
w1718	execute	לבצע | להוציא לפועל | להוציא להורג
w1720	expand	להרחיב | להתרחב
w1722	expense	הוצאה | הוצאות
w1724	expression	ביטוי | הבעה
w1727	facial	טיפול פנים | של הפנים | שקשור בפנים
w1732	flood	שיטפון | להציף
w1733	footprints	טביעת רגל | עקבות | טביעות רגל
w1735	foundation	קרן | יסוד
w1736	frequently	לעיתים קרובות | לעתים קרובות
w1738	fuel	דלק | לתדלק
w1740	funds	הון | מקור מימון | קרן | כסף
w1741	gain	להוסיף | להשיג | רווח | להרוויח
w1744	gather	להתאסף | לאסוף | אסף
w1747	greet	לקדם פנים | לברך | לקבל פנים
w1749	guarantee	ערבות | אחריות | להבטיח
w1751	heavily	בכבדות | במידה רבה | מאוד
w1752	hike	טיול | הליכה | טיול רגלי | לטייל | העלאה
w1754	identify	להזדהות | לזהות
w1755	illness	חולי | מחלה
w1757	impatient	קצר רוח | חסר סבלנות
w1761	in conclusion	לסיכום | לסיום
w1763	increase	להגביר | עלייה | להגדיל | לעלות
w1764	indication	סימן ל- | רמז | אינדיקציה | סימן
w1765	industry	חריצות | תעשייה
w1766	infected	להדביק | הודבק | נגוע
w1767	infection	הדבקה | זיהום
w1770	ingredients	מרכיב | מרכיבים
w1773	insanity	שיגעון | אי שפיות | טירוף
w1775	inspiring	נותן השראה | מעורר השראה
w1776	institute	לכונן | מוסד | לייסד | מכון
w1780	interrupt	לקטוע | להפריע
w1781	invent	להמציא | לבדות
w1785	labor	להתאמץ | עמל | לעמול | לידה | עבודה
w1786	lack	לחסר | חוסר | מחסור
