k	term	cands
w1534	though	למרות זאת | למרות ש | בכל זאת | למרות ש-
w1536	timeline	ציר זמן | לוח זמנים
w1537	to sum up	לסיכום | לסכם | כדי לסכם
w1539	trade	מקצוע | לסחור | מסחר | להחליף
w1541	transform	להפוך | לשנות | לשנות צורה
w1545	treat	להתייחס | לפנק | פינוק | ממתק | להתייחס אל | לטפל ב
w1549	unite	לאחד | להתאחד
w1551	unofficial	בלתי רשמי | לא רשמי
w1552	unorganized	לא מאורגן | מבולגן
w1553	unrealistic	לא ריאלי | לא מציאותי
w1560	vehicle	כלי רכב | רכב
w1561	verbal	מילולי | בעל פה | ורבלי
w1567	waste	לבזבז | פסולת | בזבוז | הפסולת
w1568	waterfall	מפל מים | מפל
w1571	whenever	בכל פעם ש | לא משנה מתי | מתי ש- | בכל פעם ש-
w1573	whom	מי | את מי
w1577	witness	לחזות | להעיד | עד
w1581	abroad	חו"ל | בחו"ל
w1582	absent	נעדר | חסר | לא נוכח
w1588	addition	תוספת | הוספה | חיבור
w1589	administration	מנהל | ניהול | ממשל
w1591	afterwards	אחר כך | לאחר מכן
w1593	aim	לכוון | מטרה | לשאוף
w1594	annoy	להציק | להרגיז
w1595	apply	ליישם | לחול על | להחיל | למרוח | להגיש בקשה | לפנות
w1597	arrange	לארגן | לתאם | לסדר
w1598	article	סעיף | פריט | מאמר
w1600	assignment	הקצאה | מטלה | משימה
w1602	association	קשר | איגוד | עמותה | אסוציאציה
w1604	attach	לצרף | לייחס | לחבר
w1605	attempt	לנסות | ניסיון
w1607	attraction	אטרקציה | משיכה
w1611	awkward	מגושם | מביך | מוזר | מסורבל
w1612	baggage	כבודה | מטען | מזוודה
w1614	bald	קרח | קירח
w1615	ban	לאסור | איסור | חרם
w1616	barrier	חסם | מחסום
w1617	bass	בס (במוזיקה) | בס | דג בס
w1619	beside	לצד | ליד
w1621	blank	רווח | ריק | חלל ריק
w1622	blend	למזג | תערובת | לערבב
w1623	boil	להרתיח | לרתוח
w1624	bond	קשר | אג"ח | להתחבר
w1625	boost	להגביר | דחף | המריץ | לחזק
w1626	boot	תא מטען | מגף | לאתחל
w1627	bore	לשאת | לשעמם | לקדוח | לקדוח (חור) | שעמום | לסבול | ללדת
w1628	bounce	ניתור | לנתר | לקפץ | לקפוץ
w1629	branch	להסתעף | ענף | סניף
w1632	bully	בריון | להציק
w1633	bury	להטמין | לקבור
w1635	cabin	תא | בקתה
w1642	cereal	דגן | דגני בוקר
w1644	charm	להקסים | קסם | קמיע
w1645	chart	לשרטט | גיליון | תרשים
w1652	commercial	סרטון פרסומת | פרסומת | מסחרי
w1653	commit	לבצע | להתחייב | ביצוע/ לבצע
w1656	concentrate	להתרכז | תרכיז
w1657	confident	בטוח | בטוח בעצמו
w1658	conservative	זהיר | שמרני | שמרן
w1659	conspiracy	קשר | מזימה | קונספירציה
