k	term	cands
w1787	lame	גרוע | צולע
w1789	lifetime	תקופת החיים | במשך החיים | חיים | משך חיים
w1792	locate	לאתר | למקם
w1793	log	לתעד | יומן | לתעד ביומן | בול עץ
w1797	luxury	פאר | מותרות
w1801	measure	מידה | למדוד | אמצעי
w1803	melt	להימס | להמיס
w1804	minor	סולם מינור | קטן | סולם מינור (במוזיקה) | זניח | קטין | שולי | משני
w1806	moral	מוסר | מוסרי | מוסר השכל
w1807	mortal	בן תמותה | אנוש | אנושי | קטלני
w1814	observe	להתבונן | לשמור | להבחין | להעיר | לצפות
w1815	offend	לפגוע | להעליב
w1816	offensive	התקפה | מעליב | פוגעני
w1819	orbit	להקיף | לחוג | מסלול (סביב גרם שמים) | מסלול | להקיף במסלול
w1822	outstanding	בולט | פתוח | מצוין | יוצא מן הכלל
w1823	oven	תנור בישול | תנור
w1825	pad	רפידה | פנקס | לרפד
w1827	parallel	מקבילה | מקביל
w1831	perform	להופיע | להציג | לבצע
w1832	permanently	לצמיתות | לתמיד | באופן קבוע
w1833	pharmacy	בית מרקחת | רוקחות
w1835	poisonous	רעיל | ארסי
w1842	primary	ראשוני | יסודי | עיקרי
w1844	privilege	זכות יתר | פריבילגיה | פריווילגיה
w1845	produce	לייצר | תוצר | תוצרת | ירקות ופירות | להפיק
w1847	promotion	מבצע | קידום
w1850	provoke	להסית | לעורר | להתגרות
w1851	publisher	מוציא לאור | הוצאה לאור
w1852	purse	ארנק | תיק יד
w1855	rarely	לעיתים נדירות | לעתים רחוקות
w1857	razor	סכין גילוח | תער
w1858	reasonable	הגיוני | סביר
w1861	recognition	זיהוי | הכרה
w1862	recover	לשחזר | להתאושש | להחלים
w1863	reference	התייחסות | מקור | המלצה | הפניה
w1865	registration	רישום | הרשמה
w1867	relative	יחסי | קרוב-משפחה | קרוב משפחה
w1871	require	דרישה | להצריך | לדרוש
w1872	reserve	להזמין מראש | שמורה | רזרבה | עתודה | לשמור | מילואים
w1874	resist	להתנגד | לעמוד בפני
w1875	resistance	מחתרת | התנגדות | עמידות
w1876	resort	לנקוט | אתר נופש | לנקוט באמצעים
w1879	reveal	לגלות | לחשוף
w1881	ritual	טקס | פולחן | טקסי
w1882	rival	מתחרה | יריב | להתחרות
w1885	rub	שפשוף | לשפשף
w1887	ruins	חורבה | עיי חורבות | הריסות
w1889	sailor	ימאי | מלח
w1890	satellite	לוויין | לווין
w1891	satisfaction	שביעות רצון | סיפוק
w1892	satisfy	לרצות | להשביע רצון | לספק
w1894	secure	בטוח | להבטיח | לאבטח | להשיג | לשמור | להגן
w1895	sequence	רצף | סדרה
w1897	session	פגישה | מושב | ישיבה | מפגש
w1898	sheet	סדין | גיליון | דף
w1900	shelter	מחסה | מקלט
w1901	shiny	נוצץ | מבריק | בוהק
w1902	shrink	להתכווץ | כיווץ | לכווץ | פסיכיאטר
w1903	significant	ניכר | חשוב | משמעותי
w1906	sketch	סקיצה | שרטוט | לשרטט | איור
