k	term	cands
w3554	wind	ללפף | רוח | למתוח | לפתל
w3555	wound	מתוח | לפצוע | פצע | נמתח
w3556	yield	להניב | להיכנע | תשואה | לוותר | לסגת | להפיק
w3559	abide	לציית | לסבול
w3561	abstain	להימנע | להתנזר | להימנע ממשהו
w3562	acclaim	שבח | להריע | לשבח
w3563	accomplices	שותף לפשע | שותף לדבר עבירה | שותף
w3564	accomplished	מומחה | מוכשר | מעולה | מיומן
w3568	adverse	מזיק | שלילי
w3570	affluence	עושר | שפע
w3571	affluent	שופע | אמיד | עשיר
w3572	agitate	לעורר | לעצבן | לזעזע | להסעיר | לנער
w3573	agonize	להתלבט קשות | להתייסר | להתלבט | לסבול ייסורים
w3574	albeit	למרות ש | אף על פי | אם כי | אף על פי ש
w3580	ancestry	שושלת | מוצא
w3581	antler	קרן | קרן מסועפת של אייל/צבי
w3582	appease	לפייס | להרגיע
w3583	appraise	להעריך | לשום | לאמוד | להעריך (שווי)
w3584	arable	ראוי לעיבוד | חקלאי | מתאים לעיבוד
w3585	articulate	לנסח | להביע | לבטא | רהוט
w3586	ascertain	לברר | לוודא
w3590	astound	לתדהם | להדהים
w3592	attire	תלבושת | לבוש
w3594	baffled	נבוך | מבולבל
w3596	benefactors	תורמים | תורם | נדבנים | נדבן
w3597	bland	תפל | משעמם
w3598	bleak	עגום | קודר
w3599	bolster	לתמוך | לחזק
w3601	candid	כנה | ישיר | גלוי לב | כן
w3602	canvass	לגייס תמיכה | לבדוק | לסקור
w3603	capitalize	לנצל | לכתוב ברישיות
w3604	caste	מעמד חברתי | מעמד | קאסטה
w3606	coincide	להקביל | לחפוף | להתאים
w3608	commendably	ראוי לשבח | באופן ראוי לשבח
w3609	commends	לשבח | לציין לשבח | להמליץ
w3610	commute	לנסוע בקביעות לעבודה | להמתיק | להמתיק (עונש) | להמיר | לנסוע | להחליף
w3611	comprise	לכלול | להיות מורכב
w3612	compulsory	חובה | מהווה חובה
w3615	concerted	מתואם | משותף
w3616	concise	קצר | תכליתי | תמציתי
w3619	condone	למחול | לסלוח | להשלים עם
w3620	confer	להעניק | להעניק (תואר | להתייעץ | כבוד) | לדון
w3621	confide	לשתף בסוד | לשתף | לספר (סוד) | לספר
w3622	confinement	מאסר | ריתוק | כליאה
w3623	conform	להסתגל | להתאים | לציית
w3627	conjecture	לשער | השערה | סברה
w3630	constituent	בוחר | רכיב | מרכיב
w3632	convene	להתכנס | לכנס
w3636	croak	למות | קרקור | לקרקר
w3637	culminate	להגיע לשיא | הגיע לשיא
w3638	dampen	להחליש | לדכא | להרטיב
w3639	dandy	גנדרני | גנדרן | מצוין
w3640	date	תאריך | יציאה | דייט | פגישה | פגישה רומנטית | תמר
w3641	deem	לחשוב ל- | לראות כ- | להחשיב
w3643	deliberation	דיון | שיקול דעת
w3652	depreciate	להפחית ערך | להמעיט בערך | לפחות מערכו | להיפחת | לרדת בערך
w3656	desolate	נטוש | שומם | הרוס | עגום
w3659	detrimental	פוגעני | מזיק
w3664	die (dice)	קובייה | קובייה (קוביות) | קוביה
w3665	diminish	לצמצם | לפחות | להקטין
