k	term	cands
w3214	burden	להכביד | עול | נטל
w3215	burglar	גנב | פורץ
w3216	by no means	בשום אופן לא | בשום אופן | כלל לא
w3218	carve	לחרוט | לחטוב | לחתוך | לחתוך (בשר) | לגלף | לפרוס
w3219	cavity	חלל | חור | עששת
w3222	circulate	להפיץ | לזרום | לנוע במחזוריות
w3223	circumstance	נסיבות | נסיבה | מצב | תנאי
w3224	coexist	לדור בכפיפה אחת | לחיות יחד בשלום | להתקיים יחד | להתקיים זה בצד זה
w3228	communal	משותף | קהילתי | ציבורי
w3229	comparable	בר השוואה | בר-השוואה | דומה
w3230	comparatively	יחסית | באופן יחסי
w3231	compel	לכפות | לאלץ | לחייב
w3232	composed	שלֵו | מורכב | רגוע | חיבר | הלחין | שולט בעצמו
w3234	conceal	להסתיר | להעלים
w3235	conception	התעברות | תפיסה
w3236	conclusively	באופן החלטי | סופית | חד משמעית
w3237	condemned	נידון ל- | לגנות | נידון
w3238	condense	להתעבות | לעבות (גז לנוזל) | לצמצם | לעבות | לתמצת | לרכז | לדחוס
w3240	consequently	כתוצאה מכך | לפיכך
w3241	considerable	רבות | משמעותי | הרבה | ניכר
w3242	consist	להיות מורכב | להכיל | מורכב מ-
w3243	consolidate	לגבש | לבסס | לאחד
w3244	constitute	מהווים | להוות | להקים | לייסד
w3246	contemporary	עכשווי | בן זמננו | בן-תקופה | בן-זמנו | מודרני
w3251	correspondence	התאמה | התכתבות
w3252	correspondingly	בהתאמה | בהתאם
w3253	counsel	לייעץ | פרקליט | להדריך | עורך דין | יועץ | עצה
w3254	counterpart	בעל תפקיד מקביל | בן-זוג | עמית | מקבילה
w3255	coupled with	בשילוב עם | יחד עם
w3256	courteous	מנומס | אדיב
w3257	crave	להשתוקק | לחשוק
w3262	deceased	נפטר | מת
w3263	deceive	להטעות | להונות | לרמות
w3266	defer	לדחות | לעכב | להישמע
w3267	deficiency	מחסור | ליקוי
w3269	degenerate	להתנוון | להידרדר | מנוון
w3271	delusions	הזיה | אשליות | הזיות | אשליה
w3275	derive	לנבוע | לשאוב | להפיק | לגזור מ-
w3276	differences	שוני | חילוקי דעות | הבדל
w3277	disciples	תלמידים | חסיד | תלמיד
w3281	dispatch	דיווח | לשלוח | לשגר
w3282	displacement	תזוזה | עקירה
w3284	dispute	מחלוקת | להתווכח | לערער
w3286	dissection	נתיחה | ביתור | חיתוך | ניתוח
w3287	divert	להסיט | להפנות לכיוון אחר | להסיח את הדעת | להטות
w3288	draw	שוויון | למשוך | תיקו | לצייר
w3291	dwell	להתגורר | להתעכב | לגור
w3292	dwelling	בית | מגורים | משכן
w3295	elusive	בלתי מושג | חמקמק
w3296	emergence	התהוות | היווצרות | הופעה
w3300	enlist	לגייס | להתגייס
w3301	envision	לחזות | לדמיין | לצפות
w3303	erroneous	שגוי | מוטעה
w3304	erupt	התפרץ | להתפרץ
w3306	esteemed	מכובד | נערץ
w3307	evade	התחמק | להתחמק
w3311	excessively	בהפרזה | מדי | בצורה מוגזמת
w3313	expendable	שניתן לוותר עליו | מתכלה | מיותר
w3317	familiarize	להכיר | להתוודע
w3318	famine	רעב | רעב קשה
