י6:160	הִטִּיל מוֹרָא	CONFIRMED	אבניאון: הטיל מורא = גרם לפחד ויראה	
י6:164	תָּדִיר	CONFIRMED	מילוג: לעיתים קרובות ובאופן סדיר	
י6:168	דּוֹרוֹן	CONFIRMED	ויקימילון: מתנה, שי	
י6:188	גִּבֵּב	CONFIRMED	מילוג: אסף וערם לערימה; גיבב מילים=קשקש	
י6:200	זְמִירוֹת	CONFIRMED	אבניאון: ריבוי של זמר, שירים	
י7:27	עַיִט	CONFIRMED	ויקימילון: עוף דורס ממשפחת הנציים	
י7:74	לֹא מָצָא יָדָיו וְרַגְלָיו	CONFIRMED	ויקימילון: היה שרוי בבלבול, לא היה בקיא	
י7:127	חַת	CONFIRMED	ויקימילון: פחד, מורא; הניקוד תואם	
י8:19	אַכְסַדְרָה	CONFIRMED	מילוג+אבניאון: מבנה מקורה נתמך בעמודים	
י8:20	גְּזוּזְטְרָה	CONFIRMED	ויקימילון: חלק בולט מחוץ לקירות הבניין	
י8:99	מִנִּי אָז	CONFIRMED	אבניאון: מאותו יום ואילך	
י8:103	נַחְתּוֹם	CONFIRMED	ויקימילון: אופה; הניב אמיתי	
י8:129	נִדָּח	CONFIRMED	מילוג: מרוחק, נטוש או שומם	
י8:186	עֲבוֹט	CONFIRMED	ויקימילון: משכון, חפץ הניתן כערבון	
י9:70	אִינְהֶרֶנְטִי	CONFIRMED	ויקימילון: טבוע, מובנה, שמטבע ברייתו	
