id	תווית	הערה
X01	כ	לאפיין + "ביותר" · מילה עודפת חסרת משמעות, הליבה נכונה
X02	כ	מזל + "ממש" · מילה עודפת
X03	כ	דברוים · ו' עודפת בתוך "דברים". אינה מילה
X04	כ	בופשה · ח→ב. אינה מילה
X05	ל	גישבם · זבל, אין קשר
X06	ל	לבט · אין קשר
X07	ל	ותר · אין קשר
X08	ל	להיפך · אין קשר
X09	ל	"התרחשות בו זמנית" · פירוש של כרטיס אחר לגמרי
X10	ל	אכיל · אין קשר
X11	ל	סלח · אין קשר
X12	כ	⭐ "בעל"→"על" · אות אחת במילת שימוש. אותה מחלקה כמו שבו/בו של חגי
X13	כ	תעל · השמטת ה'
X14	כ	⚠ השערה→השארה · ע/א. **"השארה" היא מילה עברית אמיתית** — ובכל זאת כ, כי אין שום מסלול שבו לומד חושב ש-hypothesis הוא "השארה". הסמנטיקה מכריעה, לא הלקסיקון
X15	כ	אסקה · ע→א. אינה מילה
X16	כ	בטיחת · השמטת ו'
X17	כ	געריני · היפוך ר/ע. אינה מילה
X18	כ	lask · אינה מילה
X19	כ	auard · אינה מילה
X20	ל	⚠ awfagivlffawwvs · **אינה מילה, ובכל זאת ל** — היא רחוקה מכל דבר. ראה הערה למטה
X21	ל	⚠ zrhbsih · אותו דבר
X22	ל	approve · מילה אמיתית ואחרת לגמרי
X23	ל	design · מילה אמיתית ואחרת
X24	ל	strain · מילה אמיתית ואחרת
X25	ל	footprints · מילה אמיתית ואחרת
X26	ל	giant→gat · שתי השמטות מתוך חמש אותיות, לא רצופות. אינו מדגים ידיעה
X27	ל	nourish→tourisst · nour→tour. נראה כמו tourist, מילה אחרת
X28	כ	ln top of · o→l שכן מקלדת
X29	כ	splve · o→p שכן מקלדת
X30	כ	ahom · w→a
X31	כ	ualf · h→u
X32	כ	advantwge · a→w שכן מקלדת
X33	כ	cheerfuul · אות כפולה
X34	כ	ffund · אות כפולה
X35	כ	neglgent · השמטת i
X36	כ	"rin rang" · השמטת g ופסיק
X37	כ	prosperrous · אות כפולה
X38	כ	propagandda · אות כפולה
X39	כ	spy→psy · היפוך. מילה בת 3 אותיות, סיכון גבוה — אבל השאלה היא אם ידע, והוא ידע
X40	כ	maunfacture · היפוך nu/un
