w3807	מונה	-	-
w3039	לשכנע	-	-
w3168	לזכות	-	-
w2771	להודות	לאשר	-
w0365	כפר	-	-
w3243	לאחד	לבסס	-
w0550	גינה	-	-
w3475	הסתמכות	-	-
w3414	רכיב תזונתי	-	-
w2817	מאפיין	אופייני	-
w3609	לשבח	להמליץ	-
w1719	קיום	-	-
w3940	במרץ	-	-
w2797	ביקורת	לבקר	-
w0491	להרוס	-	-
w3469	מקבל	-	-
w3765	מובנה	-	-
w2901	הכחדה	-	-
w2773	מספיק	-	-
w1487	סוואנה	-	-
w3122	שטחי	-	-
w3865	להמריץ מחדש	-	-
w0286	להציל	לחסוך	לשמור
w2607	מלך	-	-
w1819	מסלול	להקיף	-
w0334	לתמוך	תמיכה	-
w1576	בתוך	-	-
w1572	בכל מקום	-	-
w0862	לאשר	-	-
w0358	לפנות	תור	לסובב
w2746	לחשוף	-	-
w2446	אומן	-	-
w3196	טענה	-	-
w0018	אחר	נוסף	-
w2599	גברי	-	-
w0331	פתאום	-	-
w1670	שיעול	להשתעל	-
w1927	להגיש	להיכנע	-
w0785	חכם	-	-
w2503	שחיקה	-	-
w3762	ינקות	שלב ראשוני	-
w0653	הפסקה	להשהות	-
w2911	לצפות	-	-
w3820	בגלל	-	-
w2841	פומה	-	-
w3815	להשמיט	-	-
w1340	הון	מזל	-
w2466	להבדיל	-	-
w1488	פירות ים	-	-
w0437	חדר שינה	-	-
w1580	תולעת	-	-
w1736	לעתים קרובות	-	-
w3091	להחיות מחדש	-	-
w3835	צייד לא-חוקי	-	-
w3759	לנטות	מדרון	-
w2216	לנדוד	להגר	-
w1208	אמנותי	-	-
w0245	אולי	-	-
w2163	בניגוד ל	-	-
w0204	דגם	מודל	דוגמן
w1924	להיאבק	מאבק	-
w0986	אינטליגנציה	מודיעין	-
w3869	מוניטין	תהילה	-
w2592	מורשת	ירושה	-
w2674	להתייחס	לספר	-
w3739	לספק	-	-
w2596	תקלה	להתקלקל	-
w0138	יד	למסור	-
w1463	קרן	-	-
w1345	בדרך כלל	-	-
w2214	לשנן	-	-
w3631	לטעון	להתמודד	-
w3735	בלוטה	-	-
w2250	הורות	-	-
w2945	להצית	לעורר	-
w3007	תמותה	-	-
w1728	תכונה	להציג	-
w2662	לגייס	טירון	-
w1811	כיום	-	-
w2217	הגירה	נדידה	-
w3124	סובב	-	-
w3112	צער	-	-
w1329	קטלני	גורלי	-
w0077	למות	קוביה	-
w1866	לדחות	-	-
w0598	ספרייה	-	-
w3842	קודם	-	-
w1704	קשיש	-	-
w2619	עבירה	עלבון	התקפה
w3728	חסכני	-	-
w2683	הגבלה	-	-
w1353	מלחמת המפרץ	-	-
w3519	פרברי	-	-
w0150	איך	-	-
w0841	פרק	-	-
w1030	הזדמנות	-	-
w1535	הדוק	צמוד	-
w1583	מוחלט	-	-
w1399	רחמים	-	-
w3055	מנהל	עיקרי	קרן
w0274	דוח	לדווח	-
w0713	גודל	מידה	-
w2777	לתמוך	תומך	-
w2107	לחלוטין	-	-
w0015	ו	-	-
w3026	ריח	-	-
w2118	ראייה	-	-
w0082	קשה	-	-
w2479	הפצה	חלוקה	התפלגות
w0422	כל עוד	-	-
w3024	לתפוס	לכבוש	להעסיק
w2958	אסיר תודה	חייב	-
w1453	מירוץ	גזע	-
w0265	להגן	-	-
w2976	להניח	להטיל	-
w2673	להתייחס	לספר	-
w1323	גורם	-	-
w0389	בלי	-	-
w1321	לייצא	יצוא	-
w2550	עשב תיבול	-	-
w2057	תחרות	לערער	-
w3371	לבודד	להגן	-
w2610	קריינות	תיאור	-
w2560	חיקוי	-	-
w0300	שלט	סימן	לחתום
w0325	עדיין	דומם	-
w3088	לשמור	-	-
w0590	סכין	-	-
w2376	לאמץ	-	-
w0692	רקטה	טיל	-
w3587	שאיפה	-	-
w1226	רב מכר	-	-
w2688	להחיות	להתאושש	-
w2363	לדמיין	להמחיש	-
w0892	אסון	-	-
w2223	מדרון	-	-
w1602	עמותה	קשר	-
w3330	לטפח	אומנה	-
w0163	למעשה	-	-
w0179	אחר כך	-	-
w0586	ג'ונגל	-	-
w0174	להרוג	-	-
w0852	קרב	להילחם	-
w0306	מצב	-	-
w1090	להחליף	-	-
w3872	בהתאמה	-	-
w1412	לנווט	-	-
w2510	יוצא דופן	מצוין	-
w2739	לגזום	לקצץ	-
w3423	באיחור	-	-
