k	v	why
2525a9f56c44	כ	עבר רבים של ליישר
22148c018e3b	כ	יידוע של עוגן
00ec914738aa	כ	יידוע של נכס
a8de838b8679	כ	עתיד של לאשר
a2e9bd0f43a3	כ	תחילית ל על קומפוסט
64c3fde7bfa6	כ	נקבה של מודע
d0c06da977dd	כ	נקבה של מתמשך
33c74533c64f	כ	יידוע של מחלבה
f55086fbd60c	כ	עתיד רבים של להפיץ
2222054d553f	כ	נסמך של הפצה
c683de9c23a1	כ	תחילית ב על מורד
09ab96e126f6	ל	נפעל להיסחף מול שם העצם סחף · בניין שונה
de03656f2671	כ	ריבוי של ראש הצירוף שווה ערך
130f4cf25133	כ	עבר רבים של להדק
b7cd521b05a4	כ	ריבוי נקבה של תכוף
d6a06fe244fe	כ	עתיד של לקבוע
089e9bb35328	כ	תחילית ב על מכולת
c43b9ab4fde8	כ	נקבה של לא עקבי
8a8f396bfe6a	כ	יידוע של מצאי
de61a6ee9b7e	כ	תחילית ב על שוליים
cbac167dc107	כ	יידוע של פושע
add09caa4e0e	כ	יידוע של פסקה
152d4ae159be	כ	הווה רבים של לצפות מראש
a2ddee5abb4c	כ	עתיד נקבה של להיות מוסמך
7d5abae978fc	כ	הווה רבים של לשחזר
3b13e6e7d176	כ	עתיד של לגייס
7549a94e1260	כ	כינוי שייכות על השתקפות
e2a0f9feac8e	כ	הווה רבים של להזדהות עם
ccec0da08b7f	כ	עתיד של להמשיך
b211fa146dbf	ל	בדיקה מול תיקון/עדכון · מילים שונות
844658745d27	כ	עבר נקבה של התחדש
3337691544d6	כ	יידוע של מעבורת
7ecba0d00fc8	כ	נסמך של שחיטה · שם הפעולה של לשחוט
c591eb7e0703	כ	עתיד של להשעות
5db164f791d9	כ	הווה נקבה רבים של לשדר
009b79418063	כ	יידוע וריבוי בתוך הצירוף נישא באוויר
1db499bf3126	כ	כינוי שייכות על הערכה
181a7f9d5e25	כ	הווה נקבה של לספק
8cebe5852597	כ	יידוע של מאפיין
df3a6e754c6a	כ	עתיד נקבה של להטיל מום
c75e4f547b4f	כ	יידוע של חץ
a8f7b78c5661	כ	עבר נקבה של טיפל ב
df0636424677	כ	עתיד של להתמוסס
489172c24532	כ	יידוע של מיוחד
b3f5a5bb5de7	כ	כינוי שייכות על מצוקה
7dda845ca8a0	כ	עתיד של להעצים
6cc777032f77	כ	יידוע של בד
c15f04877d0c	כ	תחילית ל על שבר
e4f4bcac8c8a	כ	יידוע בתוך הצירוף סביבת מגורים
f88a432fab95	כ	יידוע של שרת
f848c3cf310d	כ	עבר נקבה של להניח
f15b5a15543b	כ	נפעל של להישען · אותו בניין
71a2d8f93eda	כ	תחילית מ על שיש
695c201d29f0	כ	יידוע של טבח
4f5f5c3d824a	כ	עבר רבים של ללעוג
e1b9eebabdc1	כ	נקבה של צנוע
0552bbefdde6	כ	יידוע של אצולה
63d393ca369a	כ	עבר של להעסיק
8e0311383827	כ	יידוע בתוך הצירוף הולך רגל
c6ffd7b4bff8	כ	עבר נקבה של להתמיד
b176df76a7c3	כ	עבר נקבה של לצבוט
c8a607817fa8	כ	תחילית ב על טיח
26cc15376014	כ	עבר של להתחנן
b09b8624921d	כ	יידוע ונקבה בתוך הצירוף מוקדם מדי
8e4456cdb9a1	ל	בוחן מול חקר/בירר/גישש · מילים שונות
a83fe74ed807	כ	עתיד של לרדוף
7c241fd8579e	כ	הווה נקבה של ראש הצירוף לחזור ולהופיע
b7d587652faa	כ	הווה של להחשיב
1c4f7d42d5b1	כ	הווה נקבה של לווסת
6eab37913eec	כ	נסמך של שפה
661a2a5cddc7	כ	ריבוי של נדיר
f6a829baaf05	כ	עתיד של לפזר
1e5988510f9f	כ	יידוע של רגשות
87eb29070fdd	כ	יידוע של יתד
f7d49e698bc4	כ	הווה של לדחוק ב
3175bf74faaa	כ	יידוע של מבוקש
d1db7ca0994d	כ	נקבה של נפוץ
363808b0d881	כ	עבר נקבה של קם / לקום
