f762010ca21b	כ	זמן וגוף
12d59da11ab2	כ	שם פועל מול עבר
610540e3a4a7	כ	עתיד מול שם פועל
c614e0cb955c	כ	נטיית מין
6cc0bec2cbd0	כ	תחילית מ
02dfe1cf8a2b	כ	הווה מול שם פועל
bfa9ccbd39e9	כ	עבר מול שם פועל
c9838a077b1a	כ	הווה נקבה
7cf498039f76	כ	יידוע בסמיכות
f056d3f10a39	כ	כינוי חבור
522cc19ba52d	כ	עבר נקבה
ea75611dea4f	כ	עתיד מול שם פועל
8a83f4902fc8	כ	תחילית ל
a26e44caa64f	כ	יידוע
d3b97e4d3a78	כ	תחילית ל
110a30ed63b6	כ	תחילית ב
b2ef7ac59ca0	כ	יידוע
c03f938905cb	ל	שם מופשט מול שם תואר
e92e240c1aea	כ	הווה רבים
65b4b55fcf53	כ	יידוע
a7ae8e01ea15	כ	יידוע
47d095333cbd	כ	כינוי חבור
982c39abb2a8	כ	נטיית מספר
fef70fd8f604	ל	שינוי בניין, סביל
1c16818cce46	כ	יידוע
d9d357e9672a	כ	עתיד מול עבר
9259d8c64a13	כ	יידוע
2f3ecd36f01e	כ	שם פועל מול עבר
347531e55e96	כ	מין ויידוע
25e640dc04b4	כ	עתיד רבים
059f6a8b3c70	כ	יידוע
7d3ada3374f2	כ	יידוע, הרחבה מפרשת
184473be33ca	כ	יידוע
36a8d54d4297	כ	יידוע
ca765f34366a	כ	הווה רבים
447b66edb4a4	כ	יידוע
a56bc9f29e80	כ	עבר מול הווה
db58dc8d7d44	כ	הווה רבים
d6bbe9885651	כ	יידוע
cbb28194bc81	כ	תחילית ותוספת תואר
480c8291bcd7	כ	יידוע
6d0ccb2d35c8	כ	מין ויידוע
e0c3ed884f00	כ	מין ויידוע
3c461d5801a8	כ	יידוע
b6b6fdf8f6f3	כ	נטיית מין
e9830358e1fb	כ	תחילית ל
321070257969	כ	יידוע
d04b6cdb7a90	כ	יידוע
dac4a6df1500	כ	יידוע
cfa19cea3e73	כ	יידוע
3597497a95c0	כ	נטיית מספר
da4fb7a16798	כ	יידוע
423a0071e50f	כ	וריאנט כתיב
3081faf2bf4a	כ	אותה מילה, שלילה חלופית
0beba44cc5fb	כ	עתיד מול שם פועל
ed0daf6cb864	כ	יידוע ומספר
e5336d874652	ל	שינוי בניין, סביל
05ff9223f59d	כ	יידוע
d3df7994acbc	כ	עבר מול שם פועל
7676ead5c41c	כ	הווה רבים
1bf639ef9bd7	כ	תחילית כ
06e3712eedce	כ	הווה מול שם פועל
f34346cd2d6e	ל	מילים שונות
c79ccc23ebd5	כ	תחילית מ ויידוע
4f1d222d8d2e	כ	יידוע
63ac9b14ea3a	כ	יידוע
addec37020a3	כ	יידוע
ab69067f47c7	כ	תחילית ב
5a62d1fa8630	כ	יידוע
ac4fbcc568cc	כ	נטיית מין
bcf163cda3a1	כ	יידוע בסמיכות
aabe181a99ba	ל	שם מופשט מול שם תואר
2763b5505ad6	ל	שם מופשט מול שם תואר
934afbced9dd	כ	תחילית ל
545466016889	כ	יידוע
2aea9b4702b2	כ	מין ויידוע
0396a1bc703d	כ	מין ויידוע
fba416072327	כ	נטיית מספר
d06bd1dd897c	כ	הווה רבים
1685c8d0d35f	כ	וריאנט כתיב
a30f6bddcebb	כ	נטיית מין
462f753ef808	כ	נטיית מספר
0851f93d72bf	ל	ניסוחים שונים, מילים שונות
42724566d7a7	כ	נטיית גוף
cce15359dea9	כ	הווה נקבה
23883453bcfb	כ	יידוע
f968e268dab7	כ	יידוע
8ef6d0295c9c	כ	הווה מול שם פועל
1c480a29d989	כ	הווה רבים
73a252a6d7bb	כ	מין ויידוע
d39d5f214559	כ	יידוע
9dc0cf9de624	כ	סמיכות ויידוע
