k	term	cands
w3738	granted (that)	בהנחה ש- | אמנם | נתון ש-
w3215	burglar	גנב | פורץ
w2844	cripple	נכה | להטיל מום | לשתק
w3448	presently	בקרוב | כעת | כרגע
w3534	unearth	לחשוף | לחפור | לגלות
w3925	transcend	לחרוג | להתעלות
w2742	tutor	מורה פרטי | להדריך | ללמד
w2794	arousing	מגרה | מעורר | לעורר
w3909	subdue	לרסן | להכניע
w3271	delusions	הזיה | אשליות | הזיות | אשליה
w3191	arguably	לכאורה | כנראה | ניתן לטעון ש-
w3115	steer	להוביל | לנווט | לכוון | להגות
w2908	footage	קטעי וידאו | קטע צילום
w3263	deceive	להטעות | להונות | לרמות
w2571	initiated	להתחיל | ליזום | אִתְחֵל | יזם | התחיל
w3521	surpass	לעקוף | לעלות על | להצטיין
w3025	occurrence	מקרה | התרחשות
w3700	ensue	לנבוע | להתרחש בעקבות | לבוא כתוצאה | להתחולל
w2519	exterior	חיצוני | חזית
w2386	anchor	קריין | לעגון | עוגן
w2436	consumers	צרכנים | צרכן
w2724	supervise	לפקח | להשגיח
w3238	condense	להתעבות | לעבות (גז לנוזל) | לצמצם | לעבות | לתמצת | לרכז | לדחוס
w3622	confinement	מאסר | ריתוק | כליאה
w3630	constituent	בוחר | רכיב | מרכיב
w3573	agonize	להתלבט קשות | להתייסר | להתלבט | לסבול ייסורים
w3072	regard	להחשיב | להתייחס | כבוד
w2976	laid	להטיל | להניח | מונח
w2596	malfunction	ליקוי | להתקלקל | תקלה | כשל
w2888	endure	לשרוד | להחזיק מעמד | לסבול
w2649	publicized	לפרסם | פורסם
w2858	descend	ירד | הדרדר | לרדת
w3390	litter	לפזר | זבל | לזרוק זבל | אשפה | לזרוע | המלטה | ללכלך בפסולת | פסולת
w3931	uphold	לקיים | לדגול | לתמוך | להחזיק
w3432	pivot	ציר | לסובב על ציר | לסובב
w2958	indebted	אסיר תודה | חייב ל- | חייב
w2887	endurance	סיבולת | כוח סבל
w3465	readily	ברצון | ללא קושי | בקלות
w2776	advancement	מקדמה | קידום | התקדמות
w3548	ward	מחלקה | אגף
w3086	restrain	לרסן | לעצור
w3796	momentous	מכריע | גורלי | הרה גורל
w3000	misty	מעורפל | ערפילי
w2879	dread	לפחד | אימה | פחד | לחשוש
w3464	rationalize	להסביר | לייעל | להצדיק
w3656	desolate	נטוש | שומם | הרוס | עגום
w2469	disciplined	ממושמע | חינך | מאופק | העניש
w3111	solitary	בודד | מבודד
w2957	incompetence	חוסר כשירות | חוסר יכולת
w2630	participate	להשתתף | השתתף
w3841	poultry	עוף | עופות
w2465	dictate	ציווי | לפקד | להכתיב
w2929	growled	לנהום | נהם
w3543	vessel	כלי שיט | ספינה | כלי
w2967	intact	ללא פגע | שלם
w3716	flagrant	גלוי | משווע | בוטה
w2868	disposable	חד-פעמי | חד פעמי
w3267	deficiency	מחסור | ליקוי
w3451	proclaim	להכריז בפומבי | להכריז
w2900	extensive	מקיף | נרחב
