k	term	cands
w0921	exist	קיים | להתקיים
w0867	cost	עלות | לעלות | מחיר
w1094	rescue	הצלה | להציל
w0958	highway	כביש ראשי | כביש מהיר
w0840	challenge	אתגר | לאתגר | לערער
w1015	monitor	מוניטור | מסך | לנטר | להשגיח
w1053	practice	תרגול | לתרגל | נוהג
w0826	block	חסימה | חלק | לחסום | לבנה | גוש
w0917	except for	פרט ל | למעט | חוץ מ
w0990	invisible	סמוי | בלתי נראה
w0895	display	להציג | תצוגה
w1009	material	מהותי | חומרני | חומר | בד
w0825	blind	לסנוור | עיוור | תריס
w0891	disappear	להיעלם | להעלם
w0837	cell	תא | סוללה
w1068	protest	למחות | מחאה | הפגנה
w1046	pipe	צינור | מקטרת
w1043	permission	רשות | אישור | היתר
w1054	precious	אהוב | יקר
w1018	mystery	תעלומה | מסתורין
w0973	impact	השפעה | להשפיע | התנגשות
w0864	content	שביעות רצון | תוכן | מרוצה
w0960	honest	הגון | כן | ישר
w1129	spirit	כוונה | רוח רפאים | רוח | מורל | רוח הדברים | אלכוהול | נפש
w0950	grade	מעמד | כיתה | שיפוע | לדרג | דרגה | ציון
w1170	unfortunately	למרבה הצער | לצערי
w1019	nation	עם | אומה
w0935	flew	עף | לעוף | לטוס
w0924	extraordinary	יוצא דופן | בלתי רגיל
w1038	peaceful	שָׁלֵו | שליו | שקט
w1184	wild	פראי | בר | טבע | פרוע
w1142	surrender	להיכנע | כניעה
w1164	treatment	טיפול | יחס
w0962	host	מארח | לארח
w0882	described	לתאר | מתואר
w0933	fit	להתאים | מתאים | בכושר
w1060	prison	כלא | בית סוהר
w0849	coin	מטבע | לטבוע
w0845	choice	ברירה | בחירה
w1049	pleasure	הנאה | לענג | תענוג | עונג
w1128	spell	קסם | לאיית | כישוף | איות | תקופה
w0929	fever	קדחת | חום | חום (של מחלה)
w1002	limit	לשים גבול | גבול | מוגבל | להגביל
w1162	transport	תחבורה | שינוע | להוביל | הובלה
w0836	castle	טירה | מצודה
w1051	position	מיקום | משרה | עמדה | תפקיד | תנוחה | למקם
w0975	in general	בדרך כלל | באופן כללי
w1024	no longer	כבר לא | לא עוד
w1020	nearby	סמוך | קרוב | בקרבת מקום | ליד
w1140	surely	ללא ספק | בוודאי
w1014	mirror	מראה | לשקף
w1146	target	למקד | מטרה
w0873	curious	סקרן | מוזר
w1011	mention	לאזכר | להזכיר | אזכור
w0878	delay	עיכוב | לדחות | לאחר | לעכב
w1171	unusual	לא רגיל | בלתי רגיל | יוצא דופן
w1058	pride	להקה | גאווה
w1115	ship	אוניה | לשלוח | ספינה
w0944	function	תפקיד | תפקוד | לתפקד | פונקציה
w1172	useful	שימושי | מועיל
