k	term	cands
w2849	dealt	חולק (קלפים | לטפל | להתמודד | ניירת) | לחלק | עסק ב
w2807	briefly	לזמן קצר | בקצרה
w3486	sanctuary	שמורה | מקלט | מקדש
w3609	commends	לשבח | לציין לשבח | להמליץ
w3669	disdain	לבוז | זלזול | בוז
w3574	albeit	למרות ש | אף על פי | אם כי | אף על פי ש
w3334	glimpse	הצצה | מבט חטוף | להבחין
w2910	forceful	עוצמתי | נמרץ | תקיף | בעל עוצמה
w3139	unrest	מהומה | אי שקט | חוסר שקט
w2689	revolt	למרוד | מרד
w3885	shingles	שלבקת חוגרת | רעף
w3389	literate	משכיל | בקיא | בעל אוריינות | אוריין | יודע קרוא וכתוב
w3710	fabricate	לבדות | לייצר
w3181	ample	נרחב | מספיק | גדול | שופע
w3787	lucrative	רווחי | ריווחי | משתלם
w3415	oblige	להכריח | לחייב | לעשות טובה
w3413	nurture	להזין | חינוך | לחנך | לטפח
w3782	leisurely	בנחת | נינוח | רגוע
w3461	pursuit	מרדף | רדיפה | שאיפה
w3255	coupled with	בשילוב עם | יחד עם
w3896	speck	פירור | נקודה | גרגר זעיר | נקודה זעירה
w3898	splendor	פאר | הדר
w3670	dislocate	לנקוע | לפרוק | לפרק
w2421	compensate	לפצות | לקזז
w2538	govern	לנהל | למשול | לשלוט
w2834	continuity	רציפות | המשכיות | רצף הגיוני
w3906	stricken	פגוע | מוכה
w2642	preserve	שמורה | לשמר | ריבה
w3152	wage	משכורת | לערוך | לנהל | שכר
w3729	fume	עשן | לזעום | אדים | אד
w3232	composed	שלֵו | מורכב | רגוע | חיבר | הלחין | שולט בעצמו
w3006	moreover	זאת ועוד | יתרה מזאת | בנוסף
w2875	disuse	חוסר שימוש | אי-שימוש
w3845	pretext	אמתלה | תואנה | תירוץ
w3287	divert	להסיט | להפנות לכיוון אחר | להסיח את הדעת | להטות
w2970	intimidate	להפחיד | לאיים
w3360	incorporate	לשתף | לכלול | לאגד | להתאגד | לשלב
w3893	soar	לדאות | להמריא | לזנק
w3414	nutrient	רכיב תזונתי | חומר מזין
w3570	affluence	עושר | שפע
w3768	insurmountable	בלתי עביר | שאין להתגבר עליו
w2978	lie, lay	להימצא | שכב | לשכב
w3683	draw (drew)	למשוך | תיקו | לצייר | שלף | לשלוף
w3276	differences	שוני | חילוקי דעות | הבדל
w3884	sheer	שקוף | מוחלט | לחלוטין | משופע | תלול | טהור
w2725	suppress	לכבוש | לדכא | להשתיק
w3328	forfeit	לאבד | להפסיד | לוותר | לוותר על
w3130	tin	עשוי מפח | בדיל | פח | קופסה
w2907	firm	נחוש | מוצק | חברה (פירמה) | יציב | חברה | תקיף
w3399	mischief	מעשה קונדס | תעלול | שובבות | נזק
w3109	soil	ללכלך | אדמה | לכלוך
w2655	qualify	להסמיך | להיות מוסמך | להעפיל
w2403	brainwash	לשטוף את המוח | לשטוף מוח
w3709	extrapolate	להסיק | לאמוד על סמך מידע קיים
w2579	interpretation	פרשנות | פירוש
w3664	die (dice)	קובייה | קובייה (קוביות) | קוביה
w3159	widespread	נפוץ | רחב היקף
w3835	poacher	צייד לא-חוקי | מסיג גבול | צייד לא מורשה
w3284	dispute	מחלוקת | להתווכח | לערער
w3665	diminish	לצמצם | לפחות | להקטין
