k	term	cands
w2777	advocate	לדגול ב- | לתמוך בגלוי ב- | פרקליט | מצדד | לתמוך | תומך
w2735	tolerance	סובלנות | סבילות
w2669	regardless	ללא קשר | למרות | בכל זאת
w3017	numb	חסר תחושה | רדום | קהה
w3335	glorify	להאדיר | להלל | לפאר
w3291	dwell	להתגורר | להתעכב | לגור
w2558	idolize	להעריץ | להאליל
w3779	lapse	סיום | פרק זמן | לפקוע | מעידה | פקיעה | פליטת פה
w3786	loathe	לשנוא | לתעב
w3244	constitute	מהווים | להוות | להקים | לייסד
w3482	rigid	מחמיר | קשיח | נוקשה
w2874	distress	מצוקה | לצער
w3876	rotary	כיכר תנועה | נע על ציר סיבובי | סיבובי
w2400	bandage	תחבושת | לחבוש
w2877	divine	אלוהי | לנחש
w3436	pose	להציב | להתחזות | להוות | תנוחה
w3695	enclosing	לצרף | להקיף | לסגור
w3234	conceal	להסתיר | להעלים
w3223	circumstance	נסיבות | נסיבה | מצב | תנאי
w3450	probation	מאסר על תנאי | תקופת ניסיון | תקופת מבחן
w3347	humility	ענוה | ענווה
w3097	scatter	לפזר | להתפזר
w3515	stumble	למעוד | להיכשל
w2815	certainty	וודאות | ודאות
w3446	prescribe	לרשום | להורות | לרשום מרשם
w3772	invariably	באופן קבוע | תמיד | ללא יוצא מן הכלל | בכל פעם
w3313	expendable	שניתן לוותר עליו | מתכלה | מיותר
w2570	ingredient	רכיב | מרכיב
w3237	condemned	נידון ל- | לגנות | נידון
w3108	slender	דק | רזה
w3833	plight	מצב קשה | צרה | סכנה | מצוקה
w2545	guidance	הכוונה | הנהגה | הנחיה | הדרכה
w2640	predict	לצפות מראש | לחזות | לנבא
w3435	portray	לגלם | לתאר | לצייר
w2396	authorize	להרשות | לאשר | להסמיך
w3868	render	לעבד | להפוך | להגיש | לגרום | להפוך ל-
w3099	sentiments	רגשות | רגש | דעה
w3791	marsupial	חיית כיס | יונק כיס
w3009	mutually	באופן שווה/הדדי | הדדית
w3341	hasten	להאיץ | להחפז | למהר
w3098	sensible	הגיוני | נבון
w3511	strain	זן | לאמץ | להתאמץ | למתוח | לנקוע | מתח | מתח נפשי
w3275	derive	לנבוע | לשאוב | להפיק | לגזור מ-
w3076	reinforce	לבסס | לחזק | לתגבר
w2646	promote	לקדם | לפרסם
w3533	undertake	להתחייב | ליזום | לקחת על עצמך
w3522	swept away	לסחוף | נסחף
w2589	knot	קשר | לקשור
w3367	ingest	לצרוך | לבלוע | להכניס משהו לגוף דרך הפה
w3719	fluctuation	חוסר יציבות | תנודה
w2829	conquistador	קונקיסטדור | כובש
w3640	date	תאריך | יציאה | דייט | פגישה | פגישה רומנטית | תמר
w2951	impose	להטריח | לכפות | להטיל
w2922	goods	מוצרים | סחורה | טובין
w2526	fierce	עז | אכזרי | פראי
w3055	principal	מנהל | ראשי | קרן (הלוואה) | קרן | מנהל בית ספר | עיקרי
w3336	gracious	אדיב | חינני | נדיב
w3874	resurgence	התעוררות מחדש | תחייה
w2771	acknowledge	לאשר קבלה | לאשר | להכיר ב- | להודות ב- | להודות
w3837	populous	רב אוכלוסין | מאוכלס בצפיפות
