k	term	cands
w2629	partial	מוטה | חלקי
w3844	preside	לכהן | לנהל
w2923	grace	חסד | חן | חינניות
w3895	solitude	בדידות | התבודדות
w2503	erosion	סחף | כרסום | שחיקה
w3160	withstand	לעמוד ב- | לעמוד בפני | להתמודד
w2931	halve	לחלק לחצי | לחלק לשניים | להקטין בחצי
w3242	consist	להיות מורכב | להכיל | מורכב מ-
w3158	welfare	רווחה | סעד
w3778	lamentable	מעציב | עגום | מצער
w2546	handful	חופן | קומץ
w3632	convene	להתכנס | לכנס
w2818	civil	אזרחי | מנומס | אדיב
w3080	remedy	לתקן | תרופה
w2477	distract	להסיח את הדעת | להסיח דעת
w3235	conception	התעברות | תפיסה
w3783	leniency	הקלה בעונש | מתינות | סלחנות | ותרנות
w3490	score	לזכות בניקוד | לחרוץ | לחתוך | לקלוע | ניקוד | תוצאה
w3527	timber	קורה | עץ
w3773	invertebrate	חסר חוליות | חסר-חוליות
w3441	poverty-stricken	עני | מוכה עוני | מרוד
w2506	evaluate	להעריך | לאמוד | לשפוט
w3599	bolster	לתמוך | לחזק
w2930	habitat	בית גידול | סביבת מגורים | סביבת מחיה
w2943	howl	יללה | לייליל | לילל
w2983	magnitude	חשיבות | עוצמה | גודל
w3901	staple	לשדך | מוצר בסיסי | סיכת שדכן | סיכת הידוק | מצרך יסוד | בסיסי | עיקרי
w2872	distinct	ברור | נבדל | מובהק | נפרד
w2851	decline	לרדת | ירידה | לדחות | לסרב
w3561	abstain	להימנע | להתנזר | להימנע ממשהו
w2896	exhaust	למצות | צינור מפלט | להתיש | (ש״ע) גזי פליטה | גזי פליטה | פליטה | לרוקן
w2388	antique	עתיק | עתיקה | ענתיקה
w3356	in due time	בבוא הזמן | בבוא העת
w3286	dissection	נתיחה | ביתור | חיתוך | ניתוח
w2523	farther	יותר | הלאה | רחוק יותר | רחוק
w3718	flimsy	בלתי משכנע (תירוץ/ראיה) | דל | רופף | שביר | קלוש | רעוע | בלתי משכנע
w3794	misconception	דעה מוטעית | אי הבנה | תפיסה מוטעית
w3771	interminable	בלתי נגמר | נצחי | אינסופי
w3529	tremendous	אדיר | עצום
w3085	restoration	שיקום | שחזור | השבה
w2482	downhill	מדרון | מתדרדר | מורד | במורד
w2865	discourage	להניא | לשכנע שלא לעשות משהו | לייאש
w3252	correspondingly	בהתאמה | בהתאם
w2662	recruit	טירון | לגייס
w3584	arable	ראוי לעיבוד | חקלאי | מתאים לעיבוד
w3224	coexist	לדור בכפיפה אחת | לחיות יחד בשלום | להתקיים יחד | להתקיים זה בצד זה
w3596	benefactors	תורמים | תורם | נדבנים | נדבן
w2660	reconstruct	לבנות מחדש | לשחזר
w3937	vertebrate	בעל חוליות | חולייתן
w2451	dairy	חלבי | מחלבה
w3106	skinned	פשט עור | לקלף
w2853	deflate	לרוקן | להחליש | להוציא אוויר מ-
w3330	foster	לקדם | לעודד | לטפח | אומנה | (הורה/ילד) אומן | אומן
w3266	defer	לדחות | לעכב | להישמע
w3318	famine	רעב | רעב קשה
w3785	lineage	ייחוס | מוצא | שושלת
w3169	adhere	לדגול ב- | להידבק | לדבוק | לדבוק ב-
w3740	grievance	תלונה | טרוניה | התמרמרות
w3507	spring, sprang	לקפוץ | קפיץ | קפץ | לצוץ | לנבוע
w3199	attain	להגיע ל | להשיג | להגיע
