k	term	cands
w3407	negate	לשלול | לבטל
w3082	resemble	להידמות ל | דומה
w2430	conscious	מודע | בהכרה
w2664	refer	מתייחס | להפנות | להתייחס
w3116	stem	לנבוע מ- | לנבוע | להיווצר מ- | גזע | גבעול
w3024	occupy	לכבוש | לתפוס | להעסיק | לאכלס
w3842	predecessors	קודמים | קודם
w3488	saw	לראות | מסור | משור
w2740	triumph	ניצחון | לנצח
w2993	medieval	ביניימי | מתקופת ימי הביניים
w3864	reigned	למלוך | שלט | משל
w3052	premature	פג | מוקדם מדי | מוקדם
w3117	stiff	נוקשה | קשיח
w2626	overlaps	לחפוף | חפיפה | חופף
w3311	excessively	בהפרזה | מדי | בצורה מוגזמת
w3550	whereas	בעוד ש- | בעוד ש
w3218	carve	לחרוט | לחטוב | לחתוך | לחתוך (בשר) | לגלף | לפרוס
w2385	amusement	שעשוע | בידור
w3843	predestined	נקבע מראש | מיועד | נועד מראש
w3008	mourning	מתאבל | להתאבל | אבל
w3568	adverse	מזיק | שלילי
w3636	croak	למות | קרקור | לקרקר
w2408	certify	להסמיך | לאשר | להצהיר
w3229	comparable	בר השוואה | בר-השוואה | דומה
w3422	outweigh	שוקל יותר מ- | עולה על | לגבור על
w2671	regulation	רגולציה | תקנה
w3536	unparalleled	יוצא דופן | חסר תקדים | שאין כמותו
w3856	quench	להרוות | להשקיט | לספק | לכבות
w2744	unconcerned	אדיש | לא מודאג
w3540	vain	שחצן | חסר תוחלת | לשווא | יהיר
w3899	sprang	קפץ | צמח | לקפוץ | צמח (עבר של spring) | לנבוע | נבע | זינק
w3352	illuminate	להאיר | להבהיר
w2377	adore	לאהוב מאוד | אהב | להעריץ | העריץ
w3254	counterpart	בעל תפקיד מקביל | בן-זוג | עמית | מקבילה
w3013	nevertheless	למרות זאת | בכל זאת
w2850	decay	להירקב | ריקבון
w3528	timid	פחדן | ביישן
w2790	applaud	מחא כפיים | הריע | להריע | למחוא כפיים
w3619	condone	למחול | לסלוח | להשלים עם
w3701	epitomize	לייצג | לגלם | לסמל | לאפיין
w2793	arise	להופיע | להתעורר | לצוץ | לעלות
w3696	enclosure	שטח מגודר | סגירה | מכלאה | כיתור | נספח
w2761	whether... or...	בין אם... או... | בין אם... ובין אם...
w2606	misbehave	להתנהג בצורה לא הולמת | להתנהג רע | להשתובב
w3913	susceptible	נוטה ל- | רגיש ל- | נוטה | רגיש | חשוף ל-
w3045	pioneer	לפרוץ דרך | חלוץ
w2690	rhyme	חרוז | לחרוז
w2684	resume	להמשיך | קורות חיים
w3292	dwelling	בית | מגורים | משכן
w3750	hinder	להפריע | לעכב
w3652	depreciate	להפחית ערך | להמעיט בערך | לפחות מערכו | להיפחת | לרדת בערך
w3036	pedestrian	שגרתי | הולך רגל
w3855	quarrelsome	וכחני | נוטה לריב | קנטרן
w2459	desirable	רצוי | מבוקש | נחשק
w2860	despise	לבוז | לתעב
w2429	conquer	להתגבר על | לכבוש
w3603	capitalize	לנצל | לכתוב ברישיות
w2698	sensation	תחושה | סנסציה
w3945	wrought	מעובד | מחושל | מעוצב
w2515	expedition	מסע | משלחת
