k	term	cands
w1611	awkward	מגושם | מביך | מוזר | מסורבל
w1892	satisfy	לרצות | להשביע רצון | לספק
w1477	replacement	תחליף | מחליף
w1831	perform	להופיע | להציג | לבצע
w1462	rational	רציונלי | הגיוני | רציונאלי
w1889	sailor	ימאי | מלח
w2282	recall	לזכור | להחזיר | להיזכר | להשיב צלצול
w2142	gesture	תנועת יד | מחווה
w1919	sticky	בעייתי | דביק
w1577	witness	לחזות | להעיד | עד
w1792	locate	לאתר | למקם
w1537	to sum up	לסיכום | לסכם | כדי לסכם
w1607	attraction	אטרקציה | משיכה
w2312	sober	רציני | מפוכח | פיכח
w1514	statement	הצהרה | הודעה
w2273	procedure	נוהל | תהליך | הליך
w1871	require	דרישה | להצריך | לדרוש
w2195	lengthy	ארוך | מייגע | ממושך
w2303	severe	קשה | חמור
w2086	disloyal	בוגדני | לא נאמן
w1958	valid	תקף | הגיוני
w1452	quote	ציטוט | לצטט | הצעת מחיר
w1511	spread	למרוח | התפשטות | פיזור | ממרח | להתפשט
w1989	ally (allies)	בעל ברית | בן-ברית (בנות-ברית) | בן-ברית
w1732	flood	שיטפון | להציף
w2169	indicate	לציין | להצביע על
w1867	relative	יחסי | קרוב-משפחה | קרוב משפחה
w2050	compromise	פשרה | לסכן | להתפשר
w1492	select	לבחור | נבחר
w1875	resistance	מחתרת | התנגדות | עמידות
w2057	contest	להתמודד על | לחלוק על | לערער | תחרות | לערער על
w2119	facility	מתקן | קלות
w2226	nationality	אזרחות | לאום
w1561	verbal	מילולי | בעל פה | ורבלי
w1626	boot	תא מטען | מגף | לאתחל
w1264	contrast	להוות ניגוד | לעמת | ניגוד
w2022	blame	אשמה | להאשים
w1628	bounce	ניתור | לנתר | לקפץ | לקפוץ
w1534	though	למרות זאת | למרות ש | בכל זאת | למרות ש-
w2335	terminate	להפסיק | לסיים | לחסל
w1518	subject	מקצוע | להכפיף | נתון ל- | כפוף ל- | נבדק | נושא | נתין | אזרח | לחשוף ל-
w1217	automobile	כלי רכב | אוטו | מכונית | רכב
w2126	figure	צורה | גזרה | מספר | להבין | להניח | דמות | להסיק | ספרה | לחשב
w2128	folk	אנשים | עממי
w1447	prove	להוכיח | להתברר
w2141	genuine	אמיתי | כן | מקורי
w1481	rest	מנוחה | לנוח | יתר | שאר
w1496	separation	הפרדה | פרידה
w1676	cult	כת | פולחן
w1549	unite	לאחד | להתאחד
w2060	copper	נחושת | שוטר
w2324	strike	הכה | התקיף | לפגוע | שביתה | להכות
w1970	weigh	לשקול | להכביד
w1656	concentrate	להתרכז | תרכיז
w2034	capable	יכול | כשיר | מסוגל
w1318	expectations	ציפייה | ציפיות
w1644	charm	להקסים | קסם | קמיע
w1471	reduce	לצמצם | להפחית
w1924	struggle	מאבק | להיאבק | מאמץ
w1735	foundation	קרן | יסוד
