k	term	cands
w1123	soul	נפש | נשמה
w0815	balance	לאזן | יתרה | איזון | שיווי משקל
w0918	exchange	חילופין | בורסה | חלופה | להחליף
w1031	opposite	נגדי | ממול | הפוך | מנוגד
w0942	frame	מסגרת | להפליל | למסגר
w1016	mostly	לרוב | בעיקר
w1103	sample	דוגמה | מדגם | דגימה | לדגום
w0916	except	חוץ מ | פרט ל | מלבד | חוץ מ-
w0848	coat	שכבה (של צבע | בטון וכו') | לצפות | מעיל
w0941	form	להקים | ליצור | צורה | טופס
w0831	built	לבנות | בנה | חטוב | בנוי | בנוי היטב | נבנה (עבר/בינוני פעול של build) | נבנה
w0814	badly	נואשות | מאוד | בצורה גרועה | רע | קשות
w1113	shadow	צל | לעקוב | להאפיל
w1116	shy	להירתע | ביישן
w1055	pregnant	הרה (בהריון) | הרה | בהריון
w1034	passion	להט | תשוקה
w1066	project	להקרין | מיזם | לתכנן | להשליך | פרוייקט | פרויקט | לחזות
w0828	border	לגבול | גבול
w0931	financial	כספי | פיננסי
w1074	quarter	רובע | רבע
w1004	lower	להנמיך | נמוך | להוריד
w0859	complex	מתחם | מורכב | קומפלקס | מסובך
w1033	pair	זוג | לזווג
w1099	rise	עלייה | לעלות | עליה
w0963	however	עם זאת | למרות זאת | בכל דרך | אבל | אולם
w0869	court	בית משפט | מגרש (ספורט) | מגרש | לחזר | חצר
w0884	deserve	מגיע | מגיע (לו) | להיות ראוי
w1029	obviously	כמובן | ברור
w1160	train	להתאמן | רכבת | לאמן | להכשיר
w1076	raise	העלאה | לגדל | להעלות | להרים
w1110	senior	בכיר | קשיש | זקן
w1027	notice	התראה | לשים לב | הודעה
w0899	during	במשך | תוך כדי | במהלך
w1006	management	ניהול | הנהלה
w1095	research	מחקר | לחקור
w1037	patients	מטופל | חולה | מטופלים
w1126	space	מרחב | רווח | חלל
w0938	for instance	למשל | לדוגמה
w1132	standard	מקובל | תקן | רמה | סטנדרטי
w1121	sin	לחטוא | חטא
w0898	dump	לשפוך | מזבלה | לזרוק
w0987	intense	חזק | עז | אינטנסיבי
w0874	currently	כרגע | נכון לעכשיו | כעת
w0870	cover	כיסוי | לכלול | מכסה | לסקר | כריכה | לכסות
w0994	knees	ברכיים | ברך
w1080	recent	שארע לאחרונה | אחרון | טרי
w0854	command	לפקוד | לצוות | שליטה | פקודה
w0835	carry	לשאת | לסחוב
w1101	safety	ביטחון | בטיחות
w0901	economy	חסכנות | כלכלה
w1104	scare	להפחיד | פחד | בהלה
w1112	sentence	לגזור דין | גזר דין | משפט
w0988	introduce	להציג | להכניס | לעשות היכרות
w0937	fool	לרמות | טיפש | לשטות במישהו
w1157	track	מסלול | לעקוב | שיר | מסילה
w0819	beat	קצב | מקצב | מכה | להכות | לנצח
w0889	device	מכשיר | תחבולה | אמצעי
w0954	hall	מסדרון | היכל | אולם
w0977	incredible	לא ייאמן | מדהים
w1091	reporter	כתב | עיתונאי
