k	term	cands
w1614	bald	קרח | קירח
w1384	lead, led	להוביל | הוביל | להנהיג
w2190	lane	מסלול | נתיב
w1915	stamp	להטביע | חותמת | בול
w1947	triggered	לגרום | עורר | גרם | להפעיל | לעורר | הוביל ל-
w2184	involve	לכלול | לערב
w1923	stripes	פסים | דרגה | פס
w1700	double standard	מוסר כפול | תקן כפול
w1972	whistle	לשרוק | משרוקית | שריקה
w1358	hold back	להתאפק | לעכב | למנוע
w1451	quite	לגמרי | די | למדי
w2024	blew	נשב (רוח) | ניפח | נשב | לנשוב | פוצץ
w2072	declare	להכריז | להצהיר
w2150	hardly ever	לעיתים רחוקות | כמעט אף פעם
w2168	index	אינדקס | מפתח (רשימת ערכים אלפביתית בסוף ספר) | מדד | מפתח
w1749	guarantee	ערבות | אחריות | להבטיח
w1950	ultimate	מוחלט | סופי | עליון
w2030	broad	רחב | כללי | נרחב
w1475	relations	קשרים | יחסים
w1310	even so	אף על פי כן | ובכל זאת
w1268	copies	עותקים | להעתיק | עותק
w1832	permanently	לצמיתות | לתמיד | באופן קבוע
w1955	unnecessary	מיותר | לא הכרחי
w1581	abroad	חו"ל | בחו"ל
w1245	charge	להסתער | להאשים | לחייב | לגבות | מטען
w1379	irregular	חריג | לא סדיר | לא רגיל
w1276	customize	להתאים באופן אישי | להתאים אישית
w1355	heartbeat	פעימות לב | דופק | פעימת לב
w1297	duty	מכס | תפקיד | חובה
w2313	sophisticated	מתורבת | מתוחכם
w1250	clever	חכם | פיקח
w1271	course	מנה | מהלך | קורס | מסלול
w1446	properly	כראוי | כהלכה
w1850	provoke	להסית | לעורר | להתגרות
w1635	cabin	תא | בקתה
w1209	as many as	עד | רבים כמו (מספר גדול) | רבים כמו | לא פחות מ
w2299	scale	לעלות | קנה מידה | סולם | מאזניים | לטפס | סקלה
w1472	reform	רפורמה | לתקן | שינוי
w1665	conventional	מקובל | קונבנציונאלי | שגרתי
w2007	associate	לקשר | עמית
w1277	dare	להעיז | תעוזה | להעז | אתגר
w1629	branch	להסתעף | ענף | סניף
w2259	plague	מגפה | להטריד
w2339	trace	סימן | למצוא | שריד | לאתר | עִקְבָה | לעקוב
w2039	clay	חרסית | חימר
w1935	swallow	לבלוע | סנונית
w1294	doubt	ספק | לפקפק | להטיל ספק
w1804	minor	סולם מינור | קטן | סולם מינור (במוזיקה) | זניח | קטין | שולי | משני
w1918	steel	להתחשל | פלדה
w1916	starve	להרעיב | לרעוב
w2044	collapse	לקרוס | קריסה | להתמוטט
w2058	contrary	בניגוד ל- | להפך | מנוגד | הפך
w1211	aside from	חוץ מ- | מלבד
w1267	coordinator	מתאם | רכז
w1238	cast	לזרוק | צוות שחקנים | לגרש | להשליך | גבס | שחקנים
w1938	territory	שטח | טריטוריה | תחום
w1622	blend	למזג | תערובת | לערבב
w1187	actually	בעצם | למעשה
w2292	result in	הסתיים ב- | לגרום ל | להוביל ל
w2330	suspense	השהיה | דריכות | מתח
