k	term	cands
w3332	fugitive	בורח | בורח מהחוק | נמלט
w2963	inhabitants	תושבים | תושב
w3377	intrusive	פולשני | חודרני
w3826	perch	נח | מוט | לשבת | ישב על ענף | ענף
w2390	applicant	מועמד | מבקש
w2472	disobey	למרוד | לא לציית | להפר
w2955	inadequate	לא מספיק | לא הולם | לקוי
w3395	malformation	מום | פגם | עיוות
w2894	excessive	מוגזם | מופרז | יתר
w3612	compulsory	חובה | מהווה חובה
w3200	attendant	מלווה | דייל | משרת | מטפל
w3320	fast	צום | לצום | מהיר | מהר
w3001	mock	ללעוג | מדומה
w3936	veracity	דיוק | התאמה לעובדות | אמיתות | דבקות באמת | אמינות
w3230	comparatively	יחסית | באופן יחסי
w3611	comprise	לכלול | להיות מורכב
w3821	paramount	חשוב ביותר | בעל חשיבות עליונה | עליון
w2395	assign	למנות | להקצות | להטיל
w3195	assert	לטעון | לטעון בתוקף | להצהיר
w2806	breed	מין | לגדל | להפרות | להרביע | זן | גזע
w3256	courteous	מנומס | אדיב
w3691	embitter	למרר | גורם התמרמרות
w2566	inconsistent	סותר | לא עקבי
w3282	displacement	תזוזה | עקירה
w3774	jagged	מחוספס | משונן
w2953	impulsively	ללא שיקול דעת | בפזיזות
w3140	urge	לעודד | לקרוא ל | דחף | תשוקה | לדחוף | רצון
w3685	dwindle	הידלדל | להצטמצם | לדעוך | התמעט
w2838	conveniently	בנוחות | באופן נוח
w3048	pledge	התחייבות | להתחייב
w3028	oriented	מכוון | מוכוון | מונחה
w3015	nobility	אצולה | אצילות
w2825	comply	לציית | להסכים | לקיים
w3208	beam	קרן | קורה | לחייך
w3236	conclusively	באופן החלטי | סופית | חד משמעית
w3914	swindler	רמאי | נוכל
w3744	hearsay	שמועה | עדות שמיעה
w3753	impart	להקנות | להעביר | להעניק
w3564	accomplished	מומחה | מוכשר | מעולה | מיומן
w2952	imprisoned	לכלוא | כלוא
w3604	caste	מעמד חברתי | מעמד | קאסטה
w3228	communal	משותף | קהילתי | ציבורי
w2435	consume	לכלות | לצרוך
w2656	railroad	מסילת רכבת | מסילת ברזל | רכבת
w3093	rim	חישוק | שפה
w3387	linger	להשתהות | להתעכב | להתמהמה
w2915	fragrance	ניחוח | בושם
w3795	mitigate	להפחית | למתן | להקל | לצמצם
w2859	despair	להתייאש | ייאוש
w2919	genesis	ראשית | ספר בראשית | היווצרות | התהוות
w3889	slate	צפחה | להכניס מישהו לרשימה | לוח | רעף
w2521	extract	קטע | תמצית | להוציא | לעקור | לחלץ | להפיק
w3171	administer	לנהל | לתת | לפקח | לחלק | להעניק
w3102	shepherd	רועה | רועה צאן
w2902	fabric	מרקם | בד
w3900	sprawling	משתרע | משתרע על שטח נרחב | מתפשט ללא סדר
w2511	exclude	לא לכלול | להוציא מן הכלל | להדיר | למנוע כניסה | להחריג
w3307	evade	התחמק | להתחמק
w3878	sarcophagus	ארון קבורה קדום | ארון קבורה | סרקופג
w3096	scarce	מועט | נדיר
