k	term	cands
w0999	lecture	להרצות | הרצאה
w1135	strength	חוזק | עוצמה | כוח
w1036	patient	סבלני | מטופל | חולה
w0970	image	דמות | דימוי | תמונה
w0843	cheer	קריאת עידוד | לעודד
w0936	flip	סלטה | להעיף | לזרוק | להפוך צד | להפוך
w1012	method	שיטה | דרך
w1021	necessary	נחוץ | הכרחי
w0886	destiny	גורל | ייעוד
w1052	pot	עציץ | גראס | קדרה | סיר
w0983	instant	בהרף עין | רגע | מיידי
w1153	tie	עניבה | קשר | לקשור | תיקו
w1069	public	ציבור | ציבורי
w1088	remote	שלט | מרוחק
w1182	weather	לשרוד | מזג אוויר
w1064	profit	להרוויח | רווח
w1000	led to	להוביל ל | לגרום ל | הוביל ל-
w1075	rage	לזעום | זעם
w1008	marriage	נישואים | נישואין
w1084	register	לרשום | להירשם | מרשם
w1102	salary	משכורת | שכר
w1114	shave	גילוח | להתגלח | לגלח
w1061	prize	פרס | להעריך
w0863	conflict	עימות | סכסוך | להתנגש
w0865	core	ליבה | מרכז
w1107	script	כתב | תסריט
w0813	award	להעניק פרס | להעניק | פרס
w0927	farmer	חוואי | איכר | חקלאי
w1073	purpose	מטרה | תכלית | כוונה
w1181	wear	ללבוש | להתבלות
w1134	stomach	קיבה | לסבול | בטן
w1085	release	לשחרר | שחרור
w1168	unbelievable	לא ייאמן | מדהים | לא יאמן
w1105	schedule	לוח זמנים | לתזמן
w0925	failure	כישלון | תקלה | כשלון
w1139	supply	אספקה | היצע | לספק
w1173	useless	חסר תועלת | חסר ערך
w0833	capture	לצלם | ללכוד | לכידה
w1120	simply	פשוט | בפשטות
w0830	brave	אמיץ | להתמודד
w0880	department	מחלקה | אגף
w0998	lawyer	עורך דין | עורך-דין
w0920	exercise	פעילות גופנית | לממש | ליישם | להתאמן | תרגיל
w0852	combat	להילחם ב- | להילחם | להיאבק ב- | לחימה | קרב
w1007	mark	ציון | כתם | לסמן
w1155	tongue	לשון | שפה
w0955	harm	להזיק | נזק | לפגוע
w1039	per	לפי | לכל
w0879	delivery	מסירה | משלוח | לידה
w1079	realize	הבין | להגשים | להבין
w1163	trap	מלכודת | ללכוד
w1136	structure	לבנות | לארגן | מבנה
w1156	totally	לחלוטין | לגמרי
w1154	title	תואר | כותרת
w0903	education	השכלה | חינוך
w0876	daily	מדי יום | יומי | יומיומי
w0952	guide	להדריך | מדריך
w1063	product	תוצר | מוצר
w1082	recognize	לזהות | להכיר
w1089	repair	לתקן | תיקון
