k	term	cands
w1761	in conclusion	לסיכום | לסיום
w1204	appear	להיראות | להופיע | נראה ש-
w2131	forgettable	שאפשר לשכוח אותו | נשכח
w1473	regret	להצטער | להתחרט | חרטה
w2059	convenient	מתאים | נוח
w1347	generated	ליצור | יצר | לייצר
w1891	satisfaction	שביעות רצון | סיפוק
w1387	legend	מקרא | אגדה | מקרא מפה
w1961	various	שונה | מגוון
w1671	craft	לעצב | כלי טייס / כלי שייט | מלאכה | אומנות
w1288	disagreement	אי הסכמה | חילוקי דעות | חוסר הסכמה
w1256	components	מרכיבים | מרכיב | חלקים | רכיב
w2079	deposit	פיקדון | מקדמה | להפקיד
w1738	fuel	דלק | לתדלק
w2052	conclusion	מסקנה | סיום
w1589	administration	מנהל | ניהול | ממשל
w2125	favored	להעדיף | מועדף
w1425	overall	באופן כללי | כללי | כולל | בסך הכל
w1766	infected	להדביק | הודבק | נגוע
w1789	lifetime	תקופת החיים | במשך החיים | חיים | משך חיים
w1508	speaker	דובר | רמקול
w2245	orientation	התמצאות | כיוון
w2144	graduate	בוגר | לסיים לימודים
w1722	expense	הוצאה | הוצאות
w1234	by now	עד עתה | עד עכשיו
w1445	proper	ראוי | נכון | הולם | מתאים
w1339	formal	רשמי | פורמלי
w1681	debate	ויכוח | דיון | להתווכח
w1855	rarely	לעיתים נדירות | לעתים רחוקות
w1458	range	לנוע | טווח | רכס | מטווח
w1922	strict	קפדני | נוקשה
w1312	evidence	הוכחה | ראיה
w2091	dull	משעמם | עמום | סתום | קהה
w1902	shrink	להתכווץ | כיווץ | לכווץ | פסיכיאטר
w1858	reasonable	הגיוני | סביר
w1716	evolved	להתפתח | התפתח
w2074	decrease	לרדת | ירידה | לצמצם | הפחתה | להפחית
w1977	absence	אי-נוכחות | היעדר | העדר | היעדרות
w1365	improve	להשתפר | לשפר
w1627	bore	לשאת | לשעמם | לקדוח | לקדוח (חור) | שעמום | לסבול | ללדת
w1689	deny	לשלול | להכחיש | לסרב
w1755	illness	חולי | מחלה
w1894	secure	בטוח | להבטיח | לאבטח | להשיג | לשמור | להגן
w2143	given that	מאחר ש | בהתחשב בכך | בהינתן ש
w1223	belong	שייך | להשתייך
w1704	elderly	זקן | קשיש
w1530	terms	מונחים | תנאי | תנאים | מונח
w1890	satellite	לוויין | לווין
w1467	recordings	הקלטה | הקלטות
w1411	narrow	צר | לצמצם
w2056	construct	מבנה | לבנות
w1437	preparation for	הכנות לקראת | הכנה
w1707	employ	לנקוט | להשתמש | להעסיק | להשתמש ב-
w2160	import	לייבא | חשיבות | ייבוא
w1239	casual	רגיל | לא רשמי | אגבי | מזדמן | יומיומי
w2130	forecast	לחזות | תחזית
w2016	bend	עיקול | לכופף
w2281	rather	עדיף | למדי | די
w2341	trial	ניסוי | נסיון | משפט
w2275	progressive	מתקדם ומתמשך | פרוגרסיבי | מתקדם
