k	term	cands
w1224	benefit	יתרון | הטבה | תועלת | ליהנות | להפיק תועלת
w2102	engagement	מעורבות | התחייבות | אירוסין
w2244	organ	אורגן | אורגן (כלי נגינה) | איבר | עוגב
w2073	decorate	לקשט | לעטר
w2013	barn	אסם | רפת
w1506	so long as	כל עוד | ובלבד ש
w1625	boost	להגביר | דחף | המריץ | לחזק
w1816	offensive	התקפה | מעליב | פוגעני
w2172	inject	להחדיר | להזריק
w2333	tend	נוטה | לנטות | לטפל
w1602	association	קשר | איגוד | עמותה | אסוציאציה
w1317	exclusive	בלעדי | יוקרתי
w1713	era	עידן | תקופה
w1593	aim	לכוון | מטרה | לשאוף
w1374	instantly	מיד | תכף
w2271	prior	קודם | לפני
w1953	unfortunate	מצער | ביש מזל
w2061	correlate	לקשר | לתאם | להתאים
w1454	raid	פשיטה | לפשוט על
w2115	evolutionary	התפתחותי | אבולוציוני
w1980	accurate	נכון | מדויק
w1513	stamina	עמידות | כושר עמידה | סיבולת
w1545	treat	להתייחס | לפנק | פינוק | ממתק | להתייחס אל | לטפל ב
w2213	memorial	אנדרטה | הנצחה | אזכרה | מונומנט הנצחה | של זיכרון
w1814	observe	להתבונן | לשמור | להבחין | להעיר | לצפות
w1844	privilege	זכות יתר | פריבילגיה | פריווילגיה
w1617	bass	בס (במוזיקה) | בס | דג בס
w2311	snap	לצלם | להישבר | תצלום | במהירות (סלנג) | במהירות
w1861	recognition	זיהוי | הכרה
w2088	doorstep	מפתן הדלת | מפתן
w1901	shiny	נוצץ | מבריק | בוהק
w2356	unorthodox	לא מקובל | לא שגרתי | חריג
w2267	preferable	מועדף | עדיף
w1780	interrupt	לקטוע | להפריע
w1442	prime	שיא | מעולה | ראשי | ראשוני | מובחר | עיקרי
w1847	promotion	מבצע | קידום
w2082	differ	לחלוק | לחלוק על | להיות שונה | להיבדל
w2331	sweep	לטאטא | לגרוף
w1551	unofficial	בלתי רשמי | לא רשמי
w1765	industry	חריצות | תעשייה
w1740	funds	הון | מקור מימון | קרן | כסף
w1906	sketch	סקיצה | שרטוט | לשרטט | איור
w2336	throughout	לאורך כל | בכל | במשך | בכל רחבי
w1552	unorganized	לא מאורגן | מבולגן
w2332	temple	מקדש | רקה
w1369	indeed	אכן | בהחלט
w1273	creator	בורא | יוצר
w2162	in a word	בקיצור | במילה אחת
w1210	as proof of	כהוכחה ל | כהוכחה ל-
w1502	sight	כוונת | ראייה | מראה
w1733	footprints	טביעת רגל | עקבות | טביעות רגל
w1340	fortune	הון | מזל | עושר
w1375	instrument	כלי נגינה | כלי
w1226	best-seller	רב-מכר | רב מכר
w2337	thus	לפיכך | כך ש- | לכן
w1776	institute	לכונן | מוסד | לייסד | מכון
w1863	reference	התייחסות | מקור | המלצה | הפניה
w2135	fortunate	בר מזל | בעל מזל
w1434	prank	מתיחה | למתוח
w2357	unwilling	לא מעוניין | לא מוכן | ממאן
