k	term	cands
w2598	margin	שוליים | מרווח | הפרש | רווח
w3091	revitalize	להחיות מחדש | להחיות
w3598	bleak	עגום | קודר
w3687	elude	לחמוק | להתחמק | לברוח
w3075	rehearse	לתרגל | לחזור | לערוך חזרה
w2737	transmit	להעביר | לשדר
w3763	infraction	עבירה | הפרה
w3816	omniscient	מספר כל-יודע | יודע כול | כל-יודע
w2839	convention	ועידה | כנס | מוסכמה | אמנה
w3391	lodge	בקתה | להתאכסן | אכסנייה
w3582	appease	לפייס | להרגיע
w2381	agony	ייסורים | סבל
w2522	faithful	נאמן | מדויק
w2822	cologne	קולון | בושם (של גבר) | בושם | אודקולון
w3907	strife	עימות | מאבק | סכסוך
w2715	stalk	להטריד | לעקוב אחרי | קנה | לעקוב/לארוב אחרי | גבעול
w2892	estate	עיזבון | נכס | אחוזה
w2619	offense	התקפה | עלבון | פגיעה | עבירה
w3882	scrutinize	בחן | לבחון | לבדוק בקפידה | בדק
w3643	deliberation	דיון | שיקול דעת
w2705	simultaneously	במקביל | בו זמנית | בו-זמנית
w2890	enthusiast	חובב | חובב נלהב
w2848	dart	לזנק | חץ
w3243	consolidate	לגבש | לבסס | לאחד
w3923	tormented	לענות | מיוסר | לייסר | להציק
w3005	mole	מרגל | חפרפרת | שומה
w3100	settle	להתיישב | ליישב | לסלק | להסדיר
w2641	prediction	ניבוי | חיזוי | תחזית
w2431	consequence	השלכה | תוצאה
w3019	nursery	חדר תינוקות | חדר ילדים | פעוטון | משתלה | גן ילדים
w2810	cater	לספק | לשרת | לספק קייטרינג
w2510	exceptional	מצוין | מעולה | יוצא דופן
w2544	grocery	מצרכים | מכולת
w3867	relegated	להוריד בדרגה | הורד בדרגה
w3602	canvass	לגייס תמיכה | לבדוק | לסקור
w3058	prominent	נודע | בולט | חשוב
w2961	infiltrate	לחדור | להסתנן
w2433	consistent	עקבי | תואם
w3419	orient	להתמצא | לכוון | מזרח
w3757	inadvertently	בלי משים | בטעות | בשוגג | בלי כוונה
w2734	tilt	הטיה | להטות | שיפוע
w2673	relate	לספר | להתייחס | לקשר
w3420	originate	לנבוע | התחיל | התהווה | ליזום
w3934	usher	ללוות | סדרן
w2407	caution	להזהיר | זהירות | אזהרה
w3363	induce	לשכנע | לגרום | לייצר
w2687	revision	תיקון | בדיקה מחדש לצורך שיפור | עדכון
w2897	exile	להגלות | גולה | לגרש | גלות
w3916	taint	להכתים | לזהם | להכפיש | כתם
w2587	just as... so...	כשם ש... כך | בדיוק כמו... גם
w3365	inferred	להסיק | נגזר | משתמע
w3393	lumber	קרשים | עצי בניין | עצה מנוסרת | עץ בניין
w2918	furthermore	זאת ועוד | יתר על כן
w3455	prospective	צפוי | פוטנציאלי | עתידי
w3572	agitate	לעורר | לעצבן | לזעזע | להסעיר | לנער
w3831	plausible	מתקבל על הדעת | סביר | אמין
w3501	skyrocket	לזנק | להאמיר
w3376	intrigue	תככים | לסקרן | קנוניה
w2921	glance	להעיף מבט | מבט חטוף | מבט
w3104	sighting	תצפית | איתור | מראה
