k	term	cands
w2461	devastated	הרוס | מפורק | שבור
w3892	snicker	צחקוק | לצחקק | גיחוך
w3296	emergence	התהוות | היווצרות | הופעה
w3126	tame	מבויית | לבית | לאלף
w3143	validity	תקפות | תוקף
w2668	regain	לשחזר | להשיב | להשיג מחדש
w3044	pinch	לגנוב | קורט | לצבוט
w2581	invaders	פולש | פולשים
w2455	deform	לעוות | לסלף
w2949	implications	משמעות | השלכות | השלכה
w3849	prompt	מיידי | הנחיה | לגרום | לעורר
w3472	refuge	מקלט | מפלט | מחסה
w2945	ignite	לעורר | להצית
w3081	repelled	להדוף | לדחות | הגעיל | דחה
w3469	recipient	נמען | מקבל
w2610	narration	תיאור | קריינות
w2563	implement	ליישם | כלי | להוציא לפועל
w3905	streamlined	מעוצב לזרימה | יעיל | יעיל וחסכוני | אווירודינמי
w2710	spark	להצית | ניצוץ | לעורר | גיץ
w2759	voyage	מסע | הפלגה
w2883	embrace	לאמץ | לאמץ לקרבו | לחבק
w3180	amid	בקרב | בין | באמצע | בתוך
w3819	overhaul	שיפוץ | אוברול | לשפץ | רפורמה
w3721	foremost	בעיקר | ראשון במעלה | המוביל
w3073	regulate	להסדיר | לווסת
w2733	terrify	להפחיד | להבעית | להבהיל
w3563	accomplices	שותף לפשע | שותף לדבר עבירה | שותף
w3164	accommodate	להתאים (לצרכים) | לשכן | להכיל | לאכסן | להתאים | לפנות מקום ל- | להתחשב
w3319	fascinate	להקסים | לרתק
w3192	arise, arose	לצוץ | לקום | קם
w3606	coincide	להקביל | לחפוף | להתאים
w3725	fraternal	אחוותי | של אחים | אחאי
w3743	harness	לרתום | רתמה
w3853	prowess	גבורה | מיומנות | יכולת
w2938	hibernate	לחרוף | לישון שנת חורף
w3847	proliferate	התפשט במהירות | להתרבות
w3825	penned	כָּתַב | לכתוב | לכלוא
w3438	potent	בעל כוח השפעה | חזק | עוצמתי
w2584	inventory	מלאי | רשימת מלאי | מצאי
w2717	stunned	היה המום | נדהם | המום
w2909	for the sake of	בשביל | למען
w3597	bland	תפל | משעמם
w3776	keystone	אבן פינה | אבן מפתח
w3746	hegemony	הגמוניה | שליטה
w3031	outline	קווים כלליים | תוואי | מתאר | לתאר
w2775	admirable	מרשים | ראוי להערצה | מעורר הערצה | נערץ
w2674	relating	להתייחס | לספר | מתייחס
w3079	remainder	יתרה | שארית
w3888	slant	שיפוע | הטיה | אלכסון | נטייה
w2916	fundraiser	מגייס כספים | גיוס כספים
w2881	eager	משתוקק | נלהב | להוט | כמה
w2617	occasions	אירוע | מקרים | הזדמנויות | הזדמנות
w3170	adjacent to	ליד | סמוך ל | גובל ב
w3592	attire	תלבושת | לבוש
w2502	equivalent	מקבילה | שווה ערך
w2483	drain	נקז | ניקוז | לרוקן | לנקז
w2701	sibling	אח או אחות | אח | אחות
w2832	considering	בהתחשב ב- | (כפועל) שוקל | שוקל | לאור | בהתחשב ב
w2604	merge	לחבר | להתמזג | למזג
w2728	suspend	לתלות | להשהות | להשעות
