k	term	cands
w2529	flee, fled	לברוח | נמלט | להימלט
w3705	expatriate	מהגר | לגרש/להגלות מהמולדת | מי שחי מחוץ למולדתו | גולה
w3178	ambiguous	מעורפל | לא לגמרי ברור | דו משמעי | דו-משמעי
w3711	facilitate	לעזור | לסייע | להקל | לאפשר
w3277	disciples	תלמידים | חסיד | תלמיד
w3551	wholesale	סיטונאי | גורף | סיטונאות
w3068	recreation	שחזור | בילוי
w3401	mold	לעצב | תבנית | עובש
w2980	limb	איבר | קצה | גפה | גף
w2913	fraction	חלק קטן | שבר
w2862	determined	לקבוע | נחוש | נחרץ
w3132	tolerate	לסבול | להשלים עם
w3818	outspoken	ישיר | בוטה | מדבר גלויות
w3281	dispatch	דיווח | לשלוח | לשגר
w2497	enrage	להרגיז | להכעיס | להרתיח
w3172	adolescence	התבגרות | גיל ההתבגרות
w3378	invoke	לזמן | להסתמך על | לעורר
w3246	contemporary	עכשווי | בן זמננו | בן-תקופה | בן-זמנו | מודרני
w2685	revert	לחזור | לחזור למצב קודם
w2760	wander	לתעות | להסתובב | לשוטט
w2394	asset	יתרון | נכס
w3694	enclose	להקיף | לצרף
w3933	uproar	מהומה | סערה | רעש
w2989	mastery	שליטה | מומחיות
w3468	recession	מיתון | נסיגה
w2676	relocate	להעביר | לעבור | למקם מחדש
w2527	findings	ממצא | ממצאים
w3424	overlooked	להתעלם | החמיץ | לא הבחין | פספס | (גם: צפה על מגבוה) | להשקיף | התעלם
w2382	align	ליישר | להתאים | להסתדר בשורה
w2487	dwarf	להאפיל על | לגמד | גמד
w3535	unfold	נפתח | לפתוח קיפול | לפרוש | להתפתח | התגלה | נפרש
w3897	spewing	פולט/מתיז בעוצמה | להקיא | מקיא | לפלוט
w3919	thereby	ובכך | על ידי כך | ולכן | בכך
w3736	glaze	ציפוי | לצפות | זיגוג
w2914	fracture	לשבור | שבר
w3262	deceased	נפטר | מת
w2615	occasional	מקרי | לא תדיר | מדי פעם | מזדמן
w2762	widely	בהרחבה | בצורה נרחבת
w3027	offshore	בלב ים | בחו"ל | מעבר לים (חשבון/חברה) | מעבר לים | הרחק מהחוף | מול החוף
w2994	merely	בסך הכל | לא יותר מ- | רק
w3659	detrimental	פוגעני | מזיק
w2613	observer	צופה | משקיף
w2719	suburb	פרוור | פרבר
w3810	obscure	לטשטש | סתום | מעורפל | להסתיר | לא ידוע
w3174	algae	אצה | אצות
w2781	airborne	באוויר | נישא באוויר | מוטס
w3680	divinity	אל | תיאולוגיה | אלוהות
w2650	pupil	אישון | תלמיד
w2478	distribute	להפיץ | לחלק
w3194	array	מגוון | מערך | מבחר
w2700	shuttle	מעבורת | הסעה
w3409	nonetheless	עם זאת | בכל זאת | למרות זאת
w3257	crave	להשתוקק | לחשוק
w3924	tranquilize	להרגיע | להרדים | לסמם
w3092	rid	להיפטר מ- | להיפטר מ
w3904	staunch	נאמן | איתן בדעתו | איתן | לעצור זרימה/דימום | מסור
w2968	intersection	צומת | הצטלבות | חיתוך
w2692	robe	חלוק | גלימה
w3894	solicit	לבקש | לשדל / להדיח | לבקש/לחפש בתחינה | לגייס
w3641	deem	לחשוב ל- | לראות כ- | להחשיב
