k	term	cands
w3251	correspondence	התאמה | התכתבות
w2648	proposition	טענה | הצעה
w3128	tender	רך | עדין
w3219	cavity	חלל | חור | עששת
w3723	formidable	מרשים | מאיים | מפחיד | אדיר
w2507	evaluation	הערכה | בדיקה
w3485	sake	עניין | תועלת | למען
w3506	splendid	מהולל | מפואר | נהדר
w2855	delight	תענוג | לשמח
w3733	genial	ידידותי | לבבי
w3732	gauge	מידה | למדוד | להעריך | מד
w3504	span	להשתרע | טווח | להקיף | מרווח | להימתח
w3295	elusive	בלתי מושג | חמקמק
w2624	outpost	נקודת קצה | מוצב | מאחז
w2982	lurking	מתגנב | אורב | לארוב | להתחבא
w3063	province	תחום | מחוז | אזור
w3769	insurrection	מרד | התקוממות
w2409	circuit	מסלול | מעגל | להקיף | מעגל חשמלי
w3883	sensations	סנסציה | חדשות מרעישות | תחושה
w2927	grief	יגון | צער | אבל
w2873	distinctive	מיוחד | ייחודי
w3214	burden	להכביד | עול | נטל
w3473	reign	למלוך | שלטון
w3742	hail	להלל | ברד | לשבח
w2484	drift	נטייה | ערימה | זרם | לנדוד | סחף
w2751	utilize	השתמש | לנצל | להשתמש ב
w3038	persist	להתמיד | להתעקש | להימשך
w3054	prick	דקירה | לדקור
w3064	pursue	לשאוף | לרדוף
w3210	being that	מכיוון ש | היות ו | מכיוון ש-
w2585	jewel	תכשיט | אבן חן
w2996	merit	מעלה | הישג | ערך | להצדיק
w3857	rearing	להזדקף | טיפוח | גידול
w3400	mobilize	להניע | לנייד | לגייס
w3241	considerable	רבות | משמעותי | הרבה | ניכר
w2803	beware	היזהר | להיזהר
w3623	conform	להסתגל | להתאים | לציית
w3175	alienation	ניכור | התנכרות | הרחקה
w2774	adjust	להתאים | לכוונן | להתרגל
w3148	violate	לפגוע | לחלל | להפר
w3790	markedly	בצורה ניכרת | באופן ניכר | משמעותית
w3177	alterations	שינוי | שינויים | תיקון
w2413	coastline	קו חוף | קו/רצועת חוף | חוף
w2707	slaughter	טבח | שחיטה | לטבוח | לשחוט
w3559	abide	לציית | לסבול
w3586	ascertain	לברר | לוודא
w3078	rely	להסתמך | להסתמך על
w3590	astound	לתדהם | להדהים
w2845	crucial	מכריע | קריטי | חיוני
w2956	incidentally	דרך אגב | אגב
w3050	possess	להחזיק | להיות בעלים של | לאחוז | להחזיק ב-
w2647	proportion	מידה | פרופורציה | שיעור | יחס | חלק
w3798	myriad	הרבה | רב | אינספור
w2485	drip	טיפה | לטפטף
w2505	estimate	הערכה | לאמוד | להעריך
w2819	cockroach	מקק | ג'וק | תיקן
w2714	stain	כתם | להכתים
w2988	massacre	לטבוח | טבח
w3047	plead	לעתור | לטעון | להתחנן
w3775	keep	חלק מהמצודה | להמשיך | לשמור
