k	term	cands
w1633	bury	להטמין | לקבור
w1951	uncertain	לא בטוח | מסופק
w2231	novel	חדשני | חדש | רומן | סיפור
w1822	outstanding	בולט | פתוח | מצוין | יוצא מן הכלל
w1450	purchase	לרכוש | לקנות | רכישה
w1345	generally	באופן כללי | בדרך כלל
w1857	razor	סכין גילוח | תער
w1724	expression	ביטוי | הבעה
w1485	ruin	חורבה | להרוס
w1196	amateur	חובבן | חובב
w1455	rainfall	משקעים | ירידת גשמים
w1705	eliminate	לפסול | לחסל | להסיר
w2085	disguise	להסוות | תחפושת
w1539	trade	מקצוע | לסחור | מסחר | להחליף
w1237	campaign	מערכה | קמפיין | מסע
w1653	commit	לבצע | להתחייב | ביצוע/ לבצע
w1912	stable	יציב | אורווה
w2227	negotiate	לשאת ולתת | לנהל מו"מ | להתמקח
w2092	duplicate	לשכפל | העתק
w2185	jog	ריצה | ג'וגינג | לרוץ | לרענן
w1456	rainstorm	סערת גשמים | סופת גשמים
w2277	publication	כתב עת | הוצאה לאור | פרסום | מאמר/כתב עת שפורסם
w1573	whom	מי | את מי
w1757	impatient	קצר רוח | חסר סבלנות
w1516	storage	מחסן | אחסון
w2094	eccentric	אקסצנטרי | משונה | מוזר | תמהוני
w1658	conservative	זהיר | שמרני | שמרן
w2285	refuse	אשפה | זבל | לסרב | פסולת
w1368	incident	אירוע | תקרית
w2090	draft	משיכה | לנסח | רוח פרצים | גיוס | טיוטה
w2083	discipline	תחום | תחום לימוד/מחקר | להעניש | לחנך | משמעת
w1959	valuable	חשוב | יקר ערך
w1898	sheet	סדין | גיליון | דף
w1394	march	לצעוד | צעדה
w1895	sequence	רצף | סדרה
w2025	blow, blew	לנשוף | מכה | להתפוצץ | נשף | פוצץ | לפוצץ
w1260	consider	לחשוב | לשקול | לקחת בחשבון
w2018	bent	כופף | כפוף | נחוש
w1727	facial	טיפול פנים | של הפנים | שקשור בפנים
w1823	oven	תנור בישול | תנור
w2236	odd	אי-זוגי | אי זוגי | מוזר
w1440	previously	קודם לכן | הקודם | לפני-כן | בעבר
w1852	purse	ארנק | תיק יד
w1926	stunt	לעכב | תרגיל מסוכן | פעלול
w1350	glitch	תקלה | באג | הפרעה
w2066	critique	לבקר | ביקורת
w1966	warmth	חמימות | חום
w2124	faulty	לא תקין | פגום | לקוי
w1604	attach	לצרף | לייחס | לחבר
w1199	amount	להסתכם | כמות
w1744	gather	להתאסף | לאסוף | אסף
w1338	fork	מזלג | הסתעפות
w2258	pit	בור | גלעין
w1683	defeated	להביס | הובס | מובס
w1321	export	לייצא | ייצוא | יצוא
w1686	demand	לדרוש | דרישה | ביקוש
w1929	succeed	להצליח | הצליח | לרשת
w1872	reserve	להזמין מראש | שמורה | רזרבה | עתודה | לשמור | מילואים
w1200	analog	אנלוגי (ההיפך מדיגיטלי) | מקבילה | אנלוגי
w1887	ruins	חורבה | עיי חורבות | הריסות
