k	term	cands
w2524	fasten	לחבר | להדק
w3203	awe	יראת כבוד | התפעלות
w2681	resigned	התפטר | משלים | להתפטר
w3862	reconcile	להתאים | לפייס | ליישב | ליישב (סתירות) | להשלים עם | לגשר בין | להתפייס
w3562	acclaim	שבח | להריע | לשבח
w3638	dampen	להחליש | לדכא | להרטיב
w2880	due	צפוי | צריך להיעשות | בשל | זמנו הגיע | מגיע
w2391	artifact	ממצא | מוצג ארכיאולוגי | חפץ מעשה ידי אדם | חפץ
w3303	erroneous	שגוי | מוטעה
w3240	consequently	כתוצאה מכך | לפיכך
w3580	ancestry	שושלת | מוצא
w3123	supplement	תוסף | להשלים
w3018	numerous	מרובה | רב
w3269	degenerate	להתנוון | להידרדר | מנוון
w2784	alternate	עבר מדבר אחד לשני וחזרה | התחלף | להתחלף | חלופי
w3231	compel	לכפות | לאלץ | לחייב
w3046	plaster	פלסטר | טיח
w2458	dense	סמיך | צפוף | טיפש
w2741	troop	יחידה צבאית | חייל | יחידה
w2722	summits	ועידת פסגה | פסגה | פסגות
w3065	query	שאלה | חקירה | שאילתה
w3922	tinker	לתקן | לחטט | לנסות לשפר בשינויים קטנים | להתעסק
w3726	fringes	שוליים | פוני
w3793	meticulous	דקדקן | קפדני
w2653	puzzled	תמה | מבולבל
w3583	appraise	להעריך | לשום | לאמוד | להעריך (שווי)
w3505	spectacle	ראווה | מחזה | משקפיים
w2697	scholar	אקדמאי | חוקר | מלומד | בעל מלגה
w3767	instill	להנחיל | להחדיר | להקנות | להשריש
w3134	transcript	תמליל | גיליון ציונים | פרוטוקול
w3928	underlies	לעמוד בבסיס | נמצא מתחת ל- | מונח ביסוד
w3049	plentiful	רב | מלא | שופע
w3912	susceptibility	פגיעות | רגישות | נטייה
w2616	occasionally	מידי פעם | לעיתים | מדי פעם
w3428	perceive	לתפוס | לראות | להבחין
w3392	loosely	באופן רופף | באופן רפוי | בערך
w2577	interior	פנימי | פנים
w3114	spike	מסמר | זינוק | יתד
w2632	performer	מציג | מבצע | אמן
w2666	reflection	השתקפות | הרהור
w3808	obedience	ציות | צייתנות
w3703	evoke	להזכיר | להעלות | לעורר
w2423	compost	זבל אורגני | קומפוסט
w3040	pest	מזיק (חרקים) | מזיק | מטרד | טרדן
w2718	substitute	להחליף | תחליף
w2990	match	משחק | גפרור | התאמה | להתאים
w3412	noted	לציין | מפורסם | ידוע
w3014	newscaster	קריין חדשות | מגיש חדשות
w3483	robust	חזק | חזק ובריא | איתן
w3720	foil	לסכל | רדיד
w3944	withhold	לא לתת | לעכב | להסתיר | לעצור
w3708	exquisite	מעודן | אנין | נפלא | חד | מצוין
w3616	concise	קצר | תכליתי | תמציתי
w2553	housemaid	מנקה | משרתת | עוזרת בית
w3758	incidence	שכיחות | כמות | הִקָּרוּת (משהו שקורה) | הִקָּרוּת
w2504	essentially	במהותו | בעצם | בעיקרו
w3517	subsequent	מאוחר יותר | עוקב | הבא
w3571	affluent	שופע | אמיד | עשיר
w3689	embark	להפליג | לעלות על ספינה או מטוס | לפתוח ב- | לצאת לדרך | להתחיל
w2791	appreciation	הערכה | תודה
