k	term	cands
w1624	bond	קשר | אג"ח | להתחבר
w1536	timeline	ציר זמן | לוח זמנים
w1598	article	סעיף | פריט | מאמר
w1932	supportive	תומך | מעודד
w1751	heavily	בכבדות | במידה רבה | מאוד
w1981	actual	אמיתי | ממשי
w1270	count	רוזן | ספירה | לספור
w1616	barrier	חסם | מחסום
w2260	plot	עלילה | לזמום | חלקה (חלקת אדמה) | להכין תרשים | לקשור קשר | מגרש | חלקה | לזמם
w2055	confession	וידוי | הודאה
w1259	confusion	בלבול | מבוכה
w1457	randomly	באקראיות | באקראי
w1352	grand	מפואר | כולל | גדול | נהדר | מרשים
w1763	increase	להגביר | עלייה | להגדיל | לעלות
w1632	bully	בריון | להציק
w1615	ban	לאסור | איסור | חרם
w1491	segment	מקטע | קטע | פלח
w2345	unconscious	מחוסר הכרה | לא מודע
w1220	backward	לאחור | אחורה | נחשל
w2242	orchestrate	לתאם | לתזמר | לארגן
w1507	sound	בריא | צליל | קול | להישמע | הגיוני
w2008	assume	להניח | לקחת על עצמו
w2222	monumental	כביר | אדיר | גדול
w2208	manner	דרך | אופן | התנהגות
w2051	concern	דאגה | עניין | להדאיג
w1752	hike	טיול | הליכה | טיול רגלי | לטייל | העלאה
w1995	apparently	לכאורה | כנראה
w1645	chart	לשרטט | גיליון | תרשים
w1591	afterwards	אחר כך | לאחר מכן
w1754	identify	להזדהות | לזהות
w2265	praise	לשבח | שבח
w1500	shift	משמרת | שינוי | להזיז
w1453	race	מירוץ | גזע | מרוץ
w2100	endangered	בסכנת הכחדה | לסכן
w1568	waterfall	מפל מים | מפל
w1933	supreme	עילאי | עליון
w1503	significantly	באופן ניכר | באופן משמעותי | משמעותית
w1441	priest	כהן | כומר
w1343	fundamental	בסיסי | בסיסי (פונדמנטלי) | יסודי
w1356	hint	רמז | לרמוז
w2310	slight	קל | זעיר | מעט | להעליב
w1715	essential	הכרחי | חיוני
w1216	authority	סמכות | רשות
w1528	take place	התרחש | להתרחש | להתקיים
w2368	withdraw	למשוך | לפרוש | לסגת
w2129	for the most part	בדרך-כלל | בעיקר
w1978	abuse	שימוש לרעה | להתעלל | ניצול | לנצל | התעללות
w2294	retreat	לסגת | נסיגה | מפלט
w1242	century	מאה | מאה שנים
w1787	lame	גרוע | צולע
w1885	rub	שפשוף | לשפשף
w1362	iceberg	הר קרח | קרחון
w2035	capital	ראשי | הון | משמעותי | בירה | עיר בירה | אות גדולה
w1945	transition	מעבר | שינוי | לעבור
w2069	dawn	להבין | שחר
w1999	approach	להתקרב | גישה | לגשת | לפנות אל | שיטה
w1717	exception	יוצא מהכלל | חריגה | יוצא דופן
w1337	folklore	פולקלור | מסורת עממית
w2262	polish	פולני | להבריק | ליטוש | לצחצח
w1941	toes	אצבע רגל | בוהן | בהונות
