k	term	cands
w2711	specify	לציין | לפרט
w2870	disregard	זלזול | להתעלם
w3423	overdue	באיחור | שעבר זמן ההגשה שלו
w3621	confide	לשתף בסוד | לשתף | לספר (סוד) | לספר
w3941	vocation	מקצוע | ייעוד
w3216	by no means	בשום אופן לא | בשום אופן | כלל לא
w2802	beneficial	מיטיב | מועיל | רווחי
w3730	furnish	לרהט | לספק
w3866	relapse	הדרדר | הישנות | להישנות
w2550	herb	עשב | עשב תיבול
w3770	interjection	הפרעה לשיחה | מילת קריאה | הערה
w3003	modest	מתון | צנוע
w3754	impartially	ללא אפליה | באובייקטיביות | בהגינות | באופן הוגן
w3354	impair	לפגום | להחליש | לפגוע
w2612	obligation	התחייבות | חובה
w3545	virtue	מעלה | מידה טובה | סגולה
w3668	discrepancy	פער | אי התאמה | סתירה
w3493	seek, sought	לבקש | חיפש | לחפש
w2755	vary	משתנה | להשתנות
w3427	particulars	פרטים | פרט | פרטי מידע
w2864	discontent	אי שביעות רצון | חוסר שביעות רצון
w3398	mere	בלבד | רק | לא יותר מ- | גרידא
w2979	likewise	כמו כן | כמו-כן | באותו אופן | גם כן
w3301	envision	לחזות | לדמיין | לצפות
w2635	poll	הצבעה | סקר | קלפי
w2437	continuous	רציף | מתמשך
w3620	confer	להעניק | להעניק (תואר | להתייעץ | כבוד) | לדון
w2623	outlaw	להוציא אל מחוץ לחוק | פורע חוק | לאסור
w2823	colossal	עצום | ענק
w3585	articulate	לנסח | להביע | לבטא | רהוט
w2871	dissolve	להתמוסס | לפרק
w3546	vivid	בהיר | ססגוני | חי | עז | ברור | מוחשי | חד
w3601	candid	כנה | ישיר | גלוי לב | כן
w3707	expend	לגמור | לבזבז | לפזר | להוציא
w3306	esteemed	מכובד | נערץ
w3056	probe	לחטט | לחקור | חקירה | לברר | לגשש
w3727	frivolous	שטותי | לא רציני | קליל דעת | חסר חשיבות | קל דעת
w3110	solely	אך ורק | רק | בלבד
w2797	audit	ביקורת | לבקר
w3004	moist	רטוב | לחלוחי | לח | טחוב
w3802	nestle	להצטנף | להתכרבל | להיות מוקם בחיק | לשכון בנוחות
w2899	exploit	מעשים | פעולות | להפיק תועלת | הישג | לנצל
w3458	provided that	בתנאי ש- | בתנאי ש
w3542	verse	שירה | בית בשיר | בית | פסוק
w3677	dissent	חילוקי דעות | להתנגד | התנגדות | לחלוק דעה
w2631	peek	הצצה | להציץ
w3304	erupt	התפרץ | להתפרץ
w3288	draw	שוויון | למשוך | תיקו | לצייר
w3145	verdict	פסק דין | הכרעה | פסיקה
w3870	resent	להתרעם על | לחוש טינה | להתמרמר
w2468	disapproving	לגנות | להתנגד | לא מרוצה | לא מאשר | לא מסכים
w3342	hasty	מהיר | פזיז | בהול | נמהר
w3639	dandy	גנדרני | גנדרן | מצוין
w3357	in order	כדי | מסודר | תקין
w3381	landmark	ציון דרך | אבן דרך
w3355	impartial	חסר פניות | אובייקטיבי | אוביקטיבי | ללא צד
w3830	pervasive	מתפשט | מחלחל | רווח | נפוץ
w3368	inhibit	לעכב | למנוע | לרסן
w2739	trim	לגזום | לקצץ
w3594	baffled	נבוך | מבולבל
