k	term	cands
w2113	establish	לייסד | להקים | לבסס
w1567	waste	לבזבז | פסולת | בזבוז | הפסולת
w1687	dental	של שיניים | דנטלי | שקשור בשיניים
w1974	wisdom	חכמה | בינה | חוכמה
w1292	dominate	להשתלט | לשלוט
w2350	unfamiliar	לא מוכר | זר
w2020	betray	לחשוף | לבגוד
w2114	every now and then	מדי פעם | לפעמים
w1279	deeply	מאוד | עמוקות | במידה רבה
w2093	e.g.	לדוגמה | למשל
w1571	whenever	בכל פעם ש | לא משנה מתי | מתי ש- | בכל פעם ש-
w1835	poisonous	רעיל | ארסי
w1212	attitude	עמדה | גישה
w1247	citrus	הדר | פרי הדר
w1773	insanity	שיגעון | אי שפיות | טירוף
w1283	desire	תשוקה | חשק | להשתוקק | לחפוץ
w1960	variety	מגוון | זן | מבחר
w1291	divorce	להתגרש | גירושין
w1881	ritual	טקס | פולחן | טקסי
w1718	execute	לבצע | להוציא לפועל | להוציא להורג
w1517	study	חדר עבודה | מחקר | ללמוד
w1300	edge	להב | קצה | שוליים | להב (של סכין) | יתרון | חוד
w1913	stack	ערמה | לערום | ערימה
w1736	frequently	לעיתים קרובות | לעתים קרובות
w2326	subjective	סובייקטיבי | משוחד בדעתו | אישי
w1879	reveal	לגלות | לחשוף
w2232	objection	התנגדות | הסתייגות
w1806	moral	מוסר | מוסרי | מוסר השכל
w2287	remarkable	יוצא דופן | מדהים | ראוי לציון
w2032	butcher	קצב | לטבוח | לשחוט
w1418	object	חפץ | פריט | מטרה | אובייקט | להתנגד
w2234	occur	להתרחש | לקרות | התרחש | קרה
w2178	integrate	להשתלב | לשלב
w1190	advertisement	פרסומת | מודעה | פרסום
w2098	encounter	מפגש | היתקלות | לפגוש | להיתקל | להיתקל ב-
w1680	deaf	חרש | חירש
w1253	cognitive	קוגניטיבי | שכלי | הכרתי
w1992	announcement	הודעה | הכרזה
w1231	brilliant	מבריק | גאוני
w1541	transform	להפוך | לשנות | לשנות צורה
w1254	common	משותף | רגיל | נפוץ
w1984	admit	להכניס | להודות | לקבל | לקבל לתוך קבוצה
w1341	from time to time	מדי פעם | מפעם לפעם
w1427	painter	צייר | צבע
w1920	straighten	להזדקף | ליישר
w1946	trigger	הדק | לגרום | להפעיל
w2015	belief	אמונה | דעה
w1803	melt	להימס | להמיס
w2322	steam	אד | אדים | לאדות | קיטור
w1498	share	לשתף | חלק | מניה | לחלוק
w2081	determine	לקבוע | לברר
w1851	publisher	מוציא לאור | הוצאה לאור
w1459	rank	דרגה | לדרג
w2171	influential	משפיע | רב-השפעה
w1874	resist	להתנגד | לעמוד בפני
w2019	berry	גרגר | גרגרי יער | פרי יער
w1605	attempt	לנסות | ניסיון
w2296	rubbish	שטויות | אשפה | זבל
w1409	mountaintop	פסגת הר | פסגה
w1797	luxury	פאר | מותרות
