k	term	cands
w2077	demographic	דמוגרפי | פלח אוכלוסייה
w1391	logic	הגיון | לוגיקה | היגיון
w1221	bacteria	חיידקים | חיידק
w1825	pad	רפידה | פנקס | לרפד
w1380	issue	בעיה | גיליון | להנפיק | נושא | להוציא לאור | עניין | להפיץ | סוגיה
w1332	fiction	ספרות בדיונית | לא אמיתי | בדיון
w2173	injure	לפצוע | לפגוע
w2078	department-store	כלבו | חנות כלבו
w1295	due to	לאור | בגלל | עקב
w2164	in favor of	לטובת | בעד
w1588	addition	תוספת | הוספה | חיבור
w2238	on the contrary	להיפך | להפך | אדרבא | נהפוך הוא
w1280	deer	איל | צבי
w2363	visualize	לדמיין | להמחיש
w2155	horrific	איום | מזעזע
w1882	rival	מתחרה | יריב | להתחרות
w2127	finalize	לסכם | לסיים | לגבש
w1489	seeds	זרע | זרעים
w2139	gamble	להמר | הימר | הימור
w1619	beside	לצד | ליד
w2202	luggage	מזוודות | מזוודה | כבודה
w1307	epidemic	אפידמיה | מגיפה | מגפה
w1597	arrange	לארגן | לתאם | לסדר
w1785	labor	להתאמץ | עמל | לעמול | לידה | עבודה
w2295	revolutionary	מהפכן | מהפכני
w1948	twist	תפנית | סיבוך | לפתל | סיבוב
w1900	shelter	מחסה | מקלט
w2145	gross	דוחה | גועלי | ענק | ברוטו | גס | גלמי
w1862	recover	לשחזר | להתאושש | להחלים
w1943	toward	לכיוון | לעבר | אל עבר | אל
w1560	vehicle	כלי רכב | רכב
w2210	marine	נחת | ימי
w1553	unrealistic	לא ריאלי | לא מציאותי
w1316	excite	לרגש | לעורר | להלהיב
w1612	baggage	כבודה | מטען | מזוודה
w1819	orbit	להקיף | לחוג | מסלול (סביב גרם שמים) | מסלול | להקיף במסלול
w1659	conspiracy	קשר | מזימה | קונספירציה
w2084	discomfort	אי-נוחות | אי נוחות | מבוכה
w1494	self-confidence	ביטחון עצמי | בטחון-עצמי
w1696	distant	מרוחק | רחוק | מנוכר
w2317	spectacular	מדהים | מרשים | מרהיב
w2027	bold	נועז | אמיץ | חצוף | מודגש
w1897	session	פגישה | מושב | ישיבה | מפגש
w1679	curve	עקומה | לעקם | פניה
w1282	depend on	להסתמך על | תלוי ב-
w1479	reply	תשובה | להשיב
w1408	motivate	לעודד | לדרבן | להניע
w2189	just	רק | בלבד | מדויק | אמיתי | בדיוק | הוגן | צודק
w1520	surface	משטח | לצוף | פני שטח
w1315	examine	לבחון | לבדוק
w2031	broadcast	שידור | לשדר
w1333	filmmaker	במאי | יוצר קולנוע | יוצר סרטים
w2216	migrate	להגר | לנדוד
w1331	favor	טובה | להעדיף | חיבה
w1865	registration	רישום | הרשמה
w1286	dimension	ממד | מימד | היבט
w2010	attorney	עורך-דין | עורך דין
w2154	hilarious	מצחיק מאוד | משעשע | מצחיק
w1222	beg	להתחנן | לקבץ נדבות
w1320	explosive	נפיץ | חומר נפץ
