k	term	cands
w2513	exhibit	תערוכה | להציג | מוצג
w3418	ordinarily	בדרך כלל | בדרך-כלל
w3673	disparagement	זלזול | השמצה
w2911	foresee	לצפות מראש | לצפות
w3371	insulate	לבודד | להגן
w2509	evident	ברור | ניכר | נראה לעין
w2745	unconventional	לא שיגרתי | לא שגרתי
w3556	yield	להניב | להיכנע | תשואה | לוותר | לסגת | להפיק
w3610	commute	לנסוע בקביעות לעבודה | להמתיק | להמתיק (עונש) | להמיר | לנסוע | להחליף
w3495	seismic	ססמי | סייסמי | ססמי (קשור לרעידות אדמה)
w3151	virtually	כמעט | למעשה | באופן וירטואלי | בעצם
w3494	segregation	בידול | הפרדה
w3071	refined	מלוטש | מזוקק | מעודן
w3764	inhabit	לאכלס | לגור | לשכון ב- | להתגורר | לגור ב-
w3762	infancy	ינקות | שלב ראשוני
w3222	circulate	להפיץ | לזרום | לנוע במחזוריות
w3666	disarmament	פירוק נשק | פירוק מנשק
w3125	sustain	לקיים | להמשיך באותה צורה | סבל מ- | לתמוך
w3812	ode	שיר שבח | אודה | שיר הלל
w3070	recur	להישנות | לחזור | קרה שוב
w3724	forsake	לנטוש | לזנוח
w2866	disgrace	קלון | בושה | חרפה
w2884	emerge	להגיח | לצוץ | להופיע
w2688	revived	להחיות | להתאושש | התחדש | קם לתחייה
w2541	grapes	ענב | ענבים
w2709	sneeze	להתעטש | עיטוש
w2680	reside	להתגורר | לשכון | לגור
w3253	counsel	לייעץ | פרקליט | להדריך | עורך דין | יועץ | עצה
w3476	reluctant	לא מעוניין | מסויג | מהסס
w2447	crop	יבול | לגזור | לקצץ
w3168	acquitted	זוכה מאשמה | לזכות
w2752	validate	לאשר | נתן תוקף | אימת | לאמת
w2789	appeal	לערער | לבקש | מושך | מדבר אל | משיכה | לפנות
w3184	annually	בכל שנה | מדי שנה | אחת לשנה
w2817	characteristic	אופייני | מאפיין
w2702	sideways	לרוחב | הצידה
w2889	enhance	לשפר | להעצים
w3608	commendably	ראוי לשבח | באופן ראוי לשבח
w3555	wound	מתוח | לפצוע | פצע | נמתח
w3101	shatter	להרוס | לנפץ | לקעקע | להתנפץ
w3496	seizure	תפיסה | התקף | החרמה
w3918	tentative	לא סופי | מהוסס | זמני | ניסיוני
w2971	irresistible	שלא ניתן לעמוד בפניו | כובש | מפתה
w3032	oversee	לפקח | לפקח על
w3343	haul	שלל | לגרור
w3437	posture	עמדה | יציבה | תנוחה
w3679	diverge	להתפצל | לסטות
w3692	eminent	בולט | בכיר | נודע
w3480	riddle	לנקב | חידה
w3317	familiarize	להכיר | להתוודע
w3712	fad	טרנד | אופנה חולפת
w3871	respective	מתאים | שייך בהתאמה | פרטני
w3153	wanted	לרצות | מבוקש
w3690	embellish	להפריז | לייפות | לקשט | להוסיף פרטים מומצאים
w2434	consistently	באופן קבוע | בעקביות
w2831	conserve	לשמר | לחסוך
w3891	snarl	סבך/פקק | לנהום בחשיפת שיניים | לרטון בכעס | לנהום
w3581	antler	קרן | קרן מסועפת של אייל/צבי
w3456	prosperity	שפע | צמיחה | שגשוג
w2977	lean	רזה | להישען
