k	term	cands
w1309	even	ליישר | זוגי | אפילו | להשוות | זוגי (מספר) | שווה
w1478	replica	שכפול | העתק | דגם | העתק מדויק
w1908	spill	דליפה | לשפוך
w1287	disadvantage	חסרון | חיסרון | נחיתות
w1621	blank	רווח | ריק | חלל ריק
w1720	expand	להרחיב | להתרחב
w2255	permit	להרשות | להתיר | אישור | רישיון
w1801	measure	מידה | למדוד | אמצעי
w1793	log	לתעד | יומן | לתעד ביומן | בול עץ
w2206	maintain	לשמור | לגרוס | לשמור על | לתחזק | לטעון
w1400	mind	אכפת | להשגיח | לשים לב | לשמור | מוח | שכל
w1367	in particular	במיוחד | בפרט
w2123	fancy	מגונדר | מפואר | מחבב | לחבב
w2054	confess	להתוודות | להודות
w1815	offend	לפגוע | להעליב
w1623	boil	להרתיח | לרתוח
w1697	district	אזור | מחוז
w2286	remains	עדיין | להישאר | נשאר | שרידים | שריד
w1833	pharmacy	בית מרקחת | רוקחות
w1257	conference	ועידה | כנס
w1432	pigment	חומר צבע | צבען | פיגמנט
w1663	contain	מכיל | להכיל | לבלום
w2276	property	תכונה | נכס | רכוש
w2009	attend	להשתתף | להיות נוכח | לטפל
w1903	significant	ניכר | חשוב | משמעותי
w2263	possession	בעלות | חזקה | רכוש
w1781	invent	להמציא | לבדות
w1807	mortal	בן תמותה | אנוש | אנושי | קטלני
w2361	vertical	אנכי | מאונך
w1402	minister	שר | כומר | שר (בממשלה)
w2152	harsh	אכזרי | נוקשה | קשה | חמור
w1741	gain	להוסיף | להשיג | רווח | להרוויח
w1469	recycling	מיחזור | מחזור
w2243	ordinary	פשוט | רגיל
w2344	unattractive	לא אטרקטיבי | לא מושך
w2338	to begin with	ראשית | בתור התחלה
w1660	constant	רצוף | קבוע | מתמיד
w2005	as far as	ככל ש | בכל הנוגע ל- | לגבי
w1842	primary	ראשוני | יסודי | עיקרי
w1225	besides	בנוסף על | בכל מקרה | מלבד | חוץ מ- | חוץ מזה
w1465	rebel	מורד | למרוד
w2207	mandate	ייפוי כוח | מנדט | לחייב
w2325	stun	לזעזע | להמם
w1747	greet	לקדם פנים | לברך | לקבל פנים
w1389	likely	סביר | קרוב לוודאי
w2075	dedicated	מוקדש ל- | מסור | להקדיש
w1652	commercial	סרטון פרסומת | פרסומת | מסחרי
w1525	symptom	תסמין | סימפטום | סימן
w1493	selective	סלקטיבי | בררני
w2239	once in a while	מידי פעם | לפעמים | מדי פעם
w1429	party	מפלגה | צד | מסיבה
w1764	indication	סימן ל- | רמז | אינדיקציה | סימן
w2000	appropriate	מתאים | הולם
w1474	regularly	באופן קבוע | בקביעות
w2148	gymnasium	אולם ספורט | חדר כושר | אולם התעמלות
w2137	fulfill	למלא | להגשים
w2188	judgment	שיקול דעת | פסק דין | שיפוט
w2346	uncountable	בלתי ספיר | אינספור
w1767	infection	הדבקה | זיהום
w1443	primitive	חסר תרבות | קדום | פרימיטיבי | קדמוני
