k	term	cands
w1642	cereal	דגן | דגני בוקר
w1595	apply	ליישם | לחול על | להחיל | למרוח | להגיש בקשה | לפנות
w1289	discoveries	תגלית | תגליות
w1954	unlike	בניגוד ל | שונה | שלא כמו
w2167	inclusive	מכיל | כוללני | כולל
w2197	limitation	מגבלה | הגבלה
w2318	spontaneously	ספונטנית | ללא תכנון
w1227	beyond	מעבר | מעבר ל
w1510	spot	כתם | מקום | להבחין | לזהות
w1263	contract	חוזה | הסכם | להתכווץ | להידבק | להידבק (במחלה) | לחלות | ללקות
w2120	fade	לדהות | להיעלם | לדעוך
w1944	traffic jam	פקק תנועה | פקק
w1298	earn	להרוויח | לזכות ב
w2252	passive	פסיבי | סביל
w1417	nut	מטורף | אגוז
w2241	oppose	להתנגד ל- | להתייצב נגד | להתנגד
w1600	assignment	הקצאה | מטלה | משימה
w1582	absent	נעדר | חסר | לא נוכח
w1979	account	תיאור | חשבון | account for — להסביר | דיווח | take into account — להתחשב | להסביר
w1690	depart	לצאת | לעזוב
w2038	clash	להתנגש | התנגשות
w1390	load	לטעון | להעמיס | מטען
w1845	produce	לייצר | תוצר | תוצרת | ירקות ופירות | להפיק
w1594	annoy	להציק | להרגיז
w1936	swing	נדנדה | לנדנד | להתנדנד
w2219	modernize	לעדכן | לחדש | להפוך למודרני
w2283	refund	החזר | החזר כספי | להחזיר
w1662	consult	לעיין ב | להתייעץ
w1657	confident	בטוח | בטוח בעצמו
w2151	harmless	לא מזיק | תמים | שאינו מזיק
w2176	insist	להתעקש | לדרוש
w2021	biblical	תנכי | תנ"כי | מקראי
w1934	suspicious	חשדן | חשוד | חשוד (משהו)
w1786	lack	לחסר | חוסר | מחסור
w2366	volume	עוצמת קול | עוצמה | כרך | נפח
w1685	degree	תואר | מעלה | במידה מסוימת | מידה | תואר אקדמי | דרגה | מעלה (מדידה)
w1712	equally	במידה שווה | באופן שווה
w1396	mass	המוני | מסה | המון | מיסה
w1827	parallel	מקבילה | מקביל
w1775	inspiring	נותן השראה | מעורר השראה
w1393	major	עיקרי | התמחות | סולם מז'ור (במוזיקה) | סולם מז'ור | רב-סרן | מסלול לימודים | ראשי
w2105	ensure	להבטיח | לוודא
w2193	legalize	להסדיר | לאשר | להפוך חוקי | להכשיר
w2319	spring	אביב | קפיץ | מעיין
w1354	handle	ידית | לטפל | להתמודד
w1876	resort	לנקוט | אתר נופש | לנקוט באמצעים
w1361	hybrid	היברידי | הכלאה | כלאיים
w2158	imaginative	יצירתי | בעל דמיון | מלא דמיון | בעל דמיון עשיר
w2023	blanket	שמיכה | לכסות
w1770	ingredients	מרכיב | מרכיבים
w2280	radically	באופן קיצוני | מהיסוד
w1521	surprisingly	באופן מפתיע | במפתיע
w2289	reservation	שמורה | הסתייגות | הזמנה | שריון מקום
w1248	claim	טוען | טענה | תביעה | לטעון
w2328	superior	עדיף | ממונה | עליון
w1381	label	תגית | תווית | לתייג
w2229	nominated	למנות | מועמד
w2163	in contrast to	בניגוד ל- | בניגוד ל
w1484	rough	מחוספס | גס | קשה
w1232	bullet	קליע | תבליט | כדור
