k	term	A	B
w2423	compost	קומפוסט, זבל אורגני	זבל אורגני
w2429	conquer	לכבוש; להתגבר על	לכבוש
w2430	conscious	מודע; בהכרה	מודע
w2431	consequence	תוצאה	תוצאה; השלכה
w2433	consistent	עקבי; תואם	עקבי
w2434	consistently	בעקביות; באופן קבוע	בעקביות
w2437	continuous	רציף, מתמשך	מתמשך
w2442	cornerstone	אבן פינה; יסוד	אבן פינה
w2447	crop	לקצץ; יבול; לגזור	לקצץ; יבול
w2451	dairy	מחלבה	חלבי, מחלבה
w2459	desirable	רצוי, נחשק	נחשק
w2461	devastated	הרוס, מפורק; שבור	הרוס, מפורק
w2465	dictate	להכתיב, לפקד	להכתיב, לפקד; ציווי
w2478	distribute	להפיץ	להפיץ; לחלק
w2479	distribution	הפצה	הפצה; חלוקה
w2482	downhill	מדרון, מורד	מדרון, מורד; מתדרדר
w2483	drain	לנקז; ניקוז	לרוקן, לנקז; ניקוז
w2484	drift	לנדוד, זרם, סחף	זרם, סחף
w2485	drip	לטפטף; טיפה	לטפטף
w2502	equivalent	שווה ערך, מקביל	שווה ערך, מקביל; מקבילה
w2503	erosion	שחיקה, סחף, כרסום	סחף, כרסום
w2504	essentially	בעצם, בעיקרו, במהותו	בעיקרו, במהותו
w2505	estimate	להעריך, לאמוד	להעריך, לאמוד; הערכה
w2509	evident	ברור, נראה לעין	ניכר, ברור, נראה לעין
w2510	exceptional	יוצא דופן, מעולה; מצוין	יוצא דופן, מעולה
w2515	expedition	משלחת	משלחת; מסע
w2522	faithful	נאמן	נאמן; מדויק
w2524	fasten	להדק	להדק; לחבר
w2529	flee, fled	לברוח, להימלט, נמלט	להימלט, נמלט
w2531	fluid	נוזל; נזיל	נוזל
w2535	frequent	תכוף, תדיר, שכיח; לפקוד	תכוף, תדיר, שכיח
w2538	govern	למשול; להסדיר, לקבוע	לשלוט, למשול; להסדיר, לקבוע
w2544	grocery	מכולת; מצרכים	מכולת
w2545	guidance	הנחיה, הכוונה, הנהגה	הדרכה, הנחיה, הכוונה, הנהגה
w2546	handful	קומץ; חופן	קומץ
w2550	herb	עשב תיבול, עשב	עשב
w2553	housemaid	עוזרת בית, מנקה; משרתת	עוזרת בית, מנקה
w2558	idolize	להאליל, להעריץ	להעריץ
w2563	implement	ליישם, להוציא לפועל	ליישם, להוציא לפועל; כלי
w2566	inconsistent	לא עקבי; סותר	לא עקבי
w2577	interior	פנימי	פנימי; פנים
w2584	inventory	מצאי	מלאי, מצאי; רשימת מלאי
w2585	jewel	תכשיט; אבן חן	תכשיט
w2587	just as... so...	בדיוק כמו... גם	כשם ש... כך, בדיוק כמו... גם
w2589	knot	קשר	קשר; לקשור
w2596	malfunction	תקלה, כשל, ליקוי	כשל, ליקוי
w2597	manufacture	ייצר	לייצר, ייצר; ייצור
w2598	margin	שוליים, מרווח	שוליים, מרווח; הפרש
w2604	merge	למזג, לחבר	למזג, לחבר; להתמזג
w2606	misbehave	להתנהג בצורה לא הולמת	להתנהג רע, להתנהג בצורה לא הולמת
w2612	obligation	התחייבות	התחייבות; חובה
w2613	observer	משקיף; צופה	משקיף
w2615	occasional	מדי פעם, מקרי	מזדמן, מדי פעם, מקרי
w2616	occasionally	מדי פעם, מידי פעם; לעיתים	מידי פעם
w2617	occasions	אירוע, הזדמנויות, מקרים	הזדמנויות, מקרים
w2618	offender	עבריין, פושע, פוגע	פושע, פוגע
w2619	offense	עבירה; פגיעה	עבירה; פגיעה; עלבון
w2624	outpost	מוצב, נקודת קצה	מוצב, נקודת קצה; מאחז
w2626	overlaps	לחפוף, חופף; חפיפה	חופף
w2627	overly	יותר מדי, יותר מידי	יותר מידי
w2629	partial	חלקי; מוטה	חלקי
w2630	participate	להשתתף, השתתף	השתתף
w2632	performer	מבצע, מציג; אמן	מבצע, מציג
w2640	predict	לצפות מראש	לחזות, לצפות מראש; לנבא
w2641	prediction	חיזוי, ניבוי	תחזית, חיזוי, ניבוי
w2642	preserve	לשמר	לשמר; שמורה
w2646	promote	לקדם	לקדם; לפרסם
w2647	proportion	שיעור, מידה	יחס, שיעור, מידה
w2648	proposition	הצעה; טענה	הצעה
w2650	pupil	תלמיד	תלמיד; אישון
