k	term	A	B
w3003	modest	צנוע	צנוע; מתון
w3006	moreover	יתרה מזאת, זאת ועוד	זאת ועוד
w3009	mutually	הדדית, באופן שווה/הדדי	באופן שווה/הדדי
w3013	nevertheless	למרות זאת	בכל זאת, למרות זאת
w3014	newscaster	קריין חדשות, מגיש חדשות	מגיש חדשות
w3015	nobility	אצולה	אצולה; אצילות
w3017	numb	רדום, חסר תחושה	קהה, רדום, חסר תחושה
w3018	numerous	מרובה	רב, מרובה
w3019	nursery	חדר ילדים, פעוטון; משתלה; חדר תינוקות	חדר ילדים, פעוטון; משתלה
w3024	occupy	להעסיק; לתפוס, לאכלס; לכבוש	להעסיק; לתפוס, לאכלס
w3025	occurrence	התרחשות	מקרה, התרחשות
w3036	pedestrian	הולך רגל; שגרתי	הולך רגל
w3038	persist	להתמיד, להתעקש	להתמיד, להתעקש; להימשך
w3040	pest	מטרד, מזיק (חרקים)	מטרד, מזיק (חרקים); טרדן
w3044	pinch	לצבוט	לצבוט; קורט
w3045	pioneer	חלוץ	חלוץ; לפרוץ דרך
w3046	plaster	טיח; פלסטר	טיח
w3047	plead	לעתור, להתחנן; לטעון	לעתור, להתחנן
w3048	pledge	התחייבות, להתחייב	להתחייב
w3049	plentiful	מלא, שופע	מלא, שופע; רב
w3050	possess	להיות בעלים של, להחזיק ב-	להחזיק, להיות בעלים של, להחזיק ב-
w3052	premature	מוקדם מדי; פג	מוקדם מדי
w3054	prick	לדקור	לדקור; דקירה
w3058	prominent	בולט, חשוב; נודע	בולט, חשוב
w3063	province	מחוז, אזור	מחוז, אזור; תחום
w3064	pursue	לרדוף; לשאוף	לרדוף
w3065	query	שאלה, חקירה	שאלה, חקירה; שאילתה
w3070	recur	לחזור ולהופיע, לקרות שוב	להישנות, לחזור ולהופיע, לקרות שוב; לחזור
w3071	refined	מעודן, מלוטש; מזוקק	מעודן, מלוטש
w3072	regard	להתייחס, להחשיב	להתייחס, להחשיב; כבוד
w3073	regulate	להסדיר, לווסת	לווסת
w3075	rehearse	לחזור, לתרגל	לחזור, לתרגל; לערוך חזרה
w3079	remainder	שארית; יתרה	שארית
w3080	remedy	תרופה; לתקן	תרופה
w3081	repelled	דחה, הגעיל; להדוף	דחה, הגעיל
w3082	resemble	להידמות ל, דומה	דומה
w3091	revitalize	להחיות	להחיות מחדש, להחיות
w3093	rim	שפה; חישוק	שפה
w3096	scarce	נדיר	נדיר; מועט
w3097	scatter	לפזר; להתפזר	לפזר
w3098	sensible	הגיוני, נבון	נבון
w3099	sentiments	רגשות; דעה	רגשות
w3100	settle	ליישב, להתיישב; להסדיר	להתיישב; להסדיר
w3102	shepherd	רועה, רועה צאן	רועה צאן
w3104	sighting	תצפית, מראה; איתור	תצפית, מראה
w3106	skinned	פשט עור, קילף	לקלף, פשט עור, קילף
w3108	slender	רזה; דק	רזה
w3109	soil	אדמה; לכלוך	אדמה; לכלוך; ללכלך
w3110	solely	אך ורק, בלבד, רק	בלבד, רק
w3111	solitary	מבודד	בודד, מבודד
w3114	spike	זינוק, יתד; מסמר	יתד
w3115	steer	לנווט, להוביל; לכוון	לנווט, להוביל
w3117	stiff	נוקשה; קשיח	נוקשה
w3123	supplement	תוסף; להשלים	תוסף
w3125	sustain	לקיים, לתמוך; סבל מ-; להמשיך באותה צורה	לתמוך; סבל מ-; להמשיך באותה צורה
w3126	tame	מבויית, לאלף, לבית	לאלף, לבית
w3128	tender	רך	רך; עדין
w3130	tin	פח, בדיל, עשוי מפח	בדיל, עשוי מפח
w3132	tolerate	לסבול; להשלים עם	לסבול
w3139	unrest	חוסר שקט	מהומה, חוסר שקט; אי שקט
w3143	validity	תוקף	תוקף; תקפות
w3145	verdict	פסק דין, פסיקה; הכרעה	פסק דין, פסיקה
w3151	virtually	כמעט, למעשה, בעצם	למעשה, בעצם
w3152	wage	לערוך, לנהל; משכורת	שכר, לערוך, לנהל; משכורת
w3153	wanted	מבוקש	לרצות, מבוקש
w3158	welfare	סעד	רווחה, סעד
w3159	widespread	נפוץ; רחב היקף	נפוץ
w3166	accustomed	מורגל	רגיל, מורגל
w3169	adhere	לדבוק ב-, לדגול ב-; להידבק	לדבוק ב-, לדגול ב-
w3170	adjacent to	סמוך ל, ליד	ליד
