k	term	A	B
w2038	clash	התנגשות	להתנגש, התנגשות
w2039	clay	חימר	חימר; חרסית
w2044	collapse	לקרוס, להתמוטט	להתמוטט
w2050	compromise	להתפשר	פשרה, להתפשר
w2052	conclusion	מסקנה	מסקנה; סיום
w2054	confess	להודות; להתוודות	להודות
w2055	confession	הודאה, וידוי	וידוי
w2056	construct	לבנות	לבנות; מבנה
w2061	correlate	לתאם, לקשר	להתאים, לתאם, לקשר
w2066	critique	ביקורת; לבקר	ביקורת
w2072	declare	להכריז	להכריז; להצהיר
w2073	decorate	לקשט	לקשט; לעטר
w2074	decrease	ירידה, הפחתה; להפחית, לצמצם	לרדת, ירידה, הפחתה; להפחית, לצמצם
w2077	demographic	דמוגרפי	דמוגרפי; פלח אוכלוסייה
w2078	department-store	חנות כלבו	כלבו, חנות כלבו
w2081	determine	לקבוע	לקבוע; לברר
w2082	differ	להיות שונה, להיבדל, לחלוק; לחלוק על	להיבדל, לחלוק
w2083	discipline	תחום לימוד/מחקר; להעניש, לחנך, משמעת	תחום לימוד/מחקר; להעניש, לחנך, משמעת; תחום
w2085	disguise	תחפושת; להסוות	תחפושת
w2086	disloyal	לא נאמן	בוגדני, לא נאמן
w2088	doorstep	מפתן, מפתן הדלת	מפתן הדלת
w2091	dull	סתום; משעמם; עמום	סתום; משעמם; עמום; קהה
w2092	duplicate	לשכפל	לשכפל; העתק
w2093	e.g.	לדוגמה	לדוגמה; למשל
w2094	eccentric	מוזר, אקסצנטרי	תמהוני, מוזר, אקסצנטרי
w2102	engagement	מעורבות, התחייבות; אירוסין	התחייבות; אירוסין
w2105	ensure	להבטיח; לוודא	להבטיח
w2113	establish	לייסד; לבסס	לייסד
w2114	every now and then	לפעמים	מדי פעם, לפעמים
w2115	evolutionary	אבולוציוני, התפתחותי	התפתחותי
w2119	facility	מתקן	מתקן; קלות
w2123	fancy	מפואר, מחבב; מגונדר; לחבב	מחבב; מגונדר
w2124	faulty	פגום, לקוי, לא תקין	לקוי, לא תקין
w2127	finalize	לסיים, לסכם, לגבש	לסכם, לגבש
w2128	folk	עממי; אנשים	עממי
w2129	for the most part	בדרך-כלל	בעיקר, בדרך-כלל
w2130	forecast	תחזית; לחזות	תחזית
w2131	forgettable	נשכח, שאפשר לשכוח אותו	שאפשר לשכוח אותו
w2135	fortunate	בעל מזל	בר מזל, בעל מזל
w2137	fulfill	להגשים	למלא, להגשים
w2139	gamble	להמר, הימר; הימור	הימר
w2141	genuine	אמיתי, מקורי; כן	אמיתי, מקורי
w2142	gesture	מחווה	מחווה; תנועת יד
w2143	given that	בהתחשב בכך; מאחר ש	בהתחשב בכך
w2144	graduate	בוגר, לסיים לימודים	לסיים לימודים
w2148	gymnasium	אולם ספורט; חדר כושר	אולם ספורט
w2150	hardly ever	כמעט אף פעם	לעיתים רחוקות, כמעט אף פעם
w2151	harmless	שאינו מזיק	לא מזיק, שאינו מזיק
w2152	harsh	נוקשה, אכזרי	קשה, נוקשה, אכזרי; חמור
w2154	hilarious	מצחיק	מצחיק מאוד, מצחיק
w2155	horrific	מזעזע, איום	איום
w2158	imaginative	בעל דמיון עשיר, יצירתי, מלא דמיון	בעל דמיון עשיר, יצירתי, מלא דמיון; בעל דמיון
w2160	import	לייבא	לייבא; ייבוא
w2162	in a word	במילה אחת	בקיצור, במילה אחת
w2164	in favor of	בעד, לטובת	לטובת
w2167	inclusive	כולל; כוללני	כולל
w2169	indicate	להצביע על	לציין, להצביע על
w2171	influential	רב-השפעה	משפיע, רב-השפעה
w2172	inject	להזריק; להחדיר	להזריק
w2173	injure	לפצוע	לפצוע; לפגוע
w2178	integrate	לשלב; להשתלב	לשלב
w2184	involve	לכלול, לערב	לערב
w2188	judgment	שיפוט; שיקול דעת, פסק דין	שיפוט
w2190	lane	נתיב, מסלול	מסלול
w2195	lengthy	ארוך, מייגע; ממושך	ארוך, מייגע
w2197	limitation	הגבלה, מגבלה	מגבלה
w2202	luggage	מזוודות	כבודה, מזוודות
w2207	mandate	מנדט, ייפוי כוח	מנדט, ייפוי כוח; לחייב
w2210	marine	ימי; נחת	ימי
w2213	memorial	אנדרטה, מונומנט הנצחה; אזכרה; של זיכרון	אנדרטה, מונומנט הנצחה; אזכרה; של זיכרון; הנצחה
