k	term	A	B
w3833	plight	מצוקה, צרה; סכנה	מצוקה, צרה; סכנה; מצב קשה
w3835	poacher	מסיג גבול, צייד לא מורשה	צייד לא-חוקי, מסיג גבול, צייד לא מורשה
w3837	populous	מאוכלס בצפיפות	רב אוכלוסין, מאוכלס בצפיפות
w3843	predestined	נקבע מראש	נועד מראש, נקבע מראש
w3844	preside	לנהל	לנהל; לכהן
w3847	proliferate	להתרבות, התפשט במהירות	התפשט במהירות
w3850	prompted	לעורר, הביא לידי; לגרום	הביא לידי
w3853	prowess	מיומנות, יכולת	מיומנות, יכולת; גבורה
w3855	quarrelsome	וכחני	נוטה לריב, וכחני; קנטרן
w3856	quench	לספק, להרוות	לספק, להרוות; לכבות
w3857	rearing	גידול, טיפוח; להזדקף	גידול, טיפוח
w3862	reconcile	להתפייס; ליישב (סתירות), לגשר בין, להתאים	לפייס, להתפייס; ליישב (סתירות), לגשר בין, להתאים
w3864	reigned	למלוך, משל, שלט	משל, שלט
w3868	render	להפוך ל-, לגרום; להגיש	להפוך, להפוך ל-, לגרום; להגיש
w3871	respective	בהתאמה, של כל אחד	בהתאמה, של כל אחד; שייך בהתאמה
w3874	resurgence	התעוררות מחדש, תחייה	תחייה
w3878	sarcophagus	סרקופג, ארון קבורה קדום	ארון קבורה קדום
w3879	scales	קשקשים (של דג)	מאזניים, קשקשים (של דג)
w3882	scrutinize	בדק, בחן	לבחון, בדק, בחן; לבדוק בקפידה
w3883	sensations	חדשות מרעישות	תחושה, חדשות מרעישות; סנסציה
w3885	shingles	רעף	שלבקת חוגרת, רעף
w3886	shroud	תכריך, עטיפה; לאפוף	תכריך, עטיפה
w3888	slant	הטיה, אלכסון, נטייה; שיפוע	אלכסון, נטייה
w3889	slate	צפחה, לקבוע (מועד), להכניס לרשימה; רעף, לוח; להכניס מישהו לרשימה	לקבוע (מועד), להכניס לרשימה; רעף, לוח
w3892	snicker	גיחוך; צחקוק	גיחוך
w3893	soar	לנסוק, לדאות; להמריא; לזנק	לנסוק, לדאות; להמריא
w3894	solicit	לבקש, לשדל / להדיח; לבקש/לחפש בתחינה	לשדל / להדיח; לבקש/לחפש בתחינה
w3895	solitude	בדידות; התבודדות	בדידות
w3897	spewing	פולט/מתיז בעוצמה, מקיא	פולט/מתיז בעוצמה, מקיא; להקיא
w3898	splendor	פאר; הדר	פאר
w3900	sprawling	משתרע, משתרע על שטח נרחב; מתפשט ללא סדר	משתרע על שטח נרחב; מתפשט ללא סדר
w3901	staple	מצרך יסוד, מוצר בסיסי; עיקרי; סיכת הידוק	מצרך יסוד, מוצר בסיסי; עיקרי; סיכת הידוק; סיכת שדכן
w3902	stark	בוטה, מוחלט, גמור; שומם, עזוב; קודר	בוטה, מוחלט, גמור; שומם, עזוב
w3905	streamlined	יעיל, יעיל וחסכוני; אווירודינמי, מעוצב לזרימה	יעיל וחסכוני; אווירודינמי, מעוצב לזרימה
w3906	stricken	פגוע, מוכה	מוכה
w3907	strife	מאבק, עימות	מאבק, עימות; סכסוך
w3909	subdue	להכניע	להכניע; לרסן
w3914	swindler	נוכל, רמאי	רמאי
w3923	tormented	לייסר, לענות; מיוסר	לייסר, לענות
w3925	transcend	להתעלות	להתעלות; לחרוג
w3928	underlies	לעמוד בבסיס, מונח ביסוד, נמצא מתחת ל-	מונח ביסוד, נמצא מתחת ל-
w3930	upheaval	טלטלה, מהפך	מהפך
w3931	uphold	לקיים, להחזיק, לתמוך, לדגול	להחזיק, לתמוך, לדגול
w3933	uproar	רעש, מהומה	רעש, מהומה; סערה
w3934	usher	סדרן; ללוות	סדרן
w3937	vertebrate	בעל חוליות	חולייתן, בעל חוליות
w3941	vocation	ייעוד, מקצוע	מקצוע
w3945	wrought	מעובד, מעוצב, מחושל	מעוצב, מחושל
