k	term	A	B
w1865	registration	הרשמה	הרשמה; רישום
w1867	relative	קרוב-משפחה; יחסי	קרוב משפחה, קרוב-משפחה; יחסי
w1871	require	לדרוש, דרישה; להצריך	לדרוש, דרישה
w1872	reserve	להזמין מראש, עתודה, מילואים; לשמור; שמורה	עתודה, מילואים; לשמור; שמורה
w1874	resist	להתנגד	להתנגד; לעמוד בפני
w1875	resistance	התנגדות, מחתרת; עמידות	התנגדות, מחתרת
w1876	resort	אתר נופש; לנקוט באמצעים; לנקוט	אתר נופש; לנקוט באמצעים
w1879	reveal	לחשוף; לגלות	לחשוף
w1882	rival	יריב; מתחרה	יריב
w1889	sailor	ימאי	מלח, ימאי
w1890	satellite	לווין	לוויין, לווין
w1891	satisfaction	סיפוק, שביעות רצון	שביעות רצון
w1892	satisfy	לרצות, לספק; להשביע רצון	לרצות, לספק
w1894	secure	להבטיח, לשמור, להגן	בטוח, להבטיח, לשמור, להגן; לאבטח
w1895	sequence	רצף; סדרה	רצף
w1897	session	מפגש, פגישה; מושב; ישיבה	מפגש, פגישה; מושב
w1898	sheet	סדין; דף; גיליון	סדין; דף
w1900	shelter	מחסה, מקלט	מקלט
w1901	shiny	מבריק, נוצץ, בוהק	נוצץ, בוהק
w1902	shrink	לכווץ ,כיווץ	להתכווץ, לכווץ ,כיווץ
w1908	spill	לשפוך; דליפה	לשפוך
w1912	stable	יציב	יציב; אורווה
w1913	stack	ערמה	ערימה, ערמה; לערום
w1916	starve	לרעוב	לרעוב; להרעיב
w1919	sticky	דביק; בעייתי	דביק
w1920	straighten	ליישר; להזדקף	ליישר
w1922	strict	נוקשה	קפדני, נוקשה
w1924	struggle	מאבק, מאמץ	להיאבק, מאבק, מאמץ
w1926	stunt	פעלול	פעלול; לעכב
w1929	succeed	להצליח, הצליח; לרשת	הצליח
w1932	supportive	תומך	תומך; מעודד
w1933	supreme	עליון; עילאי	עליון
w1935	swallow	לבלוע	לבלוע; סנונית
w1936	swing	להתנדנד, לנדנד, נדנדה	לנדנד, נדנדה
w1941	toes	אצבע רגל, בהונות	בהונות
w1943	toward	לכיוון, אל, אל עבר; לעבר	אל, אל עבר
w1946	trigger	הדק	לגרום, הדק
w1947	triggered	לגרום, גרם, עורר, הוביל ל-; להפעיל	גרם, עורר, הוביל ל-
w1948	twist	תפנית; סיבוב, סיבוך	לפתל, תפנית; סיבוב, סיבוך
w1953	unfortunate	מצער; ביש מזל	מצער
w1954	unlike	בניגוד ל, שלא כמו	שלא כמו
w1958	valid	תקף; הגיוני	תקף
w1959	valuable	יקר ערך; חשוב	יקר ערך
w1960	variety	מבחר, מגוון	מבחר, מגוון; זן
w1961	various	מגוון; שונה	מגוון
w1966	warmth	חום	חום; חמימות
w1978	abuse	התעללות, ניצול; להתעלל, לנצל	התעללות, ניצול; להתעלל, לנצל; שימוש לרעה
w1980	accurate	מדויק; נכון	מדויק
w1981	actual	ממשי	ממשי; אמיתי
w1989	ally (allies)	בעל ברית, בן-ברית (בנות-ברית)	בן-ברית (בנות-ברית)
w1992	announcement	הכרזה	הודעה, הכרזה
w1995	apparently	כנראה, מסתבר ש-; לכאורה	כנראה, מסתבר ש-
w2000	appropriate	מתאים; הולם	מתאים
w2005	as far as	לגבי, בכל הנוגע ל-	ככל ש, לגבי, בכל הנוגע ל-
w2007	associate	לקשר	לקשר; עמית
w2008	assume	להניח	להניח; לקחת על עצמו
w2009	attend	להשתתף, להיות נוכח; לטפל	להשתתף, להיות נוכח
w2013	barn	אסם; רפת	אסם
w2016	bend	לכופף	לכופף; עיקול
w2018	bent	כופף	כפוף, כופף
w2019	berry	גרגרי יער	גרגר, גרגרי יער
w2020	betray	לבגוד	לבגוד; לחשוף
w2021	biblical	תנ"כי	מקראי, תנ"כי
w2022	blame	להאשים	להאשים; אשמה
w2025	blow, blew	לנשוף, נשף; לפוצץ, פוצץ; מכה	לנשוף, נשף; לפוצץ, פוצץ
w2027	bold	אמיץ, חצוף; מודגש	נועז, אמיץ, חצוף; מודגש
w2030	broad	נרחב	רחב, נרחב; כללי
w2031	broadcast	לשדר; שידור	לשדר
w2032	butcher	קצב; לשחוט	קצב; לשחוט; לטבוח
w2035	capital	עיר בירה; אות גדולה; ראשי, משמעותי; הון	בירה, עיר בירה; אות גדולה; ראשי, משמעותי; הון
