k	term	A	B
w2825	comply	להסכים, לציית	להסכים, לציית; לקיים
w2829	conquistador	כובש	כובש; קונקיסטדור
w2831	conserve	לשמר	לשמר; לחסוך
w2834	continuity	המשכיות, רצף הגיוני	רציפות, המשכיות, רצף הגיוני
w2838	conveniently	באופן נוח	בנוחות, באופן נוח
w2844	cripple	לשתק, להטיל מום; נכה	להטיל מום
w2848	dart	חץ	חץ; לזנק
w2849	dealt	טיפל ב, עסק ב; חילק (קלפים); לטפל, לחלק	טיפל ב, עסק ב; חילק (קלפים)
w2850	decay	להירקב, ריקבון	ריקבון
w2855	delight	תענוג; לשמח	תענוג
w2859	despair	להתייאש	ייאוש, להתייאש
w2860	despise	לבוז, לתעב	לתעב
w2862	determined	נחוש, נחרץ	נחוש, נחרץ; לקבוע
w2864	discontent	חוסר שביעות רצון	אי שביעות רצון, חוסר שביעות רצון
w2865	discourage	להרתיע, לשכנע שלא	לייאש, להרתיע, לשכנע שלא; להניא
w2866	disgrace	חרפה, בושה; קלון	בושה
w2870	disregard	להתעלם; זלזול	להתעלם
w2871	dissolve	להתמוסס	להתמוסס; לפרק
w2872	distinct	ברור, נפרד	ברור, נפרד; נבדל
w2873	distinctive	ייחודי, מיוחד	מיוחד
w2874	distress	מצוקה; לצער	מצוקה
w2879	dread	פחד, לפחד; אימה	פחד, לפחד
w2880	due	צריך להיעשות, זמנו הגיע; בשל	צריך להיעשות, זמנו הגיע; בשל; צפוי
w2883	embrace	לחבק, לאמץ לקרבו	לחבק, לאמץ לקרבו; לאמץ
w2884	emerge	להגיח, להופיע	לצוץ, להגיח, להופיע
w2887	endurance	כוח סבל	סיבולת, כוח סבל
w2889	enhance	להעצים	לשפר, להעצים
w2890	enthusiast	חובב, חובב נלהב	חובב נלהב
w2892	estate	אחוזה; נכס	אחוזה; נכס; עיזבון
w2894	excessive	מופרז, יתר, מוגזם	יתר, מוגזם
w2897	exile	להגלות, לגרש	גלות, להגלות, לגרש
w2899	exploit	פעולות, מעשים; לנצל, להפיק תועלת; הישג	פעולות, מעשים; לנצל, להפיק תועלת
w2900	extensive	נרחב; מקיף	נרחב
w2902	fabric	בד; מרקם	בד
w2908	footage	קטעי וידאו, קטע צילום	קטע צילום
w2909	for the sake of	למען	למען; בשביל
w2910	forceful	תקיף, נמרץ, בעל עוצמה; עוצמתי	תקיף, נמרץ, בעל עוצמה
w2913	fraction	שבר; חלק קטן	שבר
w2914	fracture	שבר	שבר; לשבור
w2915	fragrance	ניחוח	ניחוח; בושם
w2918	furthermore	יתר על כן, זאת ועוד	זאת ועוד
w2919	genesis	ראשית, ספר בראשית; היווצרות, התהוות	ספר בראשית; היווצרות, התהוות
w2921	glance	מבט חטוף	מבט חטוף; להעיף מבט
w2922	goods	סחורה, טובין; מוצרים	סחורה, טובין
w2923	grace	חן, חסד, חינניות	חסד, חינניות
w2930	habitat	בית גידול, סביבת מגורים; סביבת מחיה	סביבת מגורים
w2938	hibernate	לחרוף, לישון שנת חורף	לישון שנת חורף
w2945	ignite	להצית; לעורר	להצית
w2951	impose	לכפות	להטיל, לכפות
w2953	impulsively	בפזיזות, ללא שיקול דעת	ללא שיקול דעת
w2957	incompetence	חוסר יכולת	חוסר כשירות, חוסר יכולת
w2961	infiltrate	להסתנן	לחדור, להסתנן
w2967	intact	שלם, ללא פגע	ללא פגע
w2970	intimidate	להפחיד; לאיים	להפחיד
w2971	irresistible	מפתה, שלא ניתן לעמוד בפניו	שלא ניתן לעמוד בפניו
w2974	janitor	אב בית, שרת	שרת
w2976	laid	מונח	להניח, מונח; להטיל
w2977	lean	להישען; רזה	להישען
w2978	lie, lay	לשכב, שכב	לשכב, שכב; להימצא
w2979	likewise	כמו-כן, באותו אופן	כמו כן, כמו-כן, באותו אופן
w2980	limb	גף, איבר; קצה	גפה, גף, איבר; קצה
w2983	magnitude	גודל, חשיבות; עוצמה	גודל, חשיבות
w2988	massacre	טבח	טבח; לטבוח
w2989	mastery	מומחיות	שליטה, מומחיות
w2990	match	גפרור; התאמה, להתאים	משחק, גפרור; התאמה, להתאים
w2994	merely	רק, לא יותר מ-; בסך הכל	רק, לא יותר מ-
w2996	merit	מעלה, ערך, הישג	ערך, הישג
w2997	mild	מתון, עדין	מתון, עדין; קל
w3000	misty	מעורפל	ערפילי, מעורפל
w3001	mock	ללעוג; מדומה	ללעוג
