k	term	A	B
w3680	divinity	אלוהות; אל	אלוהות
w3683	draw (drew)	לצייר, לשלוף, שלף; למשוך	לשלוף, שלף
w3687	elude	לחמוק, לברוח, להתחמק	לברוח, להתחמק
w3689	embark	לצאת לדרך, לפתוח ב-; לעלות על ספינה או מטוס; להתחיל	לצאת לדרך, לפתוח ב-; לעלות על ספינה או מטוס
w3691	embitter	גורם התמרמרות	למרר, גורם התמרמרות
w3692	eminent	נודע, בולט, בכיר	בולט, בכיר
w3694	enclose	לצרף; להקיף	לצרף
w3695	enclosing	לסגור, להקיף	לצרף, לסגור, להקיף
w3696	enclosure	סגירה, כיתור, שטח מגודר; נספח	סגירה, כיתור, שטח מגודר
w3701	epitomize	לגלם, לייצג, לאפיין	לייצג, לאפיין
w3705	expatriate	גולה, מי שחי מחוץ למולדתו; לגרש/להגלות מהמולדת; מהגר	גולה, מי שחי מחוץ למולדתו; לגרש/להגלות מהמולדת
w3706	expedite	לזרז; להאיץ	לזרז
w3708	exquisite	מצוין; חד, מעודן, אנין	נפלא, מצוין; חד, מעודן, אנין
w3709	extrapolate	להסיק, לאמוד על סמך מידע קיים	לאמוד על סמך מידע קיים
w3710	fabricate	לבדות	לבדות; לייצר
w3712	fad	אופנה חולפת; טרנד	אופנה חולפת
w3716	flagrant	בוטה	בוטה; משווע
w3719	fluctuation	תנודה, חוסר יציבות	חוסר יציבות
w3720	foil	לסכל	לסכל; רדיד
w3721	foremost	ראשון במעלה, בעיקר	המוביל, ראשון במעלה, בעיקר
w3723	formidable	מרשים, אדיר, מאיים	אדיר, מאיים
w3724	forsake	לזנוח	לנטוש, לזנוח
w3726	fringes	שוליים	שוליים; פוני
w3729	fume	אדים, עשן	לזעום, אדים, עשן
w3730	furnish	לרהט; לספק	לרהט
w3731	futile	חסר תוחלת, נטול סיכוי	חסר תועלת, חסר תוחלת, נטול סיכוי
w3732	gauge	מד, למדוד, להעריך, מידה	למדוד, להעריך, מידה
w3733	genial	ידידותי; לבבי	ידידותי
w3736	glaze	ציפוי, זיגוג	זיגוג
w3738	granted (that)	בהנחה ש-, נתון ש-	אמנם, בהנחה ש-, נתון ש-
w3740	grievance	תלונה רשמית, טרוניה, התמרמרות	תלונה, תלונה רשמית, טרוניה, התמרמרות
w3743	harness	לרתום; רתמה	לרתום
w3744	hearsay	שמועה	שמועה; עדות שמיעה
w3746	hegemony	הגמוניה; שליטה	הגמוניה
w3750	hinder	לעכב	לעכב; להפריע
w3754	impartially	באופן הוגן, ללא אפליה	בהגינות, באופן הוגן, ללא אפליה; באובייקטיביות
w3755	implicate	לסבך, לערב	להפליל, לסבך, לערב
w3757	inadvertently	בשוגג, בלי משים, בלי כוונה; בטעות	בלי משים, בלי כוונה
w3762	infancy	ינקות	ינקות; שלב ראשוני
w3763	infraction	עבירה; הפרה	עבירה
w3764	inhabit	לגור, לגור ב-, לשכון ב-, לאכלס	לגור ב-, לשכון ב-, לאכלס
w3767	instill	להנחיל, להחדיר, להשריש	להחדיר, להשריש
w3768	insurmountable	שאין להתגבר עליו	בלתי עביר, שאין להתגבר עליו
w3769	insurrection	מרד, התקוממות	התקוממות
w3770	interjection	הערה, הפרעה לשיחה	מילת קריאה, הערה, הפרעה לשיחה
w3771	interminable	אינסופי, נצחי; בלתי נגמר	נצחי
w3773	invertebrate	חסר-חוליות	חסר חוליות, חסר-חוליות
w3775	keep	לשמור; חלק מהמצודה; להמשיך	לשמור; חלק מהמצודה
w3776	keystone	אבן מפתח	אבן פינה, אבן מפתח
w3778	lamentable	מצער, מעציב; עגום	מצער, מעציב
w3779	lapse	מעידה, פליטת פה; פרק זמן, פקיעה, סיום	מעידה, פליטת פה; פרק זמן, פקיעה, סיום; לפקוע
w3782	leisurely	נינוח, רגוע; בנחת	נינוח, רגוע
w3783	leniency	ותרנות, מתינות, הקלה בעונש	סלחנות, ותרנות, מתינות, הקלה בעונש
w3785	lineage	ייחוס, שושלת; מוצא	ייחוס, שושלת
w3786	loathe	לתעב	לתעב; לשנוא
w3787	lucrative	ריווחי	רווחי, ריווחי; משתלם
w3790	markedly	בצורה ניכרת	משמעותית, בצורה ניכרת
w3791	marsupial	יונק כיס, חיית כיס	חיית כיס
w3793	meticulous	קפדני	קפדני; דקדקן
w3794	misconception	דעה מוטעית	תפיסה מוטעית, דעה מוטעית
w3796	momentous	גורלי, הרה גורל; מכריע	הרה גורל
w3798	myriad	אינספור, רב, הרבה	רב, הרבה
w3810	obscure	מעורפל, סתום, לא ידוע; לטשטש	סתום, לא ידוע; לטשטש
w3812	ode	שיר הלל	אודה, שיר הלל
w3813	officiate	לכהן, לערוך; לערוך טקס	לכהן, לערוך
w3816	omniscient	כל-יודע, יודע כול; מספר כל-יודע	יודע כול; מספר כל-יודע
w3821	paramount	עליון, בעל חשיבות עליונה; חשוב ביותר	בעל חשיבות עליונה
w3825	penned	כתב	כתב; לכלוא
w3826	perch	ענף; נח, ישב על ענף; מוט	ענף; נח, ישב על ענף
w3830	pervasive	מתפשט, מחלחל	נפוץ, מתפשט, מחלחל; רווח
