k	term	A	B
w3341	hasten	למהר, להחפז; להחיש; להאיץ	למהר, להחפז; להחיש
w3342	hasty	מהיר, בהול; פזיז	מהיר, בהול
w3343	haul	לגרור	לגרור; שלל
w3347	humility	ענווה, ענוה	ענוה
w3352	illuminate	להאיר; להבהיר	להאיר
w3354	impair	לפגוע, לפגום, להחליש	לפגום, להחליש
w3355	impartial	אוביקטיבי, ללא צד	חסר פניות, אוביקטיבי, ללא צד; אובייקטיבי
w3356	in due time	בבוא העת	בבוא הזמן, בבוא העת
w3357	in order	כדי, תקין, מסודר	תקין, מסודר
w3360	incorporate	לכלול, לשתף, לאגד; להתאגד	לכלול, לשתף, לאגד
w3363	induce	לגרום, לייצר	לגרום, לייצר; לשכנע
w3365	inferred	להסיק, נגזר, משתמע	נגזר, משתמע
w3368	inhibit	לעכב, לרסן; למנוע	לרסן
w3370	inquiry	בירור, חקירה	חקירה
w3371	insulate	לבודד	לבודד; להגן
w3377	intrusive	פולשני	פולשני; חודרני
w3381	landmark	ציון דרך, אבן דרך	אבן דרך
w3383	launder	לכבס	לכבס; להלבין
w3389	literate	יודע קרוא וכתוב; בקיא, בעל אוריינות	יודע קרוא וכתוב; בקיא, בעל אוריינות; משכיל
w3390	litter	אשפה, פסולת; ללכלך בפסולת; לזרוע, לפזר	זבל, אשפה, פסולת; ללכלך בפסולת; לזרוע, לפזר; המלטה
w3391	lodge	בקתה, להתאכסן, אכסנייה	להתאכסן, אכסנייה
w3392	loosely	באופן רפוי	באופן רופף, באופן רפוי; בערך
w3393	lumber	עץ בניין, עצי בניין, קרשים, עצה מנוסרת	עצי בניין, קרשים, עצה מנוסרת
w3395	malformation	מום, עיוות, פגם	עיוות, פגם
w3398	mere	רק, לא יותר מ-; בלבד	רק, לא יותר מ-
w3399	mischief	נזק, מעשה קונדס	שובבות, נזק, מעשה קונדס; תעלול
w3400	mobilize	לגייס, לנייד, להניע	לנייד, להניע
w3401	mold	לעצב; עובש	לעצב; עובש; תבנית
w3407	negate	לשלול; לבטל	לשלול
w3409	nonetheless	עם זאת, למרות זאת; בכל זאת	למרות זאת
w3412	noted	לציין, ידוע, מפורסם	ידוע, מפורסם
w3413	nurture	לטפח, להזין, לחנך	לטפח, להזין, לחנך; חינוך
w3414	nutrient	רכיב תזונתי, חומר מזין	חומר מזין
w3415	oblige	לחייב, להכריח	לחייב, להכריח; לעשות טובה
w3417	offset	לקזז	לקזז; קיזוז
w3418	ordinarily	בדרך-כלל	בדרך כלל, בדרך-כלל
w3419	orient	לכוון, להתמצא	להתמצא
w3420	originate	התחיל, התהווה	לנבוע, התחיל, התהווה
w3428	perceive	לתפוס, להבחין, לראות	להבחין, לראות
w3435	portray	לתאר, לצייר; לגלם	לתאר, לצייר
w3437	posture	יציבה, תנוחה; עמדה	יציבה, תנוחה
w3438	potent	חזק, בעל כוח השפעה	חזק, בעל כוח השפעה; עוצמתי
w3441	poverty-stricken	עני, מוכה עוני	מוכה עוני
w3446	prescribe	לרשום מרשם	לרשום, לרשום מרשם; להורות
w3448	presently	כעת; בקרוב	כעת
w3450	probation	תקופת מבחן	תקופת ניסיון, תקופת מבחן
w3451	proclaim	להכריז בפומבי	להכריז, להכריז בפומבי
w3455	prospective	צפוי, עתידי	פוטנציאלי, צפוי, עתידי
w3456	prosperity	צמיחה, שגשוג	צמיחה, שגשוג; שפע
w3461	pursuit	מרדף; שאיפה	מרדף
w3464	rationalize	להצדיק, להסביר	להצדיק, להסביר; לייעל
w3465	readily	ללא קושי	בקלות, ללא קושי; ברצון
w3468	recession	מיתון; נסיגה	מיתון
w3469	recipient	נמען	מקבל, נמען
w3472	refuge	מקלט, מחסה; מפלט	מקלט, מחסה
w3473	reign	שלטון; למלוך	שלטון
w3476	reluctant	מסויג, לא מעוניין	מהסס, מסויג, לא מעוניין
w3480	riddle	חידה; לנקב	חידה
w3481	ridicule	ללעוג	ללעוג; לעג
w3482	rigid	נוקשה, מחמיר; קשיח	נוקשה, מחמיר
w3483	robust	איתן, חזק ובריא	חזק, איתן, חזק ובריא
w3485	sake	למען, תועלת, עניין	תועלת, עניין
w3486	sanctuary	מקדש; מקלט; שמורה	מקדש; מקלט
w3488	saw	מסור	לראות, מסור
w3492	sedative	סם הרגעה, משכך	תרופת הרגעה, סם הרגעה, משכך
w3493	seek, sought	לחפש, חיפש; לבקש	לחפש, חיפש
w3495	seismic	ססמי (קשור לרעידות אדמה)	סייסמי, ססמי (קשור לרעידות אדמה)
w3496	seizure	התקף; תפיסה	התקף
w3501	skyrocket	לזנק, להאמיר	להאמיר
w3504	span	להימתח, להקיף; מרווח	טווח, להימתח, להקיף; מרווח; להשתרע
