k	term	A	B
w0937	fool	טיפש, לשטות במישהו; לרמות	טיפש, לשטות במישהו
w0938	for instance	לדוגמה; למשל	לדוגמה
w0941	form	צורה; ליצור, להקים	צורה; ליצור, להקים; טופס
w0944	function	תפקוד, לתפקד	תפקיד, תפקוד, לתפקד
w0952	guide	להדריך	מדריך, להדריך
w0954	hall	מסדרון; היכל	אולם, מסדרון; היכל
w0955	harm	לפגוע, להזיק	לפגוע, להזיק; נזק
w0958	highway	כביש ראשי	כביש מהיר, כביש ראשי
w0960	honest	הגון	כן, הגון; ישר
w0963	however	למרות זאת; בכל דרך; אולם, עם זאת	למרות זאת; בכל דרך
w0970	image	דמות, תמונה; דימוי	דמות, תמונה
w0975	in general	באופן כללי	בדרך כלל, באופן כללי
w0977	incredible	מדהים; לא ייאמן	מדהים
w0979	individual	יחיד, אינדיבידואל	יחיד, אינדיבידואל; אישי
w0983	instant	מיידי; בהרף עין	מיידי; בהרף עין; רגע
w0988	introduce	להציג, לעשות היכרות	להציג, לעשות היכרות; להכניס
w0998	lawyer	עורך-דין	עורך דין, עורך-דין
w0999	lecture	הרצאה; להרצות	הרצאה
w1000	led to	הוביל ל-; לגרום ל	הוביל ל-
w1002	limit	גבול, לשים גבול, מוגבל	גבול, לשים גבול, מוגבל; להגביל
w1004	lower	להוריד, להנמיך; נמוך	להנמיך
w1006	management	ניהול; הנהלה	ניהול
w1007	mark	לסמן; כתם	לסמן
w1008	marriage	נישואין	נישואים, נישואין
w1009	material	חומר, חומרני	חומר, חומרני; בד
w1011	mention	להזכיר, לאזכר	להזכיר, לאזכר; אזכור
w1012	method	שיטה; דרך	שיטה
w1014	mirror	מראה; לשקף	מראה
w1015	monitor	להשגיח, מוניטור	מסך, להשגיח, מוניטור; לנטר
w1016	mostly	לרוב	בעיקר, לרוב
w1018	mystery	תעלומה	תעלומה; מסתורין
w1019	nation	אומה	אומה; עם
w1020	nearby	בקרבת מקום, ליד, קרוב	ליד, קרוב
w1021	necessary	הכרחי	הכרחי; נחוץ
w1024	no longer	לא עוד	כבר לא, לא עוד
w1027	notice	לשים לב; התראה; הודעה	לשים לב; התראה
w1029	obviously	כמובן, ברור	ברור
w1031	opposite	מנוגד, ממול	הפוך, מנוגד, ממול
w1034	passion	תשוקה	תשוקה; להט
w1037	patients	מטופלים; חולה	מטופלים
w1039	per	לכל	לפי, לכל
w1043	permission	רשות, היתר	רשות, היתר; אישור
w1046	pipe	צינור	צינור; מקטרת
w1049	pleasure	הנאה, תענוג, לענג	תענוג, לענג
w1051	position	עמדה, מיקום, למקם; תנוחה; תפקיד, משרה	מיקום, למקם; תנוחה; תפקיד, משרה
w1055	pregnant	בהריון, הרה (בהריון)	הרה (בהריון)
w1060	prison	כלא; בית סוהר	כלא
w1063	product	מוצר	מוצר; תוצר
w1064	profit	רווח; להרוויח	רווח
w1068	protest	מחאה, למחות, הפגנה	למחות, הפגנה
w1069	public	ציבורי	ציבורי; ציבור
w1075	rage	זעם	זעם; לזעום
w1076	raise	להעלות	להרים, להעלות
w1079	realize	להבין, הבין; להגשים	הבין
w1080	recent	שארע לאחרונה	אחרון, שארע לאחרונה
w1082	recognize	לזהות	לזהות; להכיר
w1084	register	להירשם	להירשם; לרשום
w1085	release	לשחרר	לשחרר; שחרור
w1088	remote	מרוחק; שלט	מרוחק
w1089	repair	לתקן	לתקן; תיקון
w1091	reporter	עיתונאי	כתב, עיתונאי
w1094	rescue	להציל	להציל; הצלה
w1095	research	מחקר; לחקור	מחקר
w1099	rise	עליה, לעלות; עלייה	עליה, לעלות
w1101	safety	בטיחות; ביטחון	בטיחות
w1102	salary	שכר	משכורת, שכר
w1104	scare	פחד, להפחיד; בהלה	פחד, להפחיד
w1105	schedule	לוח זמנים; לתזמן	לוח זמנים
w1107	script	תסריט	תסריט; כתב
w1109	section	יחידה, חלק; סעיף	יחידה, חלק
