k	term	A	B
w2216	migrate	לנדוד, להגר	להגר
w2219	modernize	לחדש, להפוך למודרני	להפוך למודרני
w2222	monumental	גדול, אדיר	גדול, אדיר; כביר
w2226	nationality	לאום	לאום; אזרחות
w2231	novel	רומן, סיפור; חדש; חדשני	רומן, סיפור; חדש
w2234	occur	קרה, התרחש	להתרחש, קרה, התרחש; לקרות
w2236	odd	מוזר; אי זוגי; אי-זוגי	מוזר; אי זוגי
w2239	once in a while	מדי פעם, מידי פעם; לפעמים	מידי פעם
w2242	orchestrate	לתאם, לתזמר; לארגן	לתאם, לתזמר
w2243	ordinary	רגיל; פשוט	רגיל
w2245	orientation	התמצאות; כיוון	התמצאות
w2252	passive	סביל	פסיבי, סביל
w2258	pit	בור	בור; גלעין
w2259	plague	מגפה; להטריד	מגפה
w2265	praise	לשבח	לשבח; שבח
w2267	preferable	עדיף	עדיף; מועדף
w2271	prior	קודם	קודם; לפני
w2275	progressive	מתקדם ומתמשך	מתקדם, מתקדם ומתמשך; פרוגרסיבי
w2280	radically	באופן קיצוני	באופן קיצוני; מהיסוד
w2282	recall	להיזכר; להחזיר, להשיב צלצול	לזכור, להיזכר; להחזיר, להשיב צלצול
w2283	refund	החזר	החזר; להחזיר
w2289	reservation	שמורה; שריון מקום	הזמנה, שמורה; שריון מקום; הסתייגות
w2292	result in	לגרום ל, הסתיים ב-; להוביל ל	הסתיים ב-
w2294	retreat	לסגת, נסיגה; מפלט	לסגת, נסיגה
w2295	revolutionary	מהפכני	מהפכני; מהפכן
w2296	rubbish	זבל; שטויות	זבל; שטויות; אשפה
w2299	scale	קנה מידה, מאזניים; לעלות, לטפס; סולם, סקלה	מאזניים; לעלות, לטפס; סולם, סקלה
w2303	severe	חמור	חמור; קשה
w2311	snap	להישבר; במהירות (סלנג)	להישבר; במהירות (סלנג); לצלם
w2312	sober	פיכח; רציני	פיכח
w2317	spectacular	מדהים	מרהיב, מדהים
w2318	spontaneously	ספונטנית, ללא תכנון	ללא תכנון
w2319	spring	מעיין; אביב; קפיץ	מעיין; אביב
w2322	steam	אד, לאדות	קיטור, אד, לאדות; אדים
w2324	strike	להכות, הכה, התקיף; שביתה	הכה, התקיף; שביתה
w2325	stun	להמם	להמם; לזעזע
w2326	subjective	סובייקטיבי, אישי, משוחד בדעתו	אישי, משוחד בדעתו
w2328	superior	עדיף, עליון; ממונה	עליון
w2330	suspense	השהיה, מתח; דריכות	השהיה, מתח
w2331	sweep	לטאטא	לטאטא; לגרוף
w2332	temple	מקדש; רקה	מקדש
w2333	tend	נוטה; לטפל	נוטה
w2335	terminate	לסיים, לחסל; להפסיק	לסיים, לחסל
w2336	throughout	במשך, בכל; בכל רחבי	במשך, בכל
w2337	thus	לכן, כך ש-; לפיכך	לכן, כך ש-
w2338	to begin with	ראשית, בתור התחלה	בתור התחלה
w2339	trace	סימן, עקבה; לעקוב, למצוא; לאתר	סימן, עקבה; לעקוב, למצוא
w2341	trial	נסיון; משפט	נסיון; משפט; ניסוי
w2344	unattractive	לא מושך; לא אטרקטיבי	לא מושך
w2345	unconscious	מחוסר הכרה	מחוסר הכרה; לא מודע
w2346	uncountable	אינספור; בלתי ספיר	אינספור
w2350	unfamiliar	לא מוכר	לא מוכר; זר
w2357	unwilling	לא מוכן, ממאן	לא מוכן, ממאן; לא מעוניין
w2361	vertical	מאונך	אנכי, מאונך
w2363	visualize	לדמיין	לדמיין; להמחיש
w2368	withdraw	לסגת, לפרוש; למשוך	לסגת, לפרוש
w2377	adore	להעריץ, העריץ, אהב; לאהוב מאוד	העריץ, אהב
w2381	agony	ייסורים	ייסורים; סבל
w2382	align	ליישר; להסתדר בשורה; להתאים	ליישר; להסתדר בשורה
w2385	amusement	שעשוע; בידור	שעשוע
w2386	anchor	עוגן; קריין	עוגן
w2390	applicant	מועמד; מבקש	מועמד
w2391	artifact	חפץ מעשה ידי אדם, מוצג ארכיאולוגי	חפץ מעשה ידי אדם, מוצג ארכיאולוגי; ממצא
w2394	asset	נכס	נכס; יתרון
w2396	authorize	להרשות, להסמיך; לאשר	להרשות, להסמיך
w2400	bandage	תחבושת	תחבושת; לחבוש
w2408	certify	להצהיר, לאשר; להסמיך	להצהיר, לאשר
w2409	circuit	מעגל, מסלול, להקיף; מעגל חשמלי	מסלול, להקיף; מעגל חשמלי
w2413	coastline	קו חוף, קו/רצועת חוף	קו/רצועת חוף
w2421	compensate	לפצות	לפצות; לקזז
