k	term	A	B
w2653	puzzled	מבולבל	מבולבל; תמה
w2654	quake	לרעוד, רעד; רעידת אדמה	רעד
w2655	qualify	להיות מוסמך	להעפיל, להיות מוסמך
w2660	reconstruct	לשחזר; לבנות מחדש	לשחזר
w2662	recruit	לגייס	לגייס; טירון
w2664	refer	מתייחס	להתייחס, מתייחס; להפנות
w2666	reflection	השתקפות	השתקפות; הרהור
w2668	regain	להשיב, להשיג מחדש	להשיג מחדש
w2669	regardless	למרות, ללא קשר	בכל זאת, למרות, ללא קשר
w2671	regulation	תקנה	תקנה; רגולציה
w2674	relating	מתייחס	להתייחס, מתייחס; לספר
w2676	relocate	למקם מחדש	לעבור, למקם מחדש; להעביר
w2680	reside	להתגורר, לשכון	להתגורר, לשכון; לגור
w2681	resigned	התפטר; משלים	התפטר
w2684	resume	להמשיך; קורות חיים	להמשיך
w2685	revert	לחזור למצב קודם	לחזור, לחזור למצב קודם
w2688	revived	קם לתחייה, התחדש	להחיות, קם לתחייה, התחדש
w2689	revolt	מרד	מרד; למרוד
w2690	rhyme	חרוז; לחרוז	חרוז
w2692	robe	חלוק	חלוק; גלימה
w2698	sensation	תחושה	תחושה; סנסציה
w2700	shuttle	מעבורת	הסעה, מעבורת
w2705	simultaneously	בו-זמנית, בו זמנית; במקביל	בו זמנית
w2707	slaughter	לטבוח, לשחוט, טבח	לטבוח, לשחוט, טבח; שחיטה
w2709	sneeze	להתעטש	להתעטש; עיטוש
w2710	spark	גיץ, ניצוץ	גיץ, ניצוץ; להצית
w2711	specify	לציין, לפרט	לפרט
w2714	stain	כתם; להכתים	כתם
w2715	stalk	גבעול, קנה; לעקוב/לארוב אחרי, להטריד	לעקוב אחרי, גבעול, קנה; לעקוב/לארוב אחרי, להטריד
w2717	stunned	נדהם, היה המום	המום, נדהם, היה המום
w2718	substitute	תחליף	תחליף; להחליף
w2719	suburb	פרבר	פרוור, פרבר
w2722	summits	פסגות	פסגות; ועידת פסגה
w2724	supervise	לפקח; להשגיח	לפקח
w2728	suspend	להשעות; לתלות, להשהות	להשעות
w2734	tilt	להטות, שיפוע	להטות, שיפוע; הטיה
w2735	tolerance	סובלנות	סובלנות; סבילות
w2737	transmit	לשדר; להעביר	לשדר
w2739	trim	לגזום	לגזום; לקצץ
w2740	triumph	ניצחון	ניצחון; לנצח
w2742	tutor	מורה פרטי, להדריך	מורה פרטי, להדריך; ללמד
w2744	unconcerned	אדיש, לא מודאג	לא מודאג
w2745	unconventional	לא שיגרתי	לא שגרתי, לא שיגרתי
w2748	unholy	לא קדוש, לא מוסרי; נורא	לא קדוש, לא מוסרי
w2751	utilize	להשתמש ב, השתמש; לנצל	השתמש
w2752	validate	אימת, נתן תוקף	לאמת, אימת, נתן תוקף; לאשר
w2755	vary	להשתנות, משתנה	משתנה
w2757	vest	אפודה	אפודה; גופייה
w2759	voyage	מסע	מסע; הפלגה
w2760	wander	להסתובב, לשוטט	להסתובב, לשוטט; לתעות
w2761	whether... or...	בין אם... או...	בין אם... ובין אם..., בין אם... או...
w2762	widely	בהרחבה, בצורה נרחבת	בצורה נרחבת
w2774	adjust	להתאים, להתרגל; לכוונן	להתרגל; לכוונן
w2775	admirable	נערץ, ראוי להערצה	מעורר הערצה, נערץ, ראוי להערצה
w2776	advancement	התקדמות; מקדמה	קידום, התקדמות; מקדמה
w2781	airborne	נישא באוויר; באוויר	נישא באוויר
w2784	alternate	חלופי; התחלף, עבר מדבר אחד לשני וחזרה	להתחלף, חלופי; התחלף, עבר מדבר אחד לשני וחזרה
w2790	applaud	למחוא כפיים, מחא כפיים, הריע; להריע	מחא כפיים, הריע
w2791	appreciation	הערכה; תודה	הערכה
w2793	arise	להופיע, לעלות; להתעורר	להופיע, לעלות
w2794	arousing	מעורר	מעורר; מגרה
w2802	beneficial	מועיל, רווחי; מיטיב	מועיל, רווחי
w2807	briefly	בקצרה	בקצרה; לזמן קצר
w2810	cater	לספק קייטרינג, לספק	לספק
w2815	certainty	ודאות, וודאות	וודאות
w2817	characteristic	מאפיין; אופייני	מאפיין
w2818	civil	אדיב; אזרחי; מנומס	אדיב; אזרחי
w2820	coffin	ארון מתים	ארון קבורה, ארון מתים
w2822	cologne	אודקולון, קולון, בושם (של גבר)	קולון, בושם (של גבר)
w2823	colossal	עצום; ענק	עצום
