k	term	A	B
w3506	splendid	נהדר, מהולל	נהדר, מהולל; מפואר
w3508	standardize	לתקנן; להאחיד	לתקנן
w3511	strain	מתח נפשי; להתאמץ, למתוח, לנקוע	מתח, מתח נפשי; להתאמץ, למתוח, לנקוע
w3514	stroke	ליטוף; מכה; שבץ/אירוע מוחי	שבץ, ליטוף; מכה; שבץ/אירוע מוחי
w3517	subsequent	עוקב	עוקב; מאוחר יותר
w3520	successor	יורש; מחליף	יורש
w3521	surpass	להצטיין, לעלות על; לעקוף	להצטיין, לעלות על
w3523	sympathetic	אוהד	אוהד; מבין
w3527	timber	עץ	עץ; קורה
w3528	timid	ביישן; פחדן	ביישן
w3529	tremendous	עצום; אדיר	עצום
w3533	undertake	לקחת על עצמך	לקחת על עצמך; להתחייב
w3534	unearth	לחשוף, לחפור; לגלות	לחשוף, לחפור
w3535	unfold	להתפתח, נפרש, נפתח, התגלה; לפתוח קיפול; לפרוש	נפרש, נפתח, התגלה; לפתוח קיפול
w3540	vain	לשווא; שחצן; חסר תוחלת	לשווא; שחצן
w3543	vessel	כלי, כלי שיט	כלי שיט
w3545	virtue	מידה טובה, מעלה	מעלה
w3546	vivid	חד, בהיר, ססגוני, חי, מוחשי	חד, בהיר, ססגוני, חי, מוחשי; עז
w3548	ward	מחלקה; אגף	מחלקה
w3551	wholesale	סיטונאות	סיטונאי, סיטונאות; גורף
w3554	wind	למתוח; רוח; ללפף	למתוח; רוח
w3555	wound	מתוח, נמתח; פצע	מתוח, נמתח; פצע; לפצוע
w3559	abide	לציית; לסבול	לציית
w3561	abstain	להתנזר, להימנע ממשהו	להימנע, להתנזר, להימנע ממשהו
w3562	acclaim	שבח, להריע, לשבח	להריע, לשבח
w3563	accomplices	שותף לפשע, שותף לדבר עבירה	שותף לדבר עבירה
w3564	accomplished	מומחה, מעולה	מומחה, מעולה; מיומן
w3568	adverse	שלילי; מזיק	שלילי
w3570	affluence	שפע	עושר, שפע
w3571	affluent	שופע, עשיר	אמיד, שופע, עשיר
w3572	agitate	להסעיר, לזעזע, לעצבן; לנער	להסעיר, לזעזע, לעצבן
w3574	albeit	אף על פי ש, אם כי	אף על פי ש, אם כי; למרות ש
w3582	appease	לפייס; להרגיע	לפייס
w3584	arable	מתאים לעיבוד	ראוי לעיבוד, מתאים לעיבוד
w3585	articulate	לבטא, להביע; רהוט	להביע; רהוט
w3586	ascertain	לוודא	לוודא; לברר
w3592	attire	לבוש; תלבושת	לבוש
w3597	bland	תפל; משעמם	תפל
w3598	bleak	קודר, עגום	עגום
w3599	bolster	לתמוך	לחזק, לתמוך
w3601	candid	כנה, ישיר	כנה, ישיר; גלוי לב
w3602	canvass	לבדוק, לסקור	לגייס תמיכה, לבדוק, לסקור
w3603	capitalize	לנצל; לכתוב ברישיות	לנצל
w3604	caste	קאסטה, מעמד חברתי	מעמד חברתי
w3606	coincide	להקביל, לחפוף; להתאים	להקביל, לחפוף
w3609	commends	לשבח, לציין לשבח; להמליץ	לציין לשבח
w3611	comprise	לכלול	לכלול; להיות מורכב
w3612	compulsory	חובה, מהווה חובה	מהווה חובה
w3615	concerted	משותף, מתואם	מתואם
w3616	concise	תמציתי, תכליתי	תמציתי, תכליתי; קצר
w3619	condone	לסלוח, למחול	להשלים עם, לסלוח, למחול
w3620	confer	להתייעץ, לדון; להעניק (תואר, כבוד); להעניק	להתייעץ, לדון; להעניק (תואר, כבוד)
w3621	confide	לשתף, לספר (סוד)	לשתף בסוד, לשתף, לספר (סוד)
w3623	conform	להתאים, להסתגל	להתאים, להסתגל; לציית
w3627	conjecture	סברה, לשער	השערה, סברה, לשער
w3630	constituent	מרכיב; בוחר	רכיב, מרכיב; בוחר
w3632	convene	לכנס	להתכנס, לכנס
w3636	croak	קרקור	לקרקר, קרקור
w3637	culminate	להגיע לשיא, הגיע לשיא	הגיע לשיא
w3638	dampen	לדכא	להרטיב, לדכא; להחליש
w3639	dandy	גנדרני	גנדרן, גנדרני; מצוין
w3641	deem	לראות כ-, לחשוב ל-	להחשיב, לראות כ-, לחשוב ל-
w3643	deliberation	דיון	שיקול דעת, דיון
w3656	desolate	הרוס; שומם, נטוש	הרוס; שומם, נטוש; עגום
w3665	diminish	לפחות, לצמצם	לצמצם
w3666	disarmament	פירוק נשק, פירוק מנשק	פירוק מנשק
w3668	discrepancy	סתירה, פער	סתירה, פער; אי התאמה
w3669	disdain	זלזול, בוז	זלזול, בוז; לבוז
w3673	disparagement	זלזול; השמצה	זלזול
w3679	diverge	לסטות	להתפצל, לסטות
