k	term	A	B
w1315	examine	לבחון	לבחון; לבדוק
w1317	exclusive	בלעדי	בלעדי; יוקרתי
w1320	explosive	חומר נפץ	נפיץ, חומר נפץ
w1321	export	ייצוא	לייצא, ייצוא
w1332	fiction	בדיון, לא אמיתי; ספרות בדיונית	בדיון, לא אמיתי
w1333	filmmaker	יוצר סרטים	יוצר קולנוע, יוצר סרטים
w1337	folklore	פולקלור; מסורת עממית	פולקלור
w1338	fork	מזלג; הסתעפות	מזלג
w1339	formal	רשמי; פורמלי	רשמי
w1341	from time to time	מדי פעם, מפעם לפעם	מפעם לפעם
w1343	fundamental	בסיסי (פונדמנטלי)	בסיסי (פונדמנטלי); יסודי
w1345	generally	באופן כללי	בדרך כלל, באופן כללי
w1347	generated	לייצר, יצר	יצר
w1352	grand	מפואר, גדול, כולל, מרשים	גדול, כולל, מרשים
w1354	handle	לטפל, להתמודד; ידית	להתמודד
w1355	heartbeat	פעימת לב, דופק, פעימות לב	דופק, פעימות לב
w1358	hold back	לעכב, למנוע	להתאפק, לעכב, למנוע
w1361	hybrid	כלאיים, היברידי	כלאיים, היברידי; הכלאה
w1365	improve	לשפר	לשפר; להשתפר
w1367	in particular	במיוחד	בפרט, במיוחד
w1368	incident	תקרית; אירוע	תקרית
w1369	indeed	בהחלט	אכן, בהחלט
w1375	instrument	כלי; כלי נגינה	כלי
w1379	irregular	לא סדיר, לא רגיל	לא רגיל
w1380	issue	נושא, עניין, סוגיה; להוציא לאור, להפיץ; גיליון	נושא, עניין, סוגיה; להוציא לאור, להפיץ; גיליון; בעיה
w1381	label	תגית; לתייג	תווית, תגית; לתייג
w1384	lead, led	להוביל, הוביל	להוביל, הוביל; להנהיג
w1387	legend	אגדה; מקרא מפה; מקרא	אגדה; מקרא מפה
w1389	likely	סביר; קרוב לוודאי	סביר
w1390	load	להעמיס	מטען, להעמיס; לטעון
w1391	logic	הגיון; לוגיקה	הגיון
w1393	major	סולם מז'ור (במוזיקה); מסלול לימודים; ראשי, עיקרי	סולם מז'ור (במוזיקה); מסלול לימודים; ראשי, עיקרי; התמחות
w1394	march	לצעוד	לצעוד; צעדה
w1402	minister	שר (בממשלה); כומר	שר (בממשלה)
w1408	motivate	לדרבן	להניע, לדרבן
w1411	narrow	צר; לצמצם	צר
w1417	nut	אגוז	אגוז; מטורף
w1418	object	פריט, אובייקט; להתנגד	חפץ, פריט, אובייקט; להתנגד
w1427	painter	צייר; צבע	צייר
w1434	prank	מתיחה	מתיחה; למתוח
w1437	preparation for	הכנה, הכנות לקראת	הכנות לקראת
w1440	previously	בעבר, הקודם, לפני-כן; קודם לכן	הקודם, לפני-כן
w1441	priest	כומר; כהן	כומר
w1442	prime	ראשוני, עיקרי, מובחר; מעולה	ראשוני, עיקרי, מובחר
w1443	primitive	קדום, חסר תרבות	פרימיטיבי, קדום, חסר תרבות
w1445	proper	מתאים, הולם; נכון	מתאים, הולם
w1446	properly	כראוי; כהלכה	כראוי
w1447	prove	להוכיח	להוכיח; להתברר
w1450	purchase	לקנות, לרכוש	לקנות, לרכוש; רכישה
w1451	quite	למדי	די, למדי; לגמרי
w1453	race	מירוץ, מרוץ; גזע	מרוץ; גזע
w1454	raid	פשיטה; לפשוט על	פשיטה
w1455	rainfall	משקעים, ירידת גשמים	ירידת גשמים
w1456	rainstorm	סערת גשמים	סופת גשמים, סערת גשמים
w1457	randomly	באקראי, באקראיות	באקראיות
w1458	range	טווח; רכס; מטווח; לנוע	טווח; רכס; מטווח
w1459	rank	דרגה	דרגה; לדרג
w1462	rational	הגיוני, רציונאלי	רציונלי, הגיוני, רציונאלי
w1465	rebel	מורד; למרוד	מורד
w1469	recycling	מיחזור, מחזור	מחזור
w1471	reduce	להפחית	להפחית; לצמצם
w1472	reform	שינוי, רפורמה	שינוי, רפורמה; לתקן
w1473	regret	להצטער, להתחרט, חרטה	להתחרט, חרטה
w1474	regularly	בקביעות, באופן קבוע	באופן קבוע
w1475	relations	יחסים	יחסים; קשרים
w1477	replacement	תחליף, מחליף	מחליף
w1478	replica	העתק, העתק מדויק; דגם	העתק מדויק
w1479	reply	להשיב	להשיב; תשובה
w1485	ruin	להרוס; חורבה	להרוס
w1491	segment	קטע, מקטע; פלח	קטע, מקטע
