k	term	A	B
w0494	dictator	עריץ, דיקטטור	רודן, עריץ, דיקטטור
w0497	direction	כיוון; הכוונה	כיוון
w0502	drastic	דרסטי; קיצוני	דרסטי
w0504	earlier	קודם לכן	מוקדם, קודם לכן
w0506	echo	הד; להדהד	הד
w0507	ecological	אקולוגי; סביבתי	אקולוגי
w0515	enter	להיכנס, נכנס	נכנס
w0516	episode	פרק; אירוע	פרק
w0517	error	שגיאה	שגיאה; טעות
w0523	excellent	מצוין; נהדר	מצוין
w0536	filter	פילטר, מסנן	פילטר, מסנן; לסנן
w0538	flow	זרם	לזרום, זרם; זרימה
w0539	flower	פרח	פרח; לפרוח
w0541	for	בשביל, מפני ש-; עבור	מפני ש-; עבור
w0546	freeze, froze	לקפוא, להקפיא, הקפיא	להקפיא, הקפיא
w0547	friendly	ידידותי	ידידותי; חברותי
w0549	front	חזית, להתעמת; קדמי	חזית, להתעמת
w0550	garden	גינה, גן	גן
w0555	giant	ענק; ענקי	ענק
w0557	global	עולמי, גלובאלי	עולמי, גלובאלי; גלובלי
w0558	goal	מטרה; שער	מטרה
w0559	golden	זהוב, מוזהב	מוזהב
w0564	gym	אולם ספורט	חדר כושר, אולם ספורט
w0567	hid from	התחבא מ-	להסתתר מ, התחבא מ-
w0570	horror	אימה; זוועה	אימה
w0572	in case	למקרה ש-, שמא; אם במקרה	למקרה ש, למקרה ש-, שמא; אם במקרה
w0574	in that case	אם כך, במקרה הזה	במקרה הזה
w0578	intellectual	אינטלקטואלי	אינטלקטואלי; אינטלקטואל
w0581	intuition	אינטואיציה	אינטואיציה; תחושת בטן
w0593	last	אחרון; המשיך, החזיק מעמד; להימשך	אחרון; המשיך, החזיק מעמד
w0594	leader	מנהיג	מנהיג; מוביל
w0598	library	ספרייה, ספריה	ספריה
w0602	losing	לאבד, מפסיד, מאבד	מפסיד, מאבד
w0605	mail	דואר	דואר; לשלוח
w0606	main	עיקרי	עיקרי; ראשי
w0607	makeup	איפור; הרכב	איפור
w0611	market	שוק; לשווק	שוק
w0614	mental	נפשי	נפשי; שכלי
w0615	mentor	חונך, מדריך רוחני	מדריך רוחני
w0618	mission	משימה; שליחות	משימה
w0625	nature	טבע; מהות	טבע
w0629	network	רשת; ליצור קשרים	רשת
w0635	obsession	אובססיה, דיבוק	אובססיה, דיבוק; שיגעון
w0636	of course... but...	כמובן... אבל..., כמובן... אך...	כמובן... אך...
w0637	official	רשמי, מאושר	רשמי, מאושר; פקיד
w0639	on top of	על, מעל	על, מעל; בנוסף ל
w0645	original	מקורי; מקור	מקורי
w0647	package	חפיסה, חבילה; לארוז	חפיסה, חבילה
w0649	panic	פאניקה, בהלה	פאניקה, בהלה; להיבהל
w0652	path	שביל, דרך, נתיב	דרך, נתיב
w0656	pet	חיית מחמד	חיית מחמד; ללטף
w0663	pilot	טייס; ניסיוני	טייס
w0664	potential	פוטנציאל, אפשרי, פוטנציאלי	אפשרי, פוטנציאלי
w0665	powerful	חזק, רב כוח; רב עוצמה	רב כוח
w0666	prehistoric	קדמון, פרה-היסטורי	פרהיסטורי, קדמון, פרה-היסטורי
w0667	prepare	התכונן	להכין, התכונן; להתכונן
w0668	presentation	מצגת; הצגה	מצגת
w0670	professional	מקצועי; מקצוען	מקצועי
w0671	program	תוכנית, תכנית; תכניה; לתכנת	תכנית; תכניה; לתכנת
w0672	puzzle	חידה, פאזל	חידה, פאזל; לבלבל
w0673	quality	איכות; תכונה	איכות
w0677	rat	עכברוש; מלשין	עכברוש
w0684	respond	להגיב, תגובה, תשובה; לענות	להגיב, תגובה, תשובה
w0687	result	תוצאה; לנבוע	תוצאה
w0689	ring, rang	לצלצל, צלצל	טבעת, לצלצל, צלצל
w0692	rocket	טיל	רקטה, טיל
w0702	seem	נראה כ-, דומה ל-	להיראות, נראה כ-, דומה ל-
w0708	sharp	חד	חד; חריף
w0710	shoulder	כתף	כתף; לשאת
w0713	size	גודל; מידה	גודל
