k	term	A	B
w0005	about	ליד, בערך; אודות	על, ליד, בערך; אודות
w0006	absolutely	לחלוטין	לחלוטין; בהחלט
w0009	against	נגד, כנגד, ממול	כנגד, ממול
w0012	alone	לבד	לבד; בודד
w0015	and	ו-	ו, ו-
w0019	answer	תשובה	תשובה; לענות
w0020	area	אזור, תחום	אזור, תחום; שטח
w0025	ask	לשאול	לשאול; לבקש
w0026	at	אצל, ב-	ב, אצל, ב-
w0029	attack	לתקוף, מתקפה	התקפה, לתקוף, מתקפה
w0034	behind	מאחורי; ישבן; באיחור	מאחורי; ישבן
w0036	better	טוב יותר	טוב יותר; לשפר
w0044	break	לשבור; הפסקה	לשבור
w0046	burn	לשרוף, להישרף	לשרוף, להישרף; לבעור
w0049	call	לקרוא, להתקשר	לקרוא, להתקשר; שיחה
w0053	chance	סיכוי; הזדמנות	סיכוי
w0061	code	קוד; לתכנת	קוד
w0062	cold	קר, התקררות	קר, התקררות; הצטננות
w0065	contact	קשר, ליצור קשר, מגע	ליצור קשר, מגע
w0068	cool	קריר, לצנן, צונן; מגניב	לצנן, צונן
w0070	dance	לרקוד	לרקוד; ריקוד
w0081	different from	שונה מ-	שונה מ, שונה מ-
w0084	done	גמור, עשוי	גמור, עשוי; מוכן
w0091	energy	אנרגיה, כוח	אנרגיה, כוח; מרץ
w0096	every day	כל יום; מדי יום	כל יום
w0099	experience	ניסיון, לחוות	ניסיון, לחוות; חוויה
w0108	feel	להרגיש	להרגיש; תחושה
w0109	feeling	הרגשה; רגש	הרגשה
w0111	fight, fought	להילחם, להיאבק; לריב	להילחם, להיאבק; לריב; קרב
w0115	first of all	ראשית	קודם כל, ראשית
w0117	fly	זבוב; לעוף	לטוס, זבוב; לעוף
w0122	forward	קדימה, לפנים; חלוץ	קדימה, לפנים
w0126	full	מלא, למלא	מלא, למלא; שבע
w0127	future	עתיד	עתיד; עתידי
w0129	gift	מתנה; כישרון	מתנה
w0131	government	ממשל	ממשלה, ממשל
w0133	ground	בסיס, אדמה	קרקע, בסיס, אדמה
w0152	human	אנושי	אנושי; אדם
w0153	human being	בן-אדם, אנוש	בן אדם, בן-אדם, אנוש
w0162	in a moment	בעוד רגע	עוד רגע, בעוד רגע; מיד
w0164	in front of	בחזית של, מול	לפני, בחזית של, מול
w0168	into	לתוך, אל תוך	אל תוך
w0172	joke	בדיחה	בדיחה; להתלוצץ
w0173	jump	לקפוץ; קפיצה	לקפוץ
w0178	late	מאוחר, לאחר; מנוח	מאוחר, לאחר
w0179	later	מאוחר יותר	אחר כך, מאוחר יותר
w0180	laugh	לצחוק	לצחוק; צחוק
w0182	left	שמאל, שמאלה; לעזוב	שמאלה
w0184	lie	לשקר, שקר	לשקר, שקר; לשכב
w0186	like	לאהוב, כמו; לחבב, להעדיף	כמו; לחבב, להעדיף
w0188	list	רשימה, להכין רשימה; לרשום	רשימה, להכין רשימה
w0197	meeting	פגישה	פגישה; ישיבה
w0199	message	הודעה; מסר	הודעה
w0202	mistake	טעות	טעות; לטעות
w0203	mix	לערבב, ערבוב	לערבב, ערבוב; תערובת
w0211	must	חייב, חובה, הכרח	חייב, חובה, הכרח; צריך
w0212	near	קרוב; ליד	קרוב
w0214	never	לעולם לא, אף פעם	אף פעם
w0227	often	לעתים קרובות, לעיתים קרובות; תכופות	לעיתים קרובות
w0230	only	רק	רק; יחיד
w0235	over	על, מעל; מחדש, שוב	על, מעל; מחדש, שוב; נגמר
w0236	own	משלו; להיות הבעלים של; להחזיק	משלו; להיות הבעלים של
w0237	pain	כאב, להכאיב	כאב, להכאיב; לכאוב
w0238	part	חלק; להיפרד	חלק
w0241	pay	לשלם	לשלם; שכר
w0249	place	מקום, למקם; להניח	מקום, למקם
w0252	planet	כוכב לכת; פלנטה	כוכב לכת
w0254	pool	בריכה; מאגר	בריכה
w0267	quick	זריז	מהיר, זריז
w0269	rain	גשם; לרדת גשם	גשם
