k	term	A	B
w1681	debate	ויכוח, דיון; להתווכח	ויכוח, דיון
w1683	defeated	להביס, הובס	הובס
w1685	degree	תואר, מעלה (מדידה); תואר אקדמי; דרגה; מידה, במידה מסוימת	מעלה (מדידה); תואר אקדמי; דרגה; מידה, במידה מסוימת
w1686	demand	לדרוש, דרישה; ביקוש	לדרוש, דרישה
w1687	dental	של שיניים, שקשור בשיניים; דנטלי	שקשור בשיניים
w1689	deny	לסרב; להכחיש; לשלול	לסרב; להכחיש
w1690	depart	לצאת, לעזוב	לעזוב
w1696	distant	מרוחק; מנוכר	מרוחק
w1697	district	מחוז, רובע; אזור	מחוז, רובע
w1704	elderly	קשיש, זקן	זקן
w1705	eliminate	לחסל, לפסול	לחסל, לפסול; להסיר
w1707	employ	להעסיק; להשתמש ב-, לנקוט; להשתמש	להעסיק; להשתמש ב-, לנקוט
w1713	era	עידן	עידן; תקופה
w1715	essential	חיוני	חיוני; הכרחי
w1717	exception	יוצא מהכלל; חריגה	יוצא מהכלל
w1718	execute	לבצע, להוציא לפועל; להוציא להורג	להוציא לפועל; להוציא להורג
w1720	expand	להרחיב	להתרחב, להרחיב
w1722	expense	הוצאה, הוצאות	הוצאות
w1724	expression	ביטוי	ביטוי; הבעה
w1727	facial	של הפנים, שקשור בפנים; טיפול פנים	שקשור בפנים
w1732	flood	שיטפון; להציף	שיטפון
w1735	foundation	יסוד; קרן	יסוד
w1738	fuel	דלק	דלק; לתדלק
w1740	funds	כסף, הון, מקור מימון; קרן	כסף, הון, מקור מימון
w1741	gain	להרוויח, לצבור, להוסיף	להשיג, להרוויח, לצבור, להוסיף; רווח
w1744	gather	אסף	להתאסף, אסף; לאסוף
w1749	guarantee	להבטיח, ערבות; אחריות	להבטיח, ערבות
w1752	hike	הליכה, טיול	טיול רגלי, הליכה, טיול; העלאה
w1754	identify	לזהות; להזדהות	לזהות
w1757	impatient	חסר סבלנות	חסר סבלנות; קצר רוח
w1761	in conclusion	לסיכום; לסיום	לסיכום
w1764	indication	סימן, אינדיקציה, סימן ל-	אינדיקציה, סימן ל-
w1766	infected	נגוע, הודבק	הודבק
w1767	infection	זיהום; הדבקה	זיהום
w1773	insanity	שיגעון, אי שפיות	אי שפיות
w1775	inspiring	נותן השראה	מעורר השראה, נותן השראה
w1776	institute	מוסד, מכון; לכונן	מוסד, מכון; לכונן; לייסד
w1780	interrupt	להפריע; לקטוע	להפריע
w1781	invent	להמציא; לבדות	להמציא
w1785	labor	להתאמץ; עבודה, עמל, לעמול	להתאמץ; עבודה, עמל, לעמול; לידה
w1786	lack	מחסור	חוסר, מחסור
w1787	lame	צולע; גרוע	צולע
w1789	lifetime	תקופת החיים, במשך החיים; משך חיים	תקופת החיים, במשך החיים
w1792	locate	לאתר	לאתר; למקם
w1797	luxury	מותרות; פאר	מותרות
w1801	measure	אמצעי; למדוד; מידה	אמצעי; למדוד
w1803	melt	להימס, להמיס	להמיס
w1806	moral	מוסר	מוסרי, מוסר; מוסר השכל
w1814	observe	להתבונן, להבחין	להתבונן, להבחין; לשמור
w1815	offend	להעליב	לפגוע, להעליב
w1816	offensive	מעליב, פוגעני	מעליב, פוגעני; התקפה
w1819	orbit	מסלול (סביב גרם שמים); להקיף במסלול, לחוג	מסלול (סביב גרם שמים); להקיף במסלול, לחוג; להקיף
w1822	outstanding	יוצא מן הכלל, מצוין	יוצא מן הכלל, מצוין; פתוח
w1823	oven	תנור, תנור בישול	תנור בישול
w1825	pad	לרפד	פנקס, לרפד; רפידה
w1831	perform	לבצע, להציג	לבצע, להציג; להופיע
w1833	pharmacy	בית מרקחת	בית מרקחת; רוקחות
w1835	poisonous	רעיל; ארסי	רעיל
w1842	primary	יסודי, עיקרי; ראשוני	יסודי, עיקרי
w1844	privilege	זכות יתר, פריווילגיה	זכות יתר, פריווילגיה; פריבילגיה
w1845	produce	לייצר; תוצר, ירקות ופירות; תוצרת	לייצר; תוצר, ירקות ופירות
w1847	promotion	קידום; מבצע	קידום
w1850	provoke	להתגרות, להסית	לעורר, להתגרות, להסית
w1851	publisher	מוציא לאור; הוצאה לאור	מוציא לאור
w1852	purse	ארנק	ארנק; תיק יד
w1855	rarely	לעיתים נדירות	לעתים רחוקות, לעיתים נדירות
w1857	razor	סכין גילוח	תער, סכין גילוח
w1858	reasonable	סביר, הגיוני	הגיוני
w1861	recognition	הכרה; זיהוי	הכרה
w1862	recover	להתאושש	להחלים, להתאושש
