k	term	A	B
w0272	relationship	קשר, מערכת יחסים	מערכת יחסים
w0273	relax	להירגע; לנוח	להירגע
w0274	report	דוח, דיווח, לדווח	דיווח, לדווח
w0279	ride	רכיבה, לרכוב	רכיבה, לרכוב; נסיעה
w0280	right	נכון, ימינה; זכות; ימין	ימינה; זכות
w0281	ring	טבעת; זירה; לצלצל	טבעת; זירה
w0282	road	דרך	כביש, דרך
w0283	run, ran	לרוץ, רץ; לנהל	לרוץ, רץ
w0284	safe	בטוח; כספת	בטוח
w0289	school	בית ספר, בית-ספר	בית-ספר
w0291	secret	סוד; סודי	סוד
w0297	short	קצר	קצר; נמוך
w0302	since	מכיוון ש-; מאז	מכיוון ש-; מאז; מכיוון ש
w0305	sir	אדון, תואר אצולה אנגלי	אדוני, אדון, תואר אצולה אנגלי
w0311	snow	שלג; לרדת שלג	שלג
w0312	so	אז, כך ש-, ולכן; כל-כך, מאוד; כל כך	אז, כך ש-, ולכן; כל-כך, מאוד
w0313	so that	כך ש-	כדי ש, כך ש-
w0316	soon	בהקדם, מוקדם	בקרוב, בהקדם, מוקדם
w0319	spend	להוציא, לבזבז, לפזר; לבלות, להעביר	לבזבז, לפזר; לבלות, להעביר
w0320	stand	לעמוד	לעמוד; עמדה
w0322	start	להתחיל; התחלה	להתחיל
w0324	step	צעד, לצעוד; מדרגה	צעד, לצעוד
w0331	suddenly	לפתע	פתאום, לפתע
w0335	surprise	הפתעה	הפתעה; להפתיע
w0336	sweet	מתוק, ממתק	מתוק, ממתק; חמוד
w0339	team	צוות	קבוצה, צוות
w0341	than	מאשר, מ-	מ-
w0343	thanks to	תודות ל-	הודות ל, תודות ל-
w0344	that	ש-	ש, ש-; ההוא
w0350	through	דרך, מבעד	דרך, מבעד; באמצעות
w0351	ticket	כרטיס	כרטיס; דוח
w0354	too	גם; יותר מידי	גם; יותר מידי; מדי
w0358	turn	לפנות, סיבוב	לפנות, סיבוב; תור
w0361	until	עד ש-	עד, עד ש-
w0362	until now	עד עתה	עד עכשיו, עד עתה; עד כה
w0364	usually	בדרך כלל, בדרך-כלל; לרוב	בדרך-כלל
w0366	visit	לבקר	לבקר; ביקור
w0367	voice	קול, להשמיע קול	קול, להשמיע קול; להביע
w0369	wall	קיר; חומה	קיר
w0372	watch	לצפות, להסתכל, להשגיח; שעון	להסתכל, להשגיח; שעון
w0373	way	דרך; אופן	דרך
w0377	when	מתי, כאשר, כש-	כאשר, כש-
w0381	why	למה, מדוע	מדוע
w0389	without	מבלי, ללא	בלי, מבלי, ללא
w0390	wonderful	נפלא	נפלא; נהדר
w0393	writer	סופר; כותב	סופר
w0407	afraid	מפוחד, מפחד	מפחד
w0418	although	למרות ש-	למרות ש, למרות ש-
w0419	architect	ארכיטקט	אדריכל, ארכיטקט
w0424	as well as	כמו גם; וגם	כמו גם
w0428	authentic	מקורי, אותנטי; אמיתי	מקורי, אותנטי
w0433	bath	אמבטיה, להתרחץ	אמבטיה, להתרחץ; רחצה
w0434	beach	חוף, חוף ים	חוף ים
w0439	begin/an/un	להתחיל / התחיל / התחיל	להתחיל, להתחיל / התחיל / התחיל
w0448	candy	ממתק; סוכריה	ממתק
w0450	case	תיבה; מקרה, טיעון	תיבה; מקרה, טיעון; תיק
w0453	catch, caught	לתפוס, תפס	לתפוס, תפס; להידבק
w0454	cause	לגרום, מטרה; גורם, סיבה	מטרה; גורם, סיבה
w0462	circle	מעגל; להקיף בעיגול, לחוג; להקיף	מעגל; להקיף בעיגול, לחוג
w0466	comic	קומי (מהמילה קומדיה)	קומי (מהמילה קומדיה); קומיקס
w0467	connect	לחבר; להתחבר	לחבר
w0470	copy	עותק, להעתיק	להעתיק
w0472	country	ארץ; כפר, אזור	מדינה, ארץ; כפר, אזור
w0475	cousin	בן-דוד	בן דוד, בן-דוד
w0477	crash	להתנגש, התנגשות	להתרסק, להתנגש, התנגשות
w0481	crowd	קהל; להצטופף; המון	קהל; להצטופף
w0482	damage	נזק, לגרום נזק	נזק, לגרום נזק; להזיק
w0484	darkness	חשיכה	חושך, חשיכה
w0488	depression	דיכאון; מיתון	דיכאון
w0489	design	עיצוב, תכנית, דוגמה, תרשים; לתכנן, לעצב	תכנית, דוגמה, תרשים; לתכנן, לעצב
