k	term	A	B
w1110	senior	בכיר; בוגר (תלמיד שנה אחרונה); זקן	בכיר; בוגר (תלמיד שנה אחרונה); זקן; קשיש
w1113	shadow	צל, להאפיל; לעקוב	צל, להאפיל
w1114	shave	גילוח, לגלח	להתגלח, גילוח, לגלח
w1120	simply	בפשטות	פשוט, בפשטות
w1121	sin	חטא; לחטוא	חטא
w1123	soul	נשמה	נשמה; נפש
w1126	space	חלל; רווח	מרחב, חלל; רווח
w1129	spirit	רוח, כוונה, רוח הדברים; רוח רפאים, נפש	כוונה, רוח הדברים; רוח רפאים, נפש
w1132	standard	רמה, תקן, מקובל	רמה, תקן, מקובל; סטנדרטי
w1135	strength	חוזק	כוח, חוזק
w1139	supply	לספק, אספקה	אספקה
w1140	surely	בוודאי, ללא ספק	ללא ספק
w1142	surrender	להיכנע	להיכנע; כניעה
w1154	title	כותרת	כותרת; תואר
w1155	tongue	לשון	לשון; שפה
w1156	totally	לגמרי, לחלוטין	לחלוטין
w1162	transport	להוביל; הובלה	להוביל; הובלה; תחבורה
w1163	trap	מלכודת	מלכודת; ללכוד
w1164	treatment	טיפול; יחס	טיפול
w1168	unbelievable	לא יאמן	לא ייאמן, לא יאמן; מדהים
w1170	unfortunately	למרבה הצער; לצערי	למרבה הצער
w1172	useful	שימושי	שימושי; מועיל
w1181	wear	ללבוש; להתבלות	ללבוש
w1184	wild	פראי, טבע	פרוע, פראי, טבע
w1187	actually	למעשה	למעשה; בעצם
w1190	advertisement	מודעה, פרסום	פרסומת, מודעה, פרסום
w1196	amateur	חובבן	חובב, חובבן
w1199	amount	כמות; להסתכם	כמות
w1200	analog	אנלוגי (ההיפך מדיגיטלי); מקבילה	אנלוגי (ההיפך מדיגיטלי)
w1204	appear	להופיע; נראה ש-; להיראות	להופיע; נראה ש-
w1209	as many as	לא פחות מ-, עד כדי	עד, לא פחות מ-, עד כדי
w1210	as proof of	כהוכחה ל, כהוכחה ל-	כהוכחה ל-
w1211	aside from	מלבד, חוץ מ-	חוץ מ-
w1212	attitude	גישה; עמדה	גישה
w1216	authority	סמכות	סמכות; רשות
w1217	automobile	מכונית, כלי רכב, אוטו; רכב	כלי רכב, אוטו
w1220	backward	לאחור	לאחור; נחשל
w1222	beg	להתחנן	להתחנן; לקבץ נדבות
w1223	belong	שייך	להשתייך, שייך
w1227	beyond	מעבר ל, מעבר	מעבר
w1231	brilliant	מבריק	מבריק; גאוני
w1234	by now	עד עתה	עד עכשיו, עד עתה
w1237	campaign	קמפיין, מערכה, מסע	מערכה, מסע
w1238	cast	להשליך, לגרש; צוות שחקנים	לזרוק, להשליך, לגרש; צוות שחקנים
w1239	casual	אגבי, רגיל, יומיומי	לא רשמי, אגבי, רגיל, יומיומי; מזדמן
w1247	citrus	פרי הדר	הדר, פרי הדר
w1248	claim	לטעון, טענה, טוען; תביעה	טענה, טוען; תביעה
w1250	clever	חכם, פיקח	פיקח
w1253	cognitive	קוגניטיבי, הכרתי	קוגניטיבי, הכרתי; שכלי
w1257	conference	ועידה	כנס, ועידה
w1264	contrast	ניגוד; להוות ניגוד; לעמת	ניגוד; להוות ניגוד
w1267	coordinator	רכז, מתאם	מתאם
w1268	copies	עותקים	עותקים; להעתיק
w1270	count	לספור; רוזן; ספירה	לספור; רוזן
w1273	creator	יוצר; בורא	יוצר
w1276	customize	להתאים באופן אישי	להתאים אישית, להתאים באופן אישי
w1279	deeply	מאוד, במידה רבה	עמוקות, מאוד, במידה רבה
w1280	deer	צבי, איל	איל
w1282	depend on	להסתמך על, תלוי ב-	תלוי ב-
w1283	desire	תשוקה, חשק, לחפוץ; להשתוקק	תשוקה, חשק, לחפוץ
w1286	dimension	ממד, מימד; היבט	מימד
w1287	disadvantage	חסרון	חסרון; נחיתות
w1288	disagreement	אי הסכמה, חוסר הסכמה; חילוקי דעות	חוסר הסכמה
w1291	divorce	גירושין; להתגרש	גירושין
w1292	dominate	לשלוט	לשלוט; להשתלט
w1294	doubt	ספק, להטיל ספק; לפקפק	ספק, להטיל ספק
w1295	due to	בגלל, לאור; עקב	בגלל, לאור
w1298	earn	להרוויח	להרוויח; לזכות ב
w1310	even so	ובכל זאת, אף על פי כן	אף על פי כן
w1312	evidence	ראיה	ראיה; הוכחה
