k	term	A	B
w1493	selective	סלקטיבי	בררני, סלקטיבי
w1494	self-confidence	ביטחון עצמי, בטחון-עצמי	בטחון-עצמי
w1496	separation	הפרדה; פרידה	הפרדה
w1498	share	מניה; לחלוק	לשתף, מניה; לחלוק; חלק
w1500	shift	שינוי, משמרת; להזיז	משמרת; להזיז
w1502	sight	ראייה, כוונת	ראייה, כוונת; מראה
w1503	significantly	באופן משמעותי; באופן ניכר	באופן משמעותי
w1506	so long as	כל עוד; ובלבד ש	כל עוד
w1508	speaker	דובר	דובר; רמקול
w1510	spot	כתם; לזהות	כתם; לזהות; מקום
w1511	spread	להתפשט, התפשטות, פיזור; ממרח, למרוח	התפשטות, פיזור; ממרח, למרוח
w1514	statement	הצהרה	הצהרה; הודעה
w1516	storage	אחסון	אחסון; מחסן
w1517	study	מחקר; חדר עבודה	ללמוד, מחקר; חדר עבודה
w1518	subject	נושא; נתין, אזרח; נבדק; להכפיף, לחשוף ל-; נתון ל-, כפוף ל-	נושא; נתין, אזרח; נבדק; להכפיף, לחשוף ל-; נתון ל-, כפוף ל-; מקצוע
w1520	surface	פני שטח	משטח, פני שטח; לצוף
w1521	surprisingly	באופן מפתיע, במפתיע	במפתיע
w1525	symptom	תסמין, סימפטום	סימפטום
w1528	take place	להתרחש, התרחש; להתקיים	התרחש
w1534	though	למרות זאת; למרות ש-	למרות ש, למרות זאת; למרות ש-; בכל זאת
w1536	timeline	ציר זמן	ציר זמן; לוח זמנים
w1541	transform	להפוך, לשנות צורה, להפוך ל-; לשנות	לשנות צורה, להפוך ל-
w1549	unite	לאחד	לאחד; להתאחד
w1551	unofficial	לא רשמי, בלתי רשמי	בלתי רשמי
w1552	unorganized	לא מאורגן; מבולגן	לא מאורגן
w1553	unrealistic	לא ריאלי, לא מציאותי	לא מציאותי
w1561	verbal	ורבלי, מילולי	ורבלי, מילולי; בעל פה
w1567	waste	בזבוז, לבזבז; הפסולת; פסולת	בזבוז, לבזבז; הפסולת
w1568	waterfall	מפל	מפל מים, מפל
w1571	whenever	בכל פעם ש-, מתי ש-; לא משנה מתי	בכל פעם ש, בכל פעם ש-, מתי ש-; לא משנה מתי
w1577	witness	עד, להעיד	עד, להעיד; לחזות
w1588	addition	תוספת, הוספה	תוספת, הוספה; חיבור
w1589	administration	ממשל, מנהל; ניהול	מנהל
w1591	afterwards	לאחר מכן	אחר כך, לאחר מכן
w1594	annoy	להציק	להרגיז, להציק
w1597	arrange	לסדר; לארגן	לסדר
w1598	article	מאמר; פריט	מאמר; פריט; סעיף
w1602	association	אסוציאציה; איגוד; קשר	אסוציאציה; איגוד
w1604	attach	לחבר, לייחס	לצרף, לחבר, לייחס
w1605	attempt	לנסות, ניסיון	ניסיון
w1607	attraction	משיכה	משיכה; אטרקציה
w1612	baggage	מטען, מזוודה; כבודה	מטען, מזוודה
w1614	bald	קירח, קרח	קרח
w1615	ban	חרם, איסור	חרם, איסור; לאסור
w1616	barrier	מחסום	מחסום; חסם
w1617	bass	בס (במוזיקה)	בס (במוזיקה); דג בס
w1619	beside	ליד; לצד	ליד
w1622	blend	לערבב	למזג, לערבב; תערובת
w1623	boil	להרתיח	לרתוח, להרתיח
w1624	bond	קשר	קשר; אג"ח
w1625	boost	להגביר, דחף, המריץ	דחף, המריץ
w1626	boot	מגף	מגף; תא מטען
w1628	bounce	לנתר, לקפץ, ניתור	לקפץ, ניתור
w1632	bully	בריון; להציק	בריון
w1633	bury	לקבור; להטמין	לקבור
w1635	cabin	תא, בקתה	בקתה
w1642	cereal	דגן, דגני בוקר	דגני בוקר
w1645	chart	גיליון, תרשים; לשרטט	גיליון, תרשים
w1652	commercial	מסחרי; סרטון פרסומת	מסחרי; סרטון פרסומת; פרסומת
w1653	commit	ביצוע/ לבצע; להתחייב; לבצע	ביצוע/ לבצע; להתחייב
w1656	concentrate	להתרכז; תרכיז	להתרכז
w1657	confident	בטוח בעצמו	בטוח בעצמו; בטוח
w1658	conservative	שמרני; זהיר	שמרני
w1659	conspiracy	קשר, מזימה	קשר, מזימה; קונספירציה
w1660	constant	קבוע, רצוף	קבוע, רצוף; מתמיד
w1662	consult	להתייעץ	להתייעץ; לעיין ב
w1663	contain	להכיל, מכיל; לבלום	להכיל, מכיל
w1665	conventional	מקובל, שגרתי, קונבנציונאלי	שגרתי, קונבנציונאלי
w1676	cult	כת	כת; פולחן
w1680	deaf	חירש, חרש	חרש
