k	term	A	B
w3172	adolescence	התבגרות, גיל ההתבגרות	גיל ההתבגרות
w3175	alienation	ניכור, הרחקה; התנכרות	ניכור, הרחקה
w3177	alterations	שינויים	שינויים; תיקון
w3178	ambiguous	דו משמעי, לא לגמרי ברור; מעורפל	דו משמעי, לא לגמרי ברור
w3180	amid	בתוך, בקרב, בין	בקרב, בין
w3181	ample	מספיק, שופע, גדול	מספיק, שופע, גדול; נרחב
w3184	annually	אחת לשנה, בכל שנה	מדי שנה, אחת לשנה, בכל שנה
w3192	arise, arose	לקום, קם	לצוץ, לקום, קם
w3193	ark	תיבה	תיבה; ארון
w3195	assert	לטעון, לטעון בתוקף, להצהיר	לטעון בתוקף, להצהיר
w3199	attain	להשיג, להגיע; להגיע ל	להשיג, להגיע
w3202	augment	להרחיב	להגדיל, להרחיב
w3203	awe	יראת כבוד; התפעלות	יראת כבוד
w3210	being that	היות ו, מכיוון ש-; מכיוון ש	מכיוון ש-
w3214	burden	נטל, עול; להכביד	עול
w3215	burglar	פורץ; גנב	פורץ
w3218	carve	לגלף, לחטוב; לחתוך (בשר); לחרוט; לפרוס	לגלף, לחטוב; לחתוך (בשר); לחרוט
w3219	cavity	חור	חלל, חור; עששת
w3222	circulate	להפיץ; לנוע במחזוריות	לזרום, להפיץ; לנוע במחזוריות
w3224	coexist	להתקיים יחד, להתקיים זה בצד זה, לחיות יחד בשלום	להתקיים זה בצד זה, לחיות יחד בשלום
w3228	communal	קהילתי, משותף, ציבורי	משותף, ציבורי
w3229	comparable	בר-השוואה	דומה, בר-השוואה; בר השוואה
w3230	comparatively	באופן יחסי	יחסית, באופן יחסי
w3231	compel	לאלץ, לחייב	לאלץ, לחייב; לכפות
w3232	composed	רגוע, שלו, שולט בעצמו; הלחין, חיבר; מורכב	רגוע, שלו, שולט בעצמו; הלחין, חיבר
w3234	conceal	להסתיר	להסתיר; להעלים
w3235	conception	תפיסה	תפיסה; התעברות
w3240	consequently	לפיכך, כתוצאה מכך	כתוצאה מכך
w3241	considerable	ניכר, הרבה, רבות; משמעותי	הרבה, רבות
w3242	consist	להיות מורכב, מורכב מ-	מורכב מ-
w3243	consolidate	לאחד, לגבש	לאחד, לגבש; לבסס
w3244	constitute	להוות, מהווים; להקים, לייסד	מהווים; להקים, לייסד
w3251	correspondence	התכתבות; התאמה	התכתבות
w3252	correspondingly	בהתאמה	בהתאם, בהתאמה
w3253	counsel	עצה, לייעץ, להדריך; פרקליט, יועץ; עורך דין	לייעץ, להדריך; פרקליט, יועץ
w3254	counterpart	מקבילה, בעל תפקיד מקביל, עמית, בן-זוג	בעל תפקיד מקביל, עמית, בן-זוג
w3255	coupled with	יחד עם	יחד עם; בשילוב עם
w3256	courteous	אדיב	מנומס, אדיב
w3257	crave	להשתוקק; לחשוק	להשתוקק
w3262	deceased	נפטר; מת	נפטר
w3263	deceive	להונות	להטעות, להונות; לרמות
w3266	defer	לעכב, לדחות; להישמע	לעכב, לדחות
w3267	deficiency	מחסור	מחסור; ליקוי
w3275	derive	לנבוע, לשאוב, להפיק, לגזור מ-	לשאוב, להפיק, לגזור מ-
w3276	differences	חילוקי דעות; שוני	חילוקי דעות
w3277	disciples	תלמידים	תלמידים; חסיד
w3281	dispatch	לשלוח, לשגר; דיווח	לשגר
w3282	displacement	עקירה; תזוזה	עקירה
w3284	dispute	מחלוקת; לערער	מחלוקת; לערער; להתווכח
w3286	dissection	חיתוך, ביתור	ניתוח, חיתוך, ביתור; נתיחה
w3288	draw	תיקו, שוויון; לצייר; למשוך	תיקו, שוויון; לצייר
w3291	dwell	להתגורר; להתעכב	להתגורר
w3292	dwelling	מגורים, משכן, בית	משכן, בית
w3295	elusive	חמקמק; בלתי מושג	חמקמק
w3296	emergence	הופעה, היווצרות	הופעה, היווצרות; התהוות
w3300	enlist	להתגייס	להתגייס; לגייס
w3301	envision	לדמיין, לחזות, לצפות	לחזות, לצפות
w3303	erroneous	שגוי; מוטעה	שגוי
w3304	erupt	התפרץ	להתפרץ, התפרץ
w3306	esteemed	מכובד	מכובד; נערץ
w3307	evade	להתחמק, התחמק	התחמק
w3311	excessively	בצורה מוגזמת; מדי	בצורה מוגזמת
w3313	expendable	מתכלה, שניתן לוותר עליו	שניתן לוותר עליו
w3317	familiarize	להכיר, להתוודע	להתוודע
w3318	famine	רעב, רעב קשה	רעב קשה
w3319	fascinate	להקסים, לרתק	לרתק
w3328	forfeit	לוותר, להפסיד	לאבד, לוותר, להפסיד; לוותר על
w3332	fugitive	נמלט, בורח מהחוק; בורח	נמלט, בורח מהחוק
w3335	glorify	להאדיר	לפאר, להאדיר
w3336	gracious	חינני, אדיב; נדיב	חינני, אדיב
