k	term
w3819	overhaul
w2257	physicist
w1534	though
w3554	wind
w2132	former
w2117	expose
w2321	steady
w1805	mistaken
w2015	belief
w2650	pupil
w1634	bush
w0081	different from
w0413	alien
w3507	spring, sprang
w0739	stuff
w2803	beware
w0693	role
w3774	jagged
w3316	extortion
w0761	treasure
w2315	specialize
w3805	nourish
w0722	solve
w3296	emergence
w0471	correct
w1433	post
w1337	folklore
w2865	discourage
w3049	plentiful
w1640	cashier
w1359	horn
w1902	shrink
w2332	temple
w2849	dealt
w1494	self-confidence
w0589	kind
w1922	strict
w0743	suicide
w2368	withdraw
w1043	permission
w2900	extensive
w1293	donate
w0197	meeting
w3593	avert
w3444	predictive
w1111	sensitive
w1273	creator
w0958	highway
w2324	strike
w1975	wrap
w0116	fix
w0652	path
w1202	ancient
w3553	wilderness
w1738	fuel
w2707	slaughter
w3132	tolerate
w0993	kitchen
w2929	growled
w1788	leather
w1332	fiction
w2087	domestic
w1142	surrender
w0059	close
w0541	for
w0635	obsession
w2307	simplify
w2440	cope
w1611	awkward
w2395	assign
w1456	rainstorm
w1352	grand
w0631	newspaper
w1470	redhead
w2647	proportion
w1557	valley
w1055	pregnant
w3643	deliberation
w3766	innate
w3745	heed
w3529	tremendous
w1264	contrast
w2538	govern
w1239	casual
w3545	virtue
w2044	collapse
w1320	explosive
w0836	castle
w1909	spiritual
w0502	drastic
w2074	decrease
w1722	expense
w0379	which
w3170	adjacent to
w2576	interfere
w1832	permanently
w1162	transport
w1732	flood
w3468	recession
w3533	undertake
w1462	rational
w2757	vest
w1218	avoid
w0195	maybe
w0819	beat
w3380	jug
w3263	deceive
w3193	ark
w3731	futile
w3495	seismic
w3687	elude
w3748	heredity
w1840	portrait
w2462	diabetes
w3348	hypocrisy
w3292	dwelling
w0014	always
w2454	definite
w0142	heart
w3405	namely
w3874	resurgence
w2219	modernize
w1804	minor
w2981	literary
w3416	obsolete
w2432	consideration
w1620	blade
w2942	hostility
w3273	densely
w1555	upon
w2816	chamber
w1796	lung
w1064	profit
w1939	thick
w2697	scholar
w0371	war
w3665	diminish
w3522	swept away
w3187	apparatus
w1123	soul
w0949	governor
w2308	simulate
w0182	left
w0679	receive
w1018	mystery
w1724	expression
w2932	hardly
w1710	entertain
w3012	neither... nor...
w3789	maritime
